CH1,CH2
59,20
52,19
42,43
84,67
195,141
334,73
164,33
328,35
304,24
327,18
340,39
212,85
244,91
126,33
29,24
67,18
101,39
88,41
32,31
58,40
96,39
70,24
255,17
85,41
141,49
154,68
23,16
238,27
365,48
65,18
39,21
131,58
228,17
114,18
133,16
75,16
95,21
78,17
6,78
61,19
296,86
270,39
228,19
60,20
50,58
130,16
1023,19
192,23
345,17
65,49
228,22
92,26
83,79
145,128
103,18
196,17
63,32
538,20
237,43
118,13
91,31
76,43
112,20
97,43
197,29
61,18
267,20
105,25
101,57
127,50
144,24
72,16
193,17
196,18
179,41
70,23
58,18
157,16
19,20
366,24
663,36
353,135
4,77
184,84
116,157
78,93
40,20
77,73
59,76
140,46
13,98
120,18
77,38
140,38
444,36
120,134
63,114
260,127
146,55
77,19
318,17
268,53
50,22
116,63
72,19
225,28
186,28
195,75
298,48
124,29
54,18
108,26
85,16
48,72
159,112
157,33
51,115
174,34
13,44
70,30
121,31
177,18
68,29
164,15
135,30
202,25
21,25
118,66
141,28
213,16
107,20
297,17
71,32
81,21
47,19
111,32
86,15
77,15
135,17
56,43
182,15
80,17
404,89
56,77
69,124
91,96
100,13
108,106
205,42
168,79
390,65
182,17
182,25
136,17
258,15
293,125
127,37
382,15
347,16
172,38
120,47
298,60
135,48
186,48
153,30
215,17
60,58
100,21
321,51
72,16
107,33
71,14
53,16
275,60
205,23
285,31
508,18
167,15
161,20
94,25
453,35
262,15
24,27
92,20
201,19
126,51
324,31
251,41
86,48
475,17
69,9
56,27
73,14
54,62
66,20
54,16
181,16
331,28
67,14
86,30
123,26
108,44
227,16
77,38
138,29
188,18
20,34
204,18
102,37
147,61
328,39
281,73
312,124
77,46
300,15
219,121
354,63
177,82
177,20
249,20
402,64
221,15
77,24
140,23
69,23
99,87
81,32
157,91
93,17
91,28
26,25
62,51
59,38
99,15
298,7
129,51
78,29
65,43
18,41
143,32
90,20
260,36
94,105
78,33
63,17
90,63
79,13
161,73
190,19
76,35
168,13
207,60
151,60
52,18
104,49
132,45
117,30
92,51
85,57
103,17
203,52
181,44
99,20
94,16
269,20
58,75
88,8
59,47
129,15
111,16
80,37
211,43
60,21
100,15
18,22
222,52
124,15
126,31
105,5
75,15
85,14
54,20
45,17
97,20
103,37
83,17
66,30
105,17
62,38
36,26
165,38
107,16
365,28
115,19
52,8
108,54
131,23
87,14
193,14
158,60
50,18
181,24
159,25
123,29
113,55
106,31
105,9
151,19
114,39
144,15
73,44
55,15
99,21
135,14
37,29
95,29
86,43
98,17
100,5
71,43
83,24
86,14
60,14
81,25
75,26
52,22
78,18
58,59
87,23
99,22
80,76
63,18
58,35
87,20
84,7
97,19
73,26
65,18
198,56
147,58
76,92
95,40
196,11
388,36
89,49
84,20
158,25
348,22
383,15
75,32
146,6
77,21
416,17
97,36
108,67
127,79
100,45
94,38
93,11
108,17
57,31
102,15
88,19
84,60
82,71
75,17
77,131
117,21
354,58
182,27
186,64
174,35
295,28
478,17
70,26
110,17
144,16
294,17
216,13
53,25
42,62
134,20
103,9
119,33
51,43
56,69
89,19
61,106
69,30
106,15
96,41
89,23
68,14
71,21
79,17
82,25
71,24
56,39
132,6
103,23
58,22
83,29
95,23
50,59
68,45
63,17
82,35
57,16
67,35
67,41
65,55
58,18
72,23
71,18
50,12
54,16
61,16
58,18
80,10
62,19
61,25
63,42
81,32
69,42
67,51
73,44
67,19
47,42
52,34
65,14
73,44
73,27
51,27
58,24
59,33
65,46
66,16
64,15
55,50
52,15
57,38
60,14
62,36
59,15
57,17
60,20
64,79
70,21
86,14
66,35
45,10
47,19
59,15
61,14
59,9
70,13
73,26
65,29
57,11
65,29
71,40
60,48
60,46
47,41
53,30
69,20
69,22
53,22
63,24
66,17
64,51
68,16
55,14
56,46
56,46
63,37
64,19
51,74
56,22
55,16
78,15
65,20
74,17
59,16
54,14
55,16
67,14
68,59
58,64
55,46
54,23
58,18
58,19
56,44
65,38
84,54
64,16
67,47
67,70
63,30
59,18
59,17
68,19
70,17
73,18
64,16
64,18
55,34
58,16
53,39
64,51
46,15
57,34
53,37
57,14
62,17
68,45
68,52
75,20
63,26
58,22
59,14
63,14
64,129
63,100
58,34
64,22
58,47
44,288
61,142
58,34
57,15
55,15
63,37
56,32
64,21
63,15
59,53
67,32
66,66
72,73
67,46
56,21
58,46
66,39
67,20
70,23
62,19
59,24
53,24
56,26
43,84
60,70
74,86
76,59
82,14
85,40
58,48
50,44
61,35
58,71
63,56
69,18
73,160
75,183
59,176
62,209
64,56
65,72
60,209
66,260
61,289
53,53
56,47
65,66
58,71
63,92
54,126
50,140
64,121
60,33
62,26
64,63
80,57
72,52
64,22
68,70
70,41
65,43
58,204
58,37
62,146
67,213
68,195
65,183
71,81
80,33
76,103
64,367
53,366
44,75
46,69
55,47
52,16
61,39
53,36
60,132
72,81
75,94
69,142
75,125
74,47
74,93
70,76
60,78
61,25
51,18
57,135
62,147
60,50
64,71
66,42
60,29
62,114
54,37
63,114
65,50
72,150
56,342
65,152
64,75
59,206
72,146
75,127
83,43
67,24
56,16
56,121
52,226
41,179
45,41
58,65
66,51
64,40
67,17
73,22
67,15
61,17
60,27
67,50
66,81
64,56
64,26
69,25
64,33
64,24
67,19
66,20
60,40
54,75
