CH1,CH2
"0
","47
"
"0
","38
"
"0
","22
"
"0
","10
"
"0
","17
"
"0
","30
"
"0
","44
"
"0
","53
"
"2
","86
"
"0
","110
"
"0
","124
"
"0
","134
"
"1
","127
"
"0
","122
"
"0
","114
"
"0
","106
"
"0
","93
"
"0
","87
"
"0
","83
"
"0
","70
"
"0
","86
"
"0
","62
"
"0
","65
"
"0
","48
"
"0
","30
"
"0
","15
"
"0
","10
"
"0
","18
"
"0
","32
"
"0
","36
"
"0
","71
"
"0
","89
"
"0
","116
"
"4
","117
"
"4
","107
"
"2
","97
"
"5
","68
"
"0
","75
"
"0
","71
"
"0
","55
"
"0
","56
"
"0
","45
"
"0
","22
"
"10
","11
"
"0
","27
"
"0
","41
"
"0
","70
"
"1
","100
"
"0
","124
"
"0
","143
"
"2
","121
"
"0
","106
"
"0
","94
"
"0
","86
"
"0
","80
"
"0
","78
"
"0
","77
"
"0
","50
"
"0
","31
"
"0
","12
"
"0
","10
"
"0
","34
"
"0
","79
"
"0
","90
"
"0
","116
"
"0
","122
"
"0
","112
"
"2
","97
"
"0
","76
"
"6
","63
"
"0
","72
"
"0
","68
"
"0
","61
"
"0
","44
"
"0
","34
"
"3
","11
"
"4
","30
"
"0
","33
"
"0
","48
"
"5
","86
"
"0
","114
"
"0
","131
"
"0
","121
"
"0
","113
"
"0
","97
"
"0
","90
"
"0
","84
"
"0
","75
"
"0
","69
"
"10
","55
"
"0
","45
"
"4
","22
"
"0
","11
"
"0
","25
"
"0
","44
"
"0
","72
"
"0
","95
"
"0
","121
"
"3
","118
"
"2
","101
"
"0
","98
"
"3
","86
"
"0
","66
"
"5
","74
"
"0
","61
"
"1
","55
"
"0
","45
"
"0
","25
"
"0
","11
"
"0
","41
"
"0
","40
"
"0
","65
"
"0
","97
"
"0
","120
"
"0
","133
"
"3
","123
"
"0
","122
"
"0
","101
"
"0
","89
"
"0
","79
"
"0
","80
"
"0
","65
"
"0
","55
"
"0
","37
"
"0
","13
"
"0
","10
"
"0
","31
"
"0
","48
"
"0
","87
"
"3
","98
"
"2
","120
"
"2
","117
"
"5
","104
"
"1
","79
"
"0
","80
"
"0
","74
"
"3
","68
"
"0
","58
"
"0
","46
"
"0
","35
"
"0
","12
"
"0
","17
"
"0
","29
"
"0
","49
"
"3
","86
"
"0
","115
"
"0
","129
"
"0
","127
"
"0
","119
"
"0
","125
"
"0
","94
"
"0
","86
"
"0
","75
"
"0
","69
"
"0
","62
"
"0
","39
"
"0
","31
"
"0
","10
"
"0
","22
"
"0
","38
"
"0
","72
"
"0
","100
"
"0
","110
"
"9
","121
"
"3
","108
"
"0
","98
"
"0
","82
"
"0
","66
"
"0
","72
"
"3
","45
"
"0
","56
"
"0
","39
"
"0
","17
"
"0
","13
"
"0
","30
"
"0
","44
"
"4
","91
"
"0
","100
"
"0
","128
"
"0
","127
"
"0
","124
"
"0
","107
"
"0
","112
"
"0
","91
"
"0
","73
"
"0
","67
"
"0
","62
"
"0
","48
"
"3
","30
"
"0
","19
"
"0
","18
"
"0
","35
"
"0
","65
"
"0
","95
"
"0
","116
"
"0
","111
"
"7
","114
"
"5
","98
"
"0
","89
"
"0
","79
"
"0
","68
"
"0
","64
"
"5
","42
"
"0
","47
"
"0
","28
"
"3
","10
"
"0
","21
"
"0
","38
"
"0
","59
"
"12
","114
"
"0
","123
"
"0
","127
"
"0
","121
"
"0
","111
"
"0
","102
"
"0
","106
"
"0
","75
"
"0
","69
"
"0
","60
"
"0
","51
"
"0
","26
"
"0
","22
"
"0
","18
"
"0
","36
"
"0
","62
"
"0
","97
"
"0
","116
"
"0
","118
"
"9
","92
"
"3
","101
"
"1
","86
"
"0
","81
"
"0
","70
"
"0
","62
"
"0
","57
"
"3
","43
"
"0
","28
"
"5
","11
"
"0
","22
"
"0
","39
"
"0
","58
"
"7
","95
"
"7
","134
"
"0
","134
"
"0
","127
"
"0
","115
"
"0
","102
"
"0
","93
"
"0
","96
"
"0
","68
"
"0
","63
"
"0
","71
"
"0
","42
"
"1
","16
"
"0
","10
"
"0
","16
"
"0
","37
"
"5
","83
"
"0
","106
"
"0
","123
"
"0
","115
"
"3
","89
"
"8
","96
"
"0
","86
"
"0
","66
"
"0
","68
"
"0
","60
"
"0
","56
"
"6
","39
"
"0
","16
"
"0
","12
"
"0
","31
"
"0
","47
"
"0
","79
"
"0
","108
"
"0
","148
"
"0
","132
"
"0
","131
"
"0
","109
"
"0
","96
"
"0
","89
"
"0
","97
"
"0
","73
"
"0
","60
"
"0
","48
"
"0
","26
"
"0
","12
"
"0
","17
"
"9
","18
"
"0
","66
"
"0
","97
"
"0
","116
"
"0
","118
"
"5
","113
"
"0
","121
"
"3
","87
"
"0
","74
"
"0
","69
"
"0
","58
"
"0
","59
"
"0
","45
"
"0
","19
"
"6
","11
"
