CH1,CH2
"39
","106
"
"33
","93
"
"34
","312
"
"36
","160
"
"50
","17
"
"49
","217
"
"28
","220
"
"126
","29
"
"47
","300
"
"40
","420
"
"62
","190
"
"31
","11
"
"59
","59
"
"64
","55
"
"75
","35
"
"38
","174
"
"56
","203
"
"65
","331
"
"39
","55
"
"38
","145
"
"29
","413
"
"42
","71
"
"48
","60
"
"35
","158
"
"70
","246
"
"58
","129
"
"49
","36
"
"37
","49
"
"44
","58
"
"50
","83
"
"43
","172
"
"30
","376
"
"33
","253
"
"49
","106
"
"54
","381
"
"37
","738
"
"49
","185
"
"42
","114
"
"65
","81
"
"30
","195
"
"43
","29
"
"30
","10
"
"79
","133
"
"68
","102
"
"31
","93
"
"44
","46
"
"78
","35
"
"33
","0
"
"34
","71
"
"72
","10
"
"75
","40
"
"72
","124
"
"35
","30
"
"34
","71
"
"61
","0
"
"54
","46
"
"39
","114
"
"33
","326
"
"72
","106
"
"35
","41
"
"45
","216
"
"71
","37
"
"82
","45
"
"51
","44
"
"36
","156
"
"28
","182
"
"87
","305
"
"58
","454
"
"70
","325
"
"36
","361
"
"70
","428
"
"36
","321
"
"36
","245
"
"53
","152
"
"125
","0
"
"52
","15
"
"58
","84
"
"54
","195
"
"67
","169
"
"38
","158
"
"30
","77
"
"55
","107
"
"103
","233
"
"68
","49
"
"34
","238
"
"35
","199
"
"82
","167
"
"41
","28
"
"30
","82
"
"42
","71
"
"66
","31
"
"41
","198
"
"49
","3
"
"31
","13
"
"92
","45
"
"33
","17
"
"35
","17
"
"40
","101
"
"85
","87
"
"44
","194
"
"33
","158
"
"32
","34
"
"70
","203
"
"30
","117
"
"45
","36
"
"38
","174
"
"87
","106
"
"36
","0
"
"33
","74
"
"66
","146
"
"77
","0
"
"33
","4
"
"62
","210
"
"40
","33
"
"67
","125
"
"49
","52
"
"37
","29
"
"33
","27
"
"50
","76
"
"36
","184
"
"71
","121
"
"51
","27
"
"49
","83
"
"32
","132
"
"56
","190
"
"65
","150
"
"43
","2
"
"44
","102
"
"41
","48
"
"75
","131
"
"91
","0
"
"35
","193
"
"51
","276
"
"37
","125
"
"54
","116
"
"92
","249
"
"74
","150
"
"46
","20
"
"71
","101
"
"59
","163
"
"35
","69
"
"33
","361
"
"33
","312
"
"38
","33
"
"35
","152
"
"37
","24
"
"126
","6
"
"53
","156
"
"36
","311
"
"47
","128
"
"47
","243
"
"65
","47
"
"114
","105
"
"66
","0
"
"47
","47
"
"35
","20
"
"56
","164
"
"49
","120
"
"36
","7
"
"30
","109
"
"30
","113
"
"30
","80
"
"34
","199
"
"43
","91
"
"31
","20
"
"41
","29
"
"43
","82
"
"49
","164
"
"37
","15
"
"39
","71
"
"36
","90
"
"31
","18
"
"32
","46
"
"31
","31
"
"65
","55
"
"50
","45
"
"62
","99
"
"54
","78
"
"44
","76
"
"35
","203
"
"69
","89
"
"37
","15
"
"32
","41
"
"34
","274
"
"35
","315
"
"32
","91
"
"44
","289
"
"45
","264
"
"33
","47
"
"68
","102
"
"40
","29
"
"37
","202
"
"69
","277
"
"95
","184
"
"38
","68
"
"55
","109
"
"90
","241
"
"91
","120
"
"132
","0
"
"77
","79
"
"59
","362
"
"37
","100
"
"65
","85
"
"52
","109
"
"37
","95
"
"30
","142
"
"30
","176
"
"30
","32
"
"60
","77
"
"31
","169
"
"32
","11
"
"33
","154
"
"35
","241
"
"37
","13
"
"39
","179
"
"33
","130
"
"53
","53
"
"56
","107
"
"42
","73
"
"33
","54
"
"32
","137
"
"32
","147
"
"38
","22
"
"30
","16
"
"34
","238
"
"34
","142
"
"36
","4
"
"41
","0
"
"52
","26
"
"62
","176
"
"30
","14
"
"40
","63
"
"48
","13
"
"33
","0
"
"39
","50
"
"27
","211
"
"71
","29
"
"41
","108
"
"44
","44
"
"48
","127
"
"36
","61
"
"32
","17
"
"32
","126
"
"46
","171
"
"33
","141
"
"44
","3
"
"36
","92
"
"31
","54
"
"37
","0
"
"35
","2
"
"35
","74
"
"38
","0
"
"37
","0
"
"34
","100
"
"34
","138
"
"42
","4
"
"62
","150
"
"42
","28
"
"48
","204
"
"67
","158
"
"49
","126
"
"45
","319
"
"59
","307
"
"32
","65
"
"44
","187
"
"52
","12
"
"88
","152
"
"66
","23
"
"34
","67
"
"49
","37
"
"33
","112
"
"37
","15
"
"37
","45
"
"36
","39
"
"54
","0
"
"38
","56
"
"30
","4
"
"52
","0
"
"64
","109
"
"26
","40
"
"33
","17
"
"37
","38
"
"38
","17
"
"33
","16
"
"77
","68
"
"42
","220
"
"67
","181
"
"52
","24
"
"44
","34
"
"71
","150
"
"48
","234
"
"41
","11
"
"47
","26
"
"35
","0
"
"51
","0
"
"39
","6
"
"38
","39
"
"36
","140
"
"37
","102
"
"46
","28
"
"39
","92
"
"30
","8
"
"30
","35
"
"31
","60
"
"34
","21
"
"33
","84
"
"34
","0
"
"36
","75
"
"42
","82
"
"35
","54
"
"38
","86
"
"56
","116
"
"38
","30
"
"30
","106
"
"44
","238
"
"48
","44
"
"48
","26
"
"34
","10
"
"35
","0
"
"53
","26
"
"72
","178
"
"116
","122
"
"61
","71
"
"64
","31
"
"45
","9
"
"54
","40
"
"44
","0
"
"30
","127
"
"49
","350
"
"85
","173
"
