CH1,CH2
"141
","32
"
"73
","19
"
"83
","26
"
"116
","5
"
"110
","0
"
"65
","0
"
"44
","0
"
"43
","0
"
"51
","0
"
"50
","0
"
"57
","8
"
"100
","18
"
"116
","33
"
"143
","17
"
"70
","0
"
"77
","0
"
"82
","0
"
"129
","0
"
"149
","29
"
"121
","19
"
"66
","0
"
"43
","0
"
"23
","0
"
"51
","0
"
"111
","16
"
"111
","49
"
"76
","41
"
"59
","6
"
"52
","0
"
"31
","16
"
"25
","29
"
"97
","5
"
"43
","0
"
"77
","5
"
"123
","26
"
"114
","0
"
"44
","34
"
"163
","24
"
"194
","0
"
"60
","72
"
"84
","104
"
"59
","0
"
"31
","0
"
"75
","0
"
"245
","0
"
"307
","0
"
"184
","0
"
"93
","13
"
"55
","34
"
"53
","45
"
"53
","35
"
"142
","42
"
"182
","48
"
"113
","7
"
"81
","0
"
"93
","18
"
"47
","10
"
"117
","41
"
"99
","0
"
"60
","38
"
"33
","53
"
"45
","20
"
"45
","0
"
"53
","7
"
"66
","48
"
"87
","55
"
"97
","18
"
"51
","10
"
"47
","8
"
"59
","7
"
"185
","9
"
"130
","25
"
"56
","15
"
"5
","11
"
"54
","29
"
"47
","0
"
"59
","11
"
"74
","3
"
"103
","35
"
"102
","24
"
"331
","7
"
"295
","10
"
"188
","0
"
"49
","26
"
"86
","51
"
"120
","8
"
"195
","0
"
"175
","39
"
"57
","21
"
"71
","0
"
"112
","1
"
"97
","2
"
"71
","53
"
"39
","61
"
"103
","59
"
"142
","63
"
"98
","0
"
"8
","29
"
"78
","37
"
"79
","35
"
"100
","0
"
"83
","3
"
"59
","21
"
"72
","44
"
"95
","4
"
"149
","9
"
"56
","18
"
"96
","31
"
"61
","4
"
"105
","11
"
"258
","44
"
"255
","0
"
"63
","20
"
"124
","20
"
"161
","21
"
"253
","14
"
"173
","21
"
"57
","42
"
"52
","20
"
"63
","0
"
"59
","0
"
"10
","0
"
"55
","21
"
"52
","55
"
"56
","15
"
"76
","2
"
"125
","15
"
"125
","0
"
"162
","0
"
"253
","29
"
"96
","49
"
"75
","9
"
"215
","12
"
"230
","13
"
"28
","0
"
"138
","10
"
"224
","35
"
"148
","20
"
"48
","2
"
"55
","0
"
"102
","33
"
"104
","0
"
"209
","40
"
"78
","0
"
"230
","51
"
"234
","21
"
"59
","110
"
"93
","68
"
"55
","27
"
"79
","0
"
"59
","0
"
"22
","2
"
"165
","65
"
"63
","124
"
"58
","35
"
"58
","4
"
"49
","0
"
"66
","0
"
"68
","0
"
"44
","40
"
"68
","39
"
"60
","0
"
"60
","29
"
"61
","99
"
"204
","124
"
"138
","89
"
"106
","7
"
"224
","29
"
"302
","41
"
"293
","17
"
"121
","4
"
"192
","0
"
"111
","0
"
"60
","0
"
"171
","0
"
"88
","19
"
"138
","6
"
"143
","14
"
"166
","19
"
"105
","0
"
"122
","0
"
"53
","1
"
"180
","18
"
"311
","0
"
"212
","9
"
"46
","23
"
"237
","50
"
"317
","1
"
"98
","109
"
"328
","106
"
"82
","0
"
"72
","79
"
"123
","64
"
"46
","0
"
"50
","0
"
"146
","0
"
"202
","52
"
"150
","64
"
"135
","0
"
"98
","10
"
"78
","0
"
"53
","0
"
"57
","1
"
"55
","23
"
"251
","85
"
"146
","28
"
"49
","0
"
"80
","9
"
"55
","54
"
"80
","60
"
"224
","51
"
"147
","99
"
"86
","91
"
"52
","59
"
"144
","21
"
"119
","18
"
"67
","7
"
"62
","44
"
"109
","45
"
"61
","31
"
"65
","50
"
"94
","40
"
"83
","60
"
"127
","25
"
"145
","4
"
"70
","26
"
"202
","35
"
"130
","45
"
"128
","14
"
"70
","37
"
"108
","6
"
"91
","17
"
"50
","44
"
"75
","4
"
"173
","42
"
"239
","0
"
"215
","0
"
"146
","28
"
"163
","62
"
"143
","15
"
"56
","11
"
"86
","18
"
"156
","25
"
"90
","45
"
"116
","29
"
"155
","22
"
"222
","0
"
"95
","5
"
"104
","0
"
"148
","4
"
"266
","12
"
"123
","25
"
"71
","12
"
"79
","12
"
"76
","0
"
"66
","0
"
"61
","16
"
"192
","34
"
"115
","33
"
"101
","15
"
"176
","78
"
"49
","108
"
"58
","11
"
"91
","0
"
"57
","11
"
"72
","61
"
"106
","15
"
"72
","0
"
"50
","0
"
"10
","35
"
"91
","20
"
"55
","0
"
"81
","14
"
"58
","9
"
"47
","15
"
"21
","0
"
"117
","38
"
"125
","15
"
"144
","8
"
"209
","0
"
