CH1,CH2
"28
","0
"
"32
","0
"
"33
","0
"
"30
","0
"
"32
","0
"
"39
","0
"
"33
","0
"
"28
","0
"
"29
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"31
","0
"
"33
","0
"
"33
","0
"
"32
","0
"
"35
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"31
","0
"
"30
","0
"
"31
","0
"
"33
","0
"
"33
","0
"
"31
","0
"
"34
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"31
","0
"
"30
","0
"
"34
","0
"
"33
","0
"
"34
","0
"
"33
","0
"
"33
","0
"
"33
","0
"
"28
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"30
","0
"
"29
","0
"
"33
","0
"
"33
","0
"
"33
","0
"
"30
","0
"
"28
","0
"
"32
","1
"
"40
","0
"
"30
","0
"
"31
","0
"
"31
","1
"
"32
","0
"
"33
","0
"
"33
","0
"
"34
","0
"
"36
","0
"
"30
","0
"
"30
","0
"
"31
","0
"
"35
","0
"
"29
","0
"
"31
","0
"
"31
","2
"
"37
","0
"
"33
","0
"
"33
","0
"
"35
","0
"
"32
","0
"
"29
","0
"
"29
","0
"
"29
","0
"
"35
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"36
","0
"
"33
","0
"
"33
","0
"
"34
","4
"
"35
","0
"
"31
","0
"
"30
","0
"
"30
","0
"
"27
","0
"
"25
","0
"
"30
","7
"
"31
","0
"
"40
","0
"
"33
","1
"
"32
","0
"
"35
","0
"
"31
","0
"
"30
","0
"
"30
","5
"
"30
","3
"
"31
","0
"
"30
","0
"
"31
","0
"
"32
","0
"
"38
","0
"
"35
","0
"
"33
","0
"
"34
","0
"
"30
","0
"
"28
","0
"
"29
","0
"
"29
","0
"
"31
","0
"
"30
","0
"
"31
","0
"
"33
","0
"
"32
","0
"
"33
","0
"
"34
","0
"
"31
","0
"
"30
","0
"
"29
","0
"
"30
","0
"
"31
","0
"
"36
","0
"
"31
","0
"
"34
","0
"
"33
","0
"
"34
","0
"
"35
","0
"
"34
","0
"
"29
","0
"
"26
","0
"
"25
","0
"
"30
","0
"
"32
","0
"
"37
","0
"
"34
","0
"
"33
","0
"
"33
","0
"
"33
","0
"
"34
","1
"
"33
","7
"
"30
","0
"
"39
","0
"
"30
","0
"
"29
","0
"
"29
","0
"
"34
","0
"
"31
","0
"
"33
","0
"
"33
","0
"
"40
","0
"
"35
","0
"
"31
","0
"
"28
","0
"
"30
","0
"
"31
","0
"
"30
","0
"
"30
","0
"
"41
","0
"
"31
","0
"
"32
","0
"
"33
","0
"
"41
","0
"
"35
","0
"
"30
","0
"
"28
","0
"
"25
","0
"
"29
","0
"
"30
","0
"
"29
","0
"
"38
","0
"
"33
","0
"
"34
","0
"
"31
","2
"
"28
","0
"
"33
","0
"
"31
","0
"
"30
","0
"
"24
","0
"
"29
","0
"
"30
","0
"
"31
","5
"
"29
","0
"
"31
","0
"
"33
","0
"
"33
","0
"
"29
","0
"
"32
","0
"
"30
","0
"
"28
","0
"
"26
","0
"
"29
","0
"
"31
","0
"
"31
","0
"
"29
","0
"
"33
","0
"
"34
","0
"
"35
","0
"
"44
","0
"
"31
","0
"
"28
","0
"
"28
","0
"
"37
","0
"
"29
","0
"
"31
","0
"
"31
","0
"
"35
","0
"
"33
","0
"
"33
","2
"
"34
","6
"
"29
","0
"
"30
","0
"
"30
","0
"
"29
","0
"
"22
","0
"
"32
","0
"
"31
","0
"
"30
","0
"
"25
","0
"
"32
","0
"
"34
","0
"
"36
","0
"
"32
","0
"
"30
","0
"
"30
","0
"
"29
","0
"
"21
","0
"
"30
","0
"
"31
","0
"
"32
","0
"
"22
","0
"
"33
","0
"
"33
","0
"
"35
","0
"
"20
","4
"
"30
","0
"
"32
","9
"
"31
","0
"
"33
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"22
","0
"
"33
","0
"
"33
","0
"
"35
","0
"
"24
","0
"
"28
","0
"
"28
","0
"
"31
","0
"
"21
","0
"
"30
","0
"
"31
","0
"
"34
","0
"
"23
","0
"
"33
","0
"
"35
","0
"
"34
","0
"
"28
","0
"
"30
","0
"
"30
","0
"
"28
","0
"
"22
","0
"
"30
","0
"
"31
","0
"
"32
","0
"
"36
","0
"
"34
","0
"
"34
","3
"
"31
","0
"
"30
","0
"
"30
","0
"
"29
","0
"
