CH1,CH2
14,-6
10,-7
-6,-12
-16,-13
-22,-13
-21,-7
-7,2
9,10
24,16
31,13
22,3
0,-10
-16,-17
-27,-22
-30,-19
-18,-9
2,3
21,13
32,16
26,10
5,1
-6,-3
-15,-8
-20,-6
-10,3
7,14
25,22
35,24
31,17
9,3
-5,-3
-15,-7
-21,-9
-14,-3
2,5
20,13
33,16
31,11
13,0
-3,-7
-16,-12
-23,-12
-17,-1
1,11
19,21
31,28
29,23
11,10
-7,2
-16,-2
-21,-4
-15,-1
1,5
19,12
33,14
32,6
13,-6
-5,-12
-17,-17
-25,-14
-17,-3
-1,11
16,24
27,30
26,26
9,11
-8,2
-19,-4
-25,-9
-20,-7
-2,-1
16,4
30,8
31,3
15,-7
-6,-14
-17,-17
-27,-17
-23,-7
-5,9
13,21
29,32
35,31
23,21
5,8
-4,0
-12,-5
-12,-7
0,-2
17,1
30,5
33,2
19,-5
-3,-13
-17,-15
-29,-15
-31,-7
-16,6
2,23
20,34
30,35
23,25
2,10
-9,0
-17,-10
-20,-14
-8,-10
9,-4
23,0
29,0
18,-7
-3,-13
-16,-14
-22,-11
-20,-2
-6,12
13,27
29,36
35,36
25,24
4,9
-8,-1
-19,-12
-26,-19
-16,-15
1,-6
18,-1
28,0
20,-5
0,-12
-13,-12
-24,-11
-24,-1
-10,13
11,28
32,39
42,39
35,28
15,11
0,-1
-11,-12
-17,-16
-6,-15
9,-7
24,-3
30,-2
21,-7
-1,-13
-16,-13
-27,-11
-28,-3
-14,12
6,28
24,36
34,36
28,26
8,9
-4,-1
-15,-12
-22,-17
-13,-12
4,-3
22,3
32,5
26,2
7,-4
-4,-4
-14,-4
-19,0
-10,10
7,23
23,31
33,33
32,28
16,13
1,2
-9,-9
-17,-15
-15,-16
-1,-10
11,-4
19,-1
15,-5
-2,-10
-14,-10
-27,-11
-33,-6
-23,4
-5,18
16,29
28,33
27,26
12,13
-1,1
-12,-10
-19,-17
-13,-16
3,-9
18,-3
27,-1
22,-6
2,-12
-10,-13
-20,-12
-22,-4
-12,8
7,22
26,33
36,36
33,29
14,12
-3,0
-14,-11
-23,-17
-16,-15
0,-7
18,0
28,3
25,0
5,-8
-10,-8
-19,-6
-23,0
-14,11
4,25
22,36
34,39
31,31
14,14
-5,0
-17,-12
-26,-19
-22,-17
-2,-8
16,-2
28,3
27,0
8,-8
-6,-9
-15,-9
-23,-6
-18,5
0,20
20,31
37,37
41,31
26,16
4,0
-7,-11
-18,-19
-19,-20
-6,-12
11,-4
23,3
24,0
9,-5
-8,-9
-18,-8
-26,-7
-23,3
-5,18
15,31
34,38
40,35
28,20
6,4
-6,-7
-20,-18
-24,-22
-12,-14
8,-4
24,3
28,5
18,0
-2,-4
-13,-3
-20,-2
-20,4
-7,17
11,28
27,36
34,33
24,20
2,2
-11,-9
-21,-18
-23,-22
-11,-16
8,-6
25,1
32,4
24,-1
2,-6
-9,-7
-19,-8
-23,-2
-11,9
9,22
29,31
40,32
36,23
17,6
-1,-6
-13,-16
-22,-21
-17,-17
0,-8
15,1
25,6
19,3
-1,-5
-17,-7
-26,-7
-27,-3
-16,7
3,21
23,29
34,32
33,24
14,8
-5,-4
-16,-12
-25,-17
-20,-14
-3,-5
13,2
27,7
25,5
7,-2
-8,-4
-17,-4
-19,-1
-11,8
4,19
22,30
35,34
35,27
20,12
-2,-2
-15,-13
-25,-20
-23,-18
-7,-9
12,0
28,7
31,5
17,-1
-2,-7
-15,-8
-25,-8
-25,0
-8,13
11,26
30,33
36,31
25,17
3,2
-7,-7
-18,-16
-21,-17
-8,-10
9,0
25,6
30,6
18,0
-2,-6
-13,-8
-23,-9
-22,-1
-7,10
13,23
30,31
38,33
30,22
7,6
-6,-4
-17,-13
-21,-16
-11,-11
6,-1
21,5
29,6
20,0
-2,-9
-16,-10
-26,-9
-27,-2
-14,10
6,23
25,32
34,33
28,24
8,8
-5,-3
-17,-12
-23,-18
-14,-15
2,-5
19,2
30,4
24,0
4,-6
-11,-8
-23,-8
-27,-4
-18,6
1,20
22,30
35,33
34,26
16,9
-1,-2
-14,-11
-22,-17
-15,-15
1,-6
17,1
30,5
28,3
11,-5
-5,-9
-14,-10
-24,-7
-18,2
0,16
19,28
33,34
35,29
19,13
-1,0
-14,-11
-23,-17
-21,-16
-4,-7
14,0
28,5
27,3
11,-5
-7,-9
-17,-9
-23,-6
-19,3
-2,17
16,30
32,36
36,32
23,18
1,3
-10,-6
-19,-15
-21,-15
-7,-10
10,-2
22,3
25,2
10,-5
-8,-8
-16,-9
-25,-6
-22,1
-7,14
11,25
28,33
36,32
31,21
13,7
2,-2
-9,-12
-13,-14
-3,-9
12,-3
25,2
29,3
20,-1
1,-6
-10,-7
-20,-8
-22,-1
-12,10
5,22
22,29
30,30
25,22
10,9
-2,0
-13,-10
-18,-14
-12,-12
3,-6
16,0
23,1
16,-3
-2,-8
-13,-9
-21,-8
-23,-3
-12,7
5,19
21,27
30,29
24,20
6,5
-10,-5
-22,-14
-29,-19
-20,-15
-3,-6
14,0
25,4
19,0
-1,-7
-14,-9
-23,-8
-26,-3
-16,7
3,21
23,32
36,35
36,28
18,13
1,1
-8,-10
-17,-16
-10,-14
6,-6
24,2
37,6
33,3
13,-5
-6,-8
-16,-7
-21,-3
-13,7
3,21
22,32
36,36
36,31
20,16
-2,2
-14,-8
-22,-16
-19,-16
-3,-8
15,-1
27,4
28,1
11,-7
-11,-10
-25,-11
-32,-8
-26,2
-7,17
15,30
33,36
36,32
21,18
0,2
-12,-9
-25,-19
-24,-19
-8,-12
12,-3
27,2
29,1
13,-6
-8,-10
-19,-11
-27,-8
-21,2
-3,18
18,31
35,37
39,33
27,19
6,5
-6,-6
-16,-16
-18,-17
-3,-11
13,-2
28,3
29,2
14,-6
-9,-11
-22,-12
-30,-8
-25,2
-8,15
12,28
29,34
34,30
23,16
1,2
-9,-9
-20,-16
-23,-18
-11,-12
8,-3
23,3
29,4
19,-2
-2,-9
-13,-9
-22,-7
-19,0
-5,14
14,26
32,36
40,34
31,23
9,8
-5,-3
-18,-13
-27,-17
-19,-14
-1,-5
13,0
22,1
15,-4
-5,-10
-17,-11
-26,-9
-26,-1
-12,12
8,27
28,35
39,36
32,24
11,8
-3,-3
-14,-13
-19,-16
-8,-11
8,-2
26,3
34,6
27,1
5,-6
-8,-9
-18,-10
-24,-5
-14,6
5,22
24,32
37,35
34,28
16,11
-1,-1
-13,-11
-21,-17
-14,-14
4,-5
21,2
32,6
28,1
7,-6
-9,-8
-20,-9
-28,-6
-22,4
-4,18
17,30
33,36
36,30
19,15
0,1
-12,-9
-23,-17
-20,-16
-3,-8
14,0
27,4
29,1
12,-7
-8,-11
-19,-13
-27,-10
-20,0
-2,15
19,28
33,34
34,30
18,15
-1,1
-14,-8
-25,-18
-23,-17
-6,-9
13,-1
27,5
30,4
14,-2
-5,-6
-15,-7
-22,-5
-20,3
-4,17
14,29
31,36
36,33
25,19
1,3
-11,-7
-22,-16
-24,-18
-11,-12
6,-3
22,4
27,3
14,-2
-6,-8
-18,-10
-28,-9
-27,-1
-12,13
11,27
30,37
38,34
28,21
5,3
-8,-8
-20,-17
-23,-19
-11,-12
9,-3
24,4
30,5
18,-3
-4,-10
-18,-12
-26,-9
-23,0
-8,13
13,27
31,35
40,33
31,22
9,6
-3,-3
-16,-14
-22,-18
-13,-14
7,-4
23,3
32,5
23,-2
0,-10
-12,-12
-20,-11
-18,-2
-3,12
16,25
32,34
38,31
30,20
8,5
-7,-5
-18,-14
-25,-18
-17,-12
0,-3
17,5
28,8
21,3
0,-4
-12,-7
-23,-7
-25,-2
-13,10
8,23
27,33
39,35
34,26
14,8
-2,-3
-13,-14
-20,-19
-13,-16
3,-7
20,0
29,4
23,0
1,-9
-15,-11
-26,-12
-30,-6
-20,5
-1,20
18,32
30,35
28,28
9,11
-8,0
-18,-10
-24,-15
-18,-13
0,-4
19,3
32,8
30,4
11,-4
-7,-7
-18,-8
-24,-3
-16,7
0,21
20,32
35,37
35,31
19,14
-2,-1
-15,-12
-25,-21
-22,-18
-6,-11
11,-1
25,2
24,0
6,-6
-10,-9
-18,-9
-21,-6
-15,4
3,18
23,30
38,35
39,31
26,17
4,3
-7,-8
-17,-17
-19,-19
-6,-14
9,-4
23,2
24,2
10,-4
-12,-9
-23,-9
-30,-7
-27,1
-10,16
13,30
33,37
39,35
27,19
4,3
-7,-7
-18,-16
-20,-19
-8,-12
10,-4
27,3
31,4
19,-3
-4,-9
-18,-10
-29,-10
-29,-1
-13,12
10,28
30,36
39,35
30,22
8,6
-5,-5
-16,-13
-20,-16
-8,-11
10,-2
27,5
32,5
21,-2
