CH1,CH2
91,0
152,0
70,0
79,0
92,0
74,0
190,0
120,0
183,0
290,0
420,0
775,0
597,0
108,0
822,0
1023,0
703,0
149,0
162,0
158,0
196,0
261,0
254,0
183,0
139,0
124,0
85,0
97,0
70,0
260,0
253,0
149,0
156,0
131,0
152,0
171,0
78,0
217,0
312,0
147,0
253,0
137,0
158,0
230,0
62,0
171,0
364,0
361,0
322,0
447,0
135,0
92,0
282,0
89,0
87,0
177,0
244,0
184,0
204,0
163,0
102,0
140,0
202,0
100,0
97,0
98,0
110,0
260,0
153,0
176,0
209,0
91,0
144,0
379,0
185,0
74,0
167,0
457,0
605,0
463,0
146,0
271,0
339,0
115,0
342,0
288,0
96,0
260,0
687,0
689,0
470,0
147,0
421,0
328,0
178,0
165,0
72,0
187,0
161,0
85,0
139,0
188,0
264,0
280,0
234,0
246,0
260,0
122,0
126,0
88,0
70,0
128,0
79,0
133,0
95,0
265,0
212,0
81,0
78,0
218,0
301,0
92,0
112,0
84,0
129,0
117,0
190,0
83,0
376,0
310,0
110,0
197,0
334,0
468,0
241,0
140,0
143,0
228,0
248,0
149,0
194,0
142,0
62,0
219,0
137,0
182,0
208,0
175,0
168,0
256,0
438,0
252,0
82,0
288,0
292,0
182,0
74,0
91,0
118,0
304,0
450,0
181,0
186,0
252,0
312,0
69,0
28,0
170,0
122,0
150,0
119,0
130,0
88,0
156,0
109,0
145,0
154,0
76,0
65,0
81,0
189,0
263,0
175,0
164,0
372,0
464,0
558,0
488,0
200,0
205,0
38,0
267,0
559,0
404,0
378,0
126,0
432,0
142,0
254,0
198,0
120,0
372,0
339,0
189,0
99,0
184,0
93,0
100,0
19,0
93,0
171,0
153,0
280,0
166,0
96,0
127,0
124,0
88,0
257,0
190,0
101,0
94,0
68,0
228,0
278,0
223,0
234,0
241,0
438,0
308,0
205,0
259,0
48,0
367,0
505,0
475,0
414,0
723,0
847,0
477,0
266,0
166,0
403,0
443,0
276,0
191,0
154,0
197,0
257,0
273,0
231,0
287,0
174,0
165,0
83,0
204,0
181,0
103,0
151,0
88,0
203,0
198,0
100,0
143,0
76,0
160,0
328,0
411,0
179,0
156,0
111,0
125,0
131,0
163,0
132,0
84,0
159,0
168,0
304,0
240,0
185,0
235,0
282,0
295,0
118,0
138,0
105,0
123,0
86,0
78,0
87,0
220,0
163,0
375,0
300,0
216,0
104,0
145,0
95,0
313,0
443,0
83,0
84,0
152,0
218,0
178,0
363,0
248,0
115,0
132,0
131,0
173,0
227,0
213,0
232,0
141,0
82,0
125,0
148,0
125,0
152,0
126,0
142,0
139,0
149,0
133,0
224,0
88,0
84,0
137,0
82,0
119,0
255,0
109,0
167,0
225,0
240,0
438,0
202,0
229,0
183,0
149,0
102,0
91,0
99,0
66,0
204,0
279,0
146,0
118,0
185,0
122,0
188,0
238,0
211,0
151,0
69,0
212,0
286,0
287,0
359,0
179,0
147,0
270,0
298,0
212,0
98,0
84,0
244,0
214,0
157,0
113,0
184,0
276,0
179,0
137,0
206,0
207,0
156,0
310,0
450,0
202,0
411,0
408,0
285,0
132,0
152,0
143,0
220,0
154,0
188,0
364,0
383,0
428,0
245,0
346,0
165,0
502,0
633,0
314,0
153,0
165,0
84,0
139,0
377,0
714,0
775,0
433,0
312,0
196,0
174,0
203,0
142,0
89,0
136,0
179,0
337,0
216,0
73,0
99,0
156,0
127,0
95,0
262,0
208,0
203,0
159,0
293,0
215,0
323,0
308,0
161,0
98,0
76,0
205,0
329,0
199,0
78,0
81,0
188,0
126,0
88,0
144,0
93,0
295,0
484,0
653,0
621,0
294,0
297,0
585,0
694,0
348,0
241,0
184,0
115,0
183,0
216,0
238,0
165,0
181,0
180,0
196,0
137,0
311,0
132,0
285,0
106,0
106,0
248,0
225,0
307,0
154,0
79,0
90,0
220,0
368,0
164,0
234,0
194,0
138,0
383,0
562,0
264,0
142,0
300,0
176,0
94,0
197,0
105,0
93,0
118,0
103,0
81,0
89,0
85,0
100,0
232,0
343,0
159,0
215,0
217,0
78,0
282,0
337,0
333,0
132,0
288,0
476,0
373,0
340,0
186,0
853,0
738,0
382,0
212,0
171,0
253,0
351,0
99,0
104,0
116,0
64,0
125,0
23,0
70,0
147,0
155,0
171,0
97,0
73,0
131,0
275,0
372,0
232,0
87,0
254,0
289,0
260,0
204,0
120,0
213,0
294,0
135,0
88,0
79,0
126,0
106,0
60,0
