CH1,CH2
166,0
157,0
195,0
139,0
99,0
65,0
79,0
136,0
149,0
137,0
82,0
121,0
117,0
81,0
123,0
119,0
147,0
164,0
205,0
169,0
163,0
150,0
179,0
118,0
76,0
85,0
119,0
157,0
158,0
132,0
123,0
103,0
101,0
71,0
143,0
136,0
153,0
180,0
200,0
184,0
168,0
160,0
175,0
94,0
74,0
96,0
162,0
159,0
152,0
140,0
166,0
129,0
92,0
85,0
154,0
139,0
161,0
165,0
173,0
156,0
146,0
155,0
181,0
84,0
72,0
110,0
220,0
157,0
144,0
126,0
192,0
119,0
79,0
105,0
172,0
153,0
163,0
166,0
172,0
154,0
148,0
155,0
109,0
73,0
57,0
96,0
125,0
132,0
123,0
101,0
175,0
95,0
89,0
125,0
143,0
156,0
169,0
174,0
166,0
148,0
154,0
135,0
90,0
81,0
109,0
133,0
153,0
161,0
134,0
100,0
105,0
80,0
99,0
130,0
152,0
160,0
168,0
163,0
156,0
144,0
152,0
114,0
74,0
88,0
127,0
113,0
95,0
112,0
105,0
81,0
77,0
70,0
111,0
142,0
163,0
167,0
167,0
161,0
148,0
149,0
141,0
91,0
68,0
102,0
126,0
139,0
137,0
143,0
110,0
119,0
80,0
90,0
124,0
154,0
166,0
175,0
172,0
159,0
151,0
154,0
119,0
83,0
70,0
120,0
155,0
151,0
127,0
112,0
103,0
84,0
63,0
118,0
150,0
172,0
174,0
177,0
170,0
155,0
157,0
141,0
95,0
80,0
101,0
147,0
159,0
156,0
136,0
111,0
108,0
69,0
93,0
122,0
146,0
162,0
167,0
165,0
154,0
150,0
159,0
131,0
78,0
78,0
114,0
143,0
154,0
139,0
118,0
101,0
122,0
79,0
106,0
130,0
152,0
184,0
200,0
185,0
163,0
157,0
150,0
108,0
83,0
80,0
117,0
139,0
142,0
129,0
107,0
120,0
98,0
90,0
120,0
140,0
167,0
174,0
174,0
156,0
150,0
154,0
134,0
84,0
82,0
96,0
123,0
143,0
144,0
112,0
93,0
118,0
68,0
107,0
132,0
149,0
158,0
166,0
168,0
157,0
155,0
165,0
117,0
72,0
75,0
108,0
132,0
137,0
130,0
108,0
90,0
82,0
83,0
120,0
147,0
155,0
166,0
164,0
157,0
151,0
156,0
146,0
94,0
80,0
104,0
138,0
146,0
154,0
127,0
108,0
117,0
82,0
94,0
127,0
152,0
167,0
171,0
165,0
157,0
147,0
150,0
121,0
87,0
82,0
115,0
108,0
99,0
115,0
100,0
101,0
95,0
80,0
113,0
139,0
161,0
170,0
168,0
165,0
155,0
151,0
140,0
98,0
84,0
89,0
127,0
157,0
153,0
140,0
