CH1,CH2
1,2
1,1
1,1
1,2
4,5
7,6
9,8
10,10
12,9
10,6
4,0
4,3
9,5
8,3
3,0
1,0
3,0
5,0
8,0
10,4
10,6
9,6
7,3
5,1
1,1
4,2
10,2
12,0
7,4
0,4
6,5
10,5
12,5
11,4
8,2
6,2
3,2
0,1
4,2
4,5
1,8
3,10
7,10
11,8
14,7
14,7
11,7
9,6
5,5
1,3
3,2
9,0
12,0
11,1
4,2
3,2
7,2
6,0
4,2
6,3
10,2
13,2
11,3
7,2
1,0
3,3
9,7
13,7
15,6
12,2
7,2
2,9
3,15
6,16
9,12
13,8
19,4
22,4
16,4
7,4
2,3
0,4
1,4
3,4
6,4
9,3
11,2
12,2
9,3
2,3
3,3
7,3
7,3
1,4
6,4
10,3
9,4
3,4
2,3
5,2
6,1
6,1
2,3
2,4
7,6
10,6
12,3
10,0
8,6
5,11
2,15
2,15
3,13
3,13
3,13
4,12
3,7
0,2
4,3
8,9
9,14
6,15
0,10
6,2
9,4
8,10
6,15
8,16
12,13
14,9
14,4
11,0
7,4
2,10
1,11
4,9
5,3
4,3
0,9
2,11
2,11
1,10
1,8
2,7
2,6
1,5
1,3
3,6
6,9
11,9
14,7
10,1
2,3
3,6
5,7
3,4
3,0
9,5
11,8
11,9
6,8
1,5
2,2
3,1
2,4
2,6
2,5
0,1
2,1
3,2
1,1
0,1
1,2
2,5
4,7
4,7
2,8
2,9
3,11
8,13
13,14
15,12
15,6
11,2
9,1
6,2
4,3
3,3
0,3
3,2
5,3
5,3
4,2
2,1
1,0
0,2
1,4
2,5
1,4
0,3
3,0
7,0
9,1
8,4
2,8
3,12
4,14
1,13
3,11
6,9
8,7
10,7
11,6
12,4
11,2
10,0
10,1
10,0
9,0
7,2
3,3
0,1
5,0
11,0
14,1
14,2
11,3
6,3
2,3
1,2
7,0
12,3
17,6
19,7
18,9
12,9
6,10
1,10
2,12
7,12
12,10
13,6
10,1
5,2
1,3
5,2
8,0
7,0
4,0
1,2
0,2
2,1
3,0
4,2
5,4
2,5
2,6
7,6
8,6
7,7
5,7
0,4
7,1
13,1
16,1
14,0
10,3
9,5
9,4
7,0
0,6
7,10
13,10
13,4
7,3
0,11
5,15
8,14
9,11
9,6
9,3
9,4
8,6
8,11
10,15
11,15
9,13
4,9
0,4
3,2
3,2
3,0
3,3
