CH1,CH2
15,28
8,18
6,10
3,7
0,5
4,4
4,5
0,4
7,1
13,2
15,4
16,6
14,7
10,9
5,10
0,9
0,5
3,0
11,3
15,2
12,5
3,13
8,16
15,13
16,7
13,1
8,5
4,13
0,21
0,24
1,21
1,15
2,8
2,3
0,1
0,3
1,6
7,12
11,15
12,14
9,8
4,0
3,8
6,12
8,13
9,12
7,9
4,2
0,8
1,18
2,21
1,20
0,15
2,9
2,1
0,7
5,16
10,20
10,16
5,6
1,7
1,18
6,23
14,22
21,15
24,6
22,2
18,4
14,7
11,7
7,2
3,1
0,2
0,0
0,4
1,8
1,9
3,10
6,7
6,1
2,12
4,26
10,29
10,14
6,7
2,21
2,25
3,21
0,14
5,10
11,10
16,15
19,18
19,14
12,5
3,7
6,16
15,18
22,13
23,4
17,3
5,9
5,7
12,1
14,2
13,3
11,1
9,1
8,3
10,5
15,8
21,11
18,9
6,1
10,7
21,12
21,17
10,19
5,16
18,5
26,5
26,9
20,6
12,5
1,7
7,13
14,19
16,19
18,16
21,10
18,7
10,7
0,7
9,6
17,4
22,2
23,1
18,3
13,8
8,14
6,21
5,26
1,25
3,19
6,10
4,1
1,5
7,8
11,11
12,14
10,21
4,27
1,28
4,23
2,13
3,1
8,5
10,7
10,7
6,9
0,14
10,13
18,7
21,1
14,5
4,4
5,0
14,5
17,8
16,11
11,15
4,17
0,13
1,9
6,7
12,10
15,13
15,11
9,4
2,1
2,3
4,1
4,1
2,4
1,6
7,12
12,17
14,19
11,10
5,3
3,15
9,18
10,13
8,5
5,0
5,3
4,6
1,12
6,16
14,15
15,7
9,1
2,6
1,4
0,1
4,8
8,8
7,4
5,1
2,7
0,10
0,10
6,12
14,12
18,12
15,5
10,6
5,15
1,18
3,13
7,8
9,5
9,2
7,0
2,4
1,3
5,1
7,6
11,7
17,6
19,6
14,9
2,16
10,21
18,20
19,14
13,3
4,4
5,9
11,11
12,12
10,11
12,6
13,1
10,11
4,17
1,18
1,17
2,16
0,14
5,10
10,5
10,5
5,10
3,18
10,25
13,25
8,19
0,4
5,9
4,16
1,17
8,16
13,14
15,15
14,17
12,18
11,17
8,14
7,10
4,5
2,4
0,5
6,6
9,3
9,2
5,9
0,17
1,24
2,30
4,30
9,24
15,12
18,0
16,4
10,2
3,0
0,2
3,0
4,5
8,8
14,6
14,0
3,9
12,16
20,18
16,17
9,13
6,6
6,3
5,11
3,13
0,10
5,3
6,7
3,17
2,27
9,31
17,29
19,19
20,8
16,2
10,10
1,15
9,17
10,19
7,19
5,18
7,12
9,3
13,6
11,14
8,17
4,16
0,16
4,17
6,14
6,9
6,3
5,1
5,6
7,11
9,12
12,7
13,3
14,17
12,28
11,31
11,24
