CH1,CH2
8,17
6,18
0,15
9,8
12,0
10,7
3,14
2,16
9,16
15,13
20,3
25,9
28,16
25,16
14,9
0,2
13,0
17,5
13,13
5,22
2,26
6,23
7,17
8,17
9,20
7,20
2,17
0,11
3,5
3,1
2,3
0,4
3,6
4,6
2,8
1,14
3,21
1,28
4,31
9,30
10,26
8,20
5,13
3,5
2,1
1,2
1,6
2,6
3,0
6,11
6,22
5,30
0,30
4,25
5,18
0,13
7,13
14,16
18,23
18,29
15,28
9,22
4,16
1,14
0,14
1,12
4,6
4,1
4,9
3,7
3,1
4,1
6,1
11,8
12,15
9,20
1,24
7,27
14,22
15,15
16,5
16,0
17,1
19,2
20,6
15,13
9,23
0,29
7,29
10,22
9,7
5,6
1,14
0,19
1,19
1,14
3,2
4,10
3,19
4,24
6,26
12,29
15,32
11,27
4,15
2,1
6,7
8,11
7,7
5,3
4,5
4,12
3,16
4,15
5,6
4,4
1,12
8,13
14,9
14,2
9,2
4,5
0,6
2,8
3,10
1,8
6,2
15,1
19,2
19,4
16,11
13,20
10,30
7,36
5,35
0,27
4,10
8,5
9,15
7,16
4,12
0,3
5,4
10,5
10,2
7,3
2,5
0,1
1,5
1,13
4,16
2,18
0,17
0,19
2,19
4,16
5,11
5,8
4,7
4,5
3,0
2,13
1,27
0,33
0,29
0,21
3,15
2,11
0,9
3,6
4,3
2,1
5,0
16,2
23,2
24,0
20,7
13,15
5,23
2,28
8,28
13,26
15,24
15,24
11,21
3,13
4,0
11,10
13,13
15,9
12,1
6,3
0,3
5,1
8,5
8,7
7,4
4,1
3,4
1,0
0,8
0,12
0,6
4,5
12,15
21,22
26,22
25,18
17,15
8,18
1,24
2,26
4,20
2,9
2,2
9,10
12,16
11,20
9,19
7,14
8,7
6,4
1,2
6,0
12,3
15,3
13,1
9,7
5,12
1,15
0,17
2,14
4,8
8,3
12,17
16,31
15,42
11,43
5,32
2,15
7,0
8,9
6,9
1,0
3,6
6,13
7,19
10,25
12,29
15,27
17,15
15,1
10,17
2,25
5,24
11,17
15,13
13,13
9,17
4,18
0,16
3,13
5,7
8,1
11,9
13,14
15,17
15,19
12,18
5,11
0,2
2,4
2,4
3,0
5,8
6,17
6,24
4,28
0,25
4,11
5,5
4,19
2,26
2,23
0,16
1,7
3,0
3,4
0,8
7,10
16,6
19,2
17,1
9,4
3,10
2,18
5,23
10,24
14,25
15,26
12,25
7,17
3,8
0,3
1,6
0,11
2,11
4,3
3,10
1,23
1,31
4,33
4,27
3,14
0,3
0,19
1,30
2,27
0,18
1,9
0,1
3,7
6,15
7,19
5,20
1,19
3,15
7,9
6,2
1,5
8,15
10,26
6,32
2,29
0,17
0,3
4,2
8,2
10,1
8,1
3,3
2,3
6,0
7,2
3,3
1,1
5,0
5,1
3,3
0,3
2,1
4,8
5,18
3,27
2,31
6,28
10,18
12,4
14,2
15,2
18,13
19,20
17,20
12,15
6,10
1,6
0,10
1,19
2,20
0,8
5,10
10,31
9,48
3,59
1,60
3,51
2,34
0,17
0,4
1,2
2,7
3,5
0,0
0,1
1,0
4,8
6,19
9,33
12,46
14,53
15,47
11,32
5,16
0,3
7,6
10,12
11,9
9,2
3,5
4,9
12,8
17,4
16,0
13,3
6,9
0,10
3,9
2,6
0,3
0,4
3,16
8,24
9,24
5,18
1,8
4,0
6,6
6,10
6,8
9,2
11,3
12,7
12,7
9,5
5,1
0,1
3,2
5,1
3,1
3,3
8,6
13,8
15,9
12,10
7,13
2,12
0,7
1,4
2,4
1,5
0,5
1,1
5,6
10,17
11,26
8,29
1,21
5,1
9,21
9,35
9,31
10,16
10,0
9,9
7,9
3,1
1,6
6,10
7,7
3,1
3,2
8,3
9,3
8,2
8,1
8,6
8,12
9,16
10,12
9,3
3,3
4,6
11,1
13,3
11,5
9,3
3,1
2,0
8,2
11,1
10,0
6,0
2,3
1,11
2,19
4,24
6,23
7,17
8,6
8,3
6,14
4,21
2,20
0,11
1,2
3,13
5,17
7,14
6,6
1,0
3,0
4,2
1,9
2,14
4,15
3,12
2,7
2,2
2,3
3,9
5,13
5,15
5,13
6,8
7,5
9,2
9,1
8,6
7,11
6,13
3,14
0,16
2,23
3,29
3,28
6,15
9,1
10,15
7,20
0,15
6,6
11,4
11,10
6,9
1,1
1,5
4,6
9,1
11,2
10,4
9,6
6,5
3,2
0,2
3,3
5,2
4,11
4,15
1,12
1,4
5,2
12,8
20,9
24,7
21,0
13,10
4,16
2,16
4,11
5,4
6,0
6,2
6,3
6,2
6,2
4,10
2,18
3,17
2,8
0,2
8,11
14,14
16,14
13,9
9,0
6,9
5,18
6,25
6,30
3,31
3,28
5,20
7,4
9,12
8,26
5,32
0,33
2,29
4,18
3,6
2,4
1,13
0,19
2,20
2,15
1,5
2,5
3,10
7,11
9,7
10,0
9,11
6,20
2,24
1,22
6,16
9,8
12,0
13,5
10,8
4,7
3,1
6,5
7,7
10,3
13,1
16,6
15,6
12,6
6,3
1,0
2,4
5,12
4,24
2,36
0,42
4,38
7,23
11,4
16,9
17,19
16,22
12,23
5,21
0,15
5,7
