CH1,CH2
3,54
3,16
5,20
5,46
3,63
0,77
4,88
7,95
8,96
7,88
4,71
1,42
1,6
4,30
7,57
7,66
8,55
8,35
8,20
6,21
5,33
3,48
0,55
1,54
2,47
1,38
0,27
4,11
7,6
10,25
11,47
11,72
11,92
9,98
7,90
5,73
2,51
1,31
4,22
6,26
5,30
4,21
0,0
2,25
6,44
10,52
12,58
12,59
12,56
9,45
5,28
1,5
2,13
4,22
5,17
3,7
2,3
0,10
0,25
4,35
7,34
9,24
9,8
9,2
7,3
5,8
2,22
0,24
0,14
1,4
1,4
1,12
0,20
1,28
4,32
7,26
9,12
10,5
9,22
7,38
4,53
2,71
0,86
2,86
4,66
4,34
2,0
0,32
3,62
7,83
9,86
11,66
10,31
8,0
5,21
1,28
1,31
4,37
6,41
6,37
6,24
5,1
2,29
1,57
5,74
7,75
8,71
9,70
7,71
6,60
5,29
4,7
3,39
2,64
0,82
0,88
0,85
0,75
2,57
5,34
7,7
8,8
8,8
8,1
7,6
5,2
3,2
2,4
1,2
1,0
1,5
1,7
1,6
2,2
4,2
5,9
5,17
5,26
3,27
2,14
2,8
1,31
0,41
0,36
1,25
2,12
2,0
2,9
0,6
2,4
5,13
8,15
11,9
11,2
11,4
8,15
5,33
2,43
1,40
3,27
5,17
5,9
4,5
0,23
3,34
7,42
9,55
11,79
12,98
11,97
9,78
7,53
3,29
0,0
2,39
4,79
4,93
3,71
2,27
0,15
2,42
4,48
6,35
9,9
9,24
8,54
5,77
2,83
1,72
2,56
3,47
3,44
2,35
1,12
0,18
0,50
3,69
7,75
10,66
12,43
12,11
10,22
6,46
3,56
0,54
2,42
3,25
3,3
2,17
0,38
2,47
4,36
5,6
6,24
5,40
6,43
6,46
6,55
6,58
5,48
2,33
0,23
0,11
0,9
1,35
2,55
4,66
6,72
7,72
7,60
7,32
5,0
5,18
4,14
3,6
1,27
0,36
1,34
1,25
0,12
0,8
3,33
6,56
8,72
8,79
7,84
4,93
1,102
0,95
2,63
3,20
5,21
5,48
4,61
3,67
0,71
4,70
9,67
12,66
12,59
11,36
9,1
7,28
4,24
2,2
0,9
2,3
4,10
5,17
4,13
2,2
0,6
4,5
7,2
10,14
11,24
11,31
10,37
7,43
3,49
1,53
4,50
5,35
4,11
0,7
4,16
8,16
10,10
10,1
9,15
8,28
5,40
3,45
2,31
1,2
0,40
1,66
2,75
2,63
1,32
0,0
4,12
7,2
9,19
10,34
10,35
7,23
4,5
2,20
0,57
2,88
3,99
4,80
3,43
2,4
0,24
2,40
5,42
7,33
9,20
10,11
8,8
6,8
5,6
3,0
2,10
1,23
1,28
3,18
5,7
4,33
2,43
1,37
5,24
8,12
9,2
9,5
9,11
7,19
3,33
0,53
1,71
3,74
4,61
3,40
0,18
2,2
5,16
8,23
