CH1,CH2
2,2
5,12
9,26
6,18
2,13
8,58
9,98
7,116
2,105
1,61
4,6
2,72
4,104
14,91
19,50
18,13
15,1
9,11
4,26
4,30
16,20
28,2
36,35
40,66
39,76
34,53
28,7
23,38
21,66
20,73
22,67
23,62
20,60
14,54
8,43
2,32
16,22
26,10
26,9
15,26
2,34
6,34
9,36
8,36
0,34
16,28
41,25
62,23
61,20
32,10
9,6
44,20
55,28
40,28
13,19
4,12
6,15
3,27
15,43
18,47
10,36
2,18
14,2
20,21
18,37
14,42
9,30
1,6
9,16
18,24
25,7
30,25
33,58
27,74
9,69
11,48
22,22
20,2
10,22
3,33
1,30
2,25
0,21
7,19
19,22
30,37
39,64
42,85
35,84
24,57
13,12
0,42
10,89
21,114
27,114
27,94
22,63
10,33
5,7
21,8
33,21
40,33
41,45
39,47
29,35
15,20
0,15
7,17
10,15
12,3
20,9
29,14
34,8
33,3
29,15
24,22
19,25
18,25
21,23
24,20
24,10
14,5
0,21
11,24
13,12
7,8
7,28
16,40
30,47
44,51
53,50
54,44
46,35
29,24
10,12
2,2
11,3
17,3
18,2
14,6
9,22
6,47
4,72
0,86
6,80
13,60
17,38
19,25
20,21
15,16
6,2
6,21
15,47
14,70
4,84
4,87
6,75
3,42
1,8
4,58
10,87
13,82
8,42
2,16
12,73
12,113
5,128
3,116
7,84
8,40
10,2
14,24
22,35
34,30
41,12
34,12
18,39
0,67
15,88
25,96
31,77
35,25
41,45
43,112
37,148
28,150
22,126
17,98
7,79
12,66
41,50
68,25
81,6
72,35
43,44
7,26
20,9
32,42
30,55
21,44
12,17
3,10
3,32
8,42
11,45
13,48
11,56
6,74
0,97
6,108
12,97
15,65
18,20
22,27
24,66
18,85
3,79
14,54
34,24
48,0
53,21
48,39
35,60
19,78
6,87
0,81
1,62
2,42
3,31
7,28
10,28
12,14
11,18
10,63
6,106
2,146
13,179
19,192
12,170
1,121
1,60
4,1
12,54
17,92
14,115
5,124
5,125
14,118
10,101
4,75
18,43
18,13
2,4
18,9
33,11
36,12
29,8
18,6
8,24
2,30
11,19
16,9
16,8
12,10
9,7
12,5
23,15
30,17
26,7
12,4
5,19
15,30
15,31
7,20
2,3
12,34
21,65
24,76
20,59
11,28
0,3
6,5
6,0
0,11
3,25
0,33
8,32
15,14
18,15
20,38
19,31
13,5
0,43
19,52
36,35
51,5
55,18
48,31
32,33
14,28
0,28
13,40
19,62
22,79
23,71
20,36
18,6
19,31
21,29
16,13
5,3
4,9
10,16
10,13
11,2
12,24
9,42
5,50
2,50
3,47
6,46
13,46
21,44
28,37
28,25
21,13
9,2
6,25
17,51
18,68
13,64
6,43
2,17
0,0
7,7
14,8
21,14
24,21
22,18
16,1
5,29
6,49
20,56
36,51
45,37
40,18
24,0
8,7
1,3
9,9
18,23
23,35
21,42
13,31
7,4
9,33
16,67
22,92
21,107
16,110
10,101
10,84
13,56
16,19
18,33
16,92
14,139
16,157
21,142
24,98
15,40
3,16
24,63
35,93
37,108
33,112
25,110
12,102
0,92
8,82
11,75
7,66
3,51
16,33
23,16
19,0
7,29
2,69
8,107
7,131
5,129
9,108
24,80
41,57
49,39
40,26
18,23
0,33
8,41
4,35
0,14
3,14
8,44
7,67
2,77
