CH1,CH2
21,7
13,2
4,3
2,11
4,22
4,33
6,43
22,48
59,41
97,24
105,8
68,1
2,2
60,8
93,13
93,15
76,13
53,5
32,9
16,30
6,49
3,59
5,55
6,40
7,22
1,8
6,4
17,17
29,34
33,47
24,44
7,23
8,0
12,16
6,24
5,33
14,38
16,30
8,9
3,18
15,42
23,57
27,67
23,67
14,57
2,36
9,13
13,5
7,17
3,27
12,35
16,40
12,36
1,20
15,1
36,22
50,33
52,32
40,19
20,6
0,4
22,15
41,24
57,28
67,24
72,19
70,14
60,10
41,3
18,0
3,0
27,5
51,18
72,38
85,57
82,68
63,68
35,57
12,39
3,21
15,10
30,7
48,7
55,1
50,21
38,42
32,55
32,57
34,47
36,30
35,11
30,4
21,14
10,17
5,16
25,14
41,13
42,12
26,12
1,10
14,5
15,0
4,3
12,3
27,4
31,9
23,13
13,13
10,12
10,7
5,3
5,12
10,8
11,6
7,20
3,20
4,5
12,12
18,25
21,33
22,31
24,18
27,1
24,22
17,39
11,38
14,21
22,5
25,31
20,50
16,62
16,69
18,70
14,61
0,47
17,31
33,12
49,8
59,29
58,49
43,61
21,61
1,48
10,26
18,1
19,16
13,25
0,26
9,24
3,20
15,14
36,0
49,25
50,44
42,45
37,26
31,0
22,15
5,13
15,1
37,13
54,12
63,1
62,22
47,37
27,36
22,19
30,3
32,22
12,32
22,34
56,29
77,13
79,11
66,38
46,56
32,57
29,47
34,33
35,22
25,18
5,20
20,19
38,14
41,4
29,3
10,6
3,5
11,2
14,0
8,2
3,2
20,0
41,10
54,22
47,31
22,33
7,30
32,25
45,26
49,29
43,22
30,5
10,16
15,31
38,38
49,41
50,45
40,48
19,48
7,37
32,25
48,15
55,8
53,4
45,27
36,54
28,76
22,85
18,72
10,40
1,2
13,29
23,48
33,56
51,55
72,48
73,39
41,31
2,25
36,18
51,10
55,0
52,11
45,21
31,29
15,28
2,16
3,6
15,33
40,52
64,46
73,20
57,10
21,30
30,35
77,32
104,28
105,23
85,18
54,12
20,4
4,6
22,19
33,26
43,25
51,21
53,18
44,21
25,24
1,16
18,1
32,18
39,18
42,3
39,18
31,34
17,44
2,41
10,26
18,5
23,9
23,16
17,20
9,24
3,29
1,33
0,37
5,37
15,24
22,2
22,21
18,40
8,47
4,39
12,21
12,1
7,12
4,16
6,10
12,0
20,9
28,15
32,20
29,25
24,26
16,17
7,7
1,0
9,2
16,7
24,14
36,23
48,31
51,32
46,25
33,14
15,5
6,1
20,4
18,9
7,15
2,19
5,20
5,21
4,27
6,27
12,13
16,8
13,21
2,16
9,2
23,22
33,33
33,30
16,20
9,9
33,4
45,3
43,0
33,5
21,9
8,11
2,10
7,7
4,2
3,8
12,23
19,38
23,43
22,36
13,21
0,6
21,2
43,8
58,16
54,29
33,38
5,41
16,34
28,20
30,7
24,6
18,20
15,30
15,28
15,19
11,10
4,6
33,5
54,5
50,4
19,0
23,3
58,1
71,6
61,8
38,3
16,28
0,45
8,40
15,23
17,13
15,14
10,19
2,19
3,8
2,11
18,32
29,45
25,48
11,41
9,32
34,28
52,27
57,30
49,32
33,30
14,24
2,19
14,11
20,2
20,8
17,17
15,15
11,5
5,8
8,22
30,29
61,26
74,15
49,2
0,18
51,25
83,22
89,19
76,23
54,30
32,34
12,29
4,20
14,10
21,2
21,1
16,1
8,2
0,8
5,19
3,25
3,19
1,4
12,10
31,17
37,13
28,3
11,5
4,11
17,17
26,28
32,42
35,58
38,63
42,44
44,0
36,52
11,84
25,85
59,60
72,25
64,8
44,30
27,41
16,49
3,55
12,54
29,41
39,16
37,8
24,22
12,21
6,13
9,8
16,2
22,8
29,25
40,39
45,41
32,32
1,15
42,3
77,20
96,29
97,25
84,8
64,13
41,26
20,23
2,5
8,18
15,33
17,34
18,22
23,4
25,10
26,19
23,21
14,20
1,17
17,13
28,4
29,14
21,37
9,52
1,55
10,48
15,34
18,16
19,6
22,29
33,50
56,65
80,70
80,60
50,41
3,21
43,3
79,14
97,24
94,20
78,6
55,12
31,26
4,29
18,23
31,18
31,19
27,20
25,11
23,3
20,18
12,25
0,23
21,17
39,12
52,16
58,20
57,18
47,8
24,3
8,10
35,9
47,1
44,13
30,29
11,38
8,33
25,16
34,2
33,18
26,31
16,40
10,45
6,44
3,39
0,32
3,23
3,14
1,6
3,3
3,0
0,5
5,16
10,23
14,25
15,16
15,3
17,9
17,14
13,12
5,9
2,11
8,16
9,23
11,28
16,29
23,21
26,8
25,3
22,9
14,9
0,6
17,2
30,3
35,14
36,22
35,21
33,9
25,7
7,22
16,33
32,41
27,48
11,55
3,51
11,35
29,12
40,13
35,33
20,44
8,46
5,45
6,39
3,29
9,12
24,3
35,13
34,18
20,16
3,9
17,2
40,16
58,25
69,27
65,21
51,15
34,9
16,5
1,3
13,12
28,18
47,16
56,7
49,0
31,6
14,9
0,13
14,17
25,18
31,13
29,7
23,8
15,14
6,19
4,13
9,2
9,20
6,31
9,30
13,16
18,2
31,21
47,37
57,41
47,33
22,18
8,5
36,3
53,8
61,14
60,23
51,27
42,26
37,20
32,11
16,4
7,0
22,7
19,18
8,32
6,38
13,29
22,5
24,24
20,46
11,52
1,39
6,19
13,2
20,10
25,23
27,34
25,42
16,42
3,37
10,30
15,21
11,10
1,1
10,13
19,21
22,23
19,19
8,9
1,3
6,18
5,27
4,33
2,33
2,32
7,32
21,30
35,19
37,1
23,16
1,27
23,31
37,28
40,24
35,17
27,10
20,0
13,12
2,22
12,26
24,23
28,18
29,15
27,12
18,1
1,16
20,31
40,33
50,26
47,15
31,4
3,4
31,8
55,4
53,3
25,7
12,0
43,12
56,19
53,14
41,1
32,15
26,28
24,35
21,26
16,3
6,23
5,42
18,51
31,53
46,49
56,40
61,28
58,17
47,9
25,0
0,11
25,23
41,26
50,18
54,0
50,17
42,22
32,15
20,4
8,5
1,13
5,24
7,32
6,30
2,20
7,11
14,4
7,1
7,10
20,20
29,30
32,39
26,45
12,42
6,20
19,10
24,36
23,45
21,40
16,29
12,16
9,2
4,9
10,17
27,19
35,15
30,12
15,17
0,25
10,33
18,35
24,34
29,26
32,10
30,7
22,20
13,21
1,12
11,0
21,10
28,18
31,21
26,20
12,12
3,2
14,19
22,33
28,38
33,32
31,19
23,5
12,3
4,5
2,4
4,4
5,8
3,17
1,24
7,30
14,32
19,26
17,14
6,0
8,9
19,10
23,2
20,1
15,4
9,14
3,21
3,19
10,9
19,2
25,14
25,25
19,31
17,28
20,26
18,28
4,30
18,26
37,12
47,9
48,31
42,44
29,42
12,28
1,9
8,6
8,15
7,18
6,14
4,7
2,1
11,7
19,18
21,31
16,40
11,32
8,8
5,20
3,45
23,59
45,61
54,55
41,46
15,35
11,23
30,7
37,15
37,44
29,67
20,77
13,69
9,46
9,12
7,18
4,40
0,50
2,49
7,41
19,31
30,19
30,6
13,4
9,13
31,14
44,7
45,6
37,22
22,35
4,42
15,39
38,26
53,5
49,14
28,27
3,32
14,32
27,26
35,17
32,5
17,10
0,28
9,35
6,26
4,8
14,2
15,4
7,1
0,1
3,3
1,4
5,4
8,22
10,38
9,41
6,31
5,11
8,7
13,21
16,27
17,22
13,11
7,2
2,15
1,23
1,26
1,22
3,14
2,2
1,28
13,56
36,78
61,86
69,79
52,63
16,44
22,26
49,8
57,8
52,24
42,33
34,34
28,31
20,29
9,30
3,32
14,32
16,28
13,21
4,9
3,8
7,25
3,34
5,34
10,24
8,12
0,4
7,4
9,7
8,9
5,6
1,1
1,9
3,12
4,12
5,9
6,9
7,9
4,6
1,1
5,4
3,7
0,5
0,3
3,2
6,4
8,6
11,5
15,5
14,8
9,13
0,17
3,19
0,19
5,16
6,10
2,2
0,17
3,30
11,32
16,26
18,11
15,11
7,38
3,57
15,58
19,42
14,19
3,0
6,15
