CH1,CH2
6,0
1,6
0,6
0,2
0,1
2,2
3,0
4,5
5,12
4,18
3,23
2,24
1,23
0,19
1,12
1,4
2,2
3,8
5,13
6,13
6,10
6,5
5,1
4,8
3,15
2,18
0,20
0,19
0,15
0,8
0,0
0,7
3,13
5,18
5,19
7,16
7,10
6,2
5,6
4,15
2,24
0,29
0,28
0,24
1,16
1,6
1,4
2,13
4,20
5,24
7,25
7,21
6,14
6,4
5,7
3,17
2,25
1,29
0,29
0,25
0,18
1,9
2,1
4,9
5,16
6,21
6,20
7,16
6,9
4,0
3,6
1,13
0,18
1,20
1,18
1,14
1,7
0,0
1,7
3,11
5,14
6,12
9,9
8,4
7,3
6,10
4,16
2,21
1,22
0,20
0,14
0,7
1,0
2,8
3,14
4,17
5,16
5,11
5,3
4,4
3,13
2,20
1,24
0,26
1,23
1,18
0,10
0,2
2,6
4,13
6,18
7,19
7,16
7,9
8,0
7,9
5,17
2,25
0,28
0,29
3,26
3,18
2,9
0,0
0,9
3,16
4,19
6,19
6,14
6,8
5,0
4,8
3,14
1,18
0,20
0,19
0,15
0,8
0,1
1,6
3,12
4,15
5,16
6,14
6,8
7,0
7,7
6,14
5,19
3,21
1,21
1,16
0,9
0,1
1,6
2,13
4,18
6,19
6,17
6,11
7,2
5,6
3,15
1,21
0,24
0,24
0,21
0,15
0,7
0,0
3,7
4,13
5,16
7,15
6,11
5,4
4,4
3,13
2,20
0,24
0,24
0,20
0,14
1,5
0,3
2,11
4,17
6,20
7,19
8,15
8,9
6,1
5,6
2,14
0,20
0,24
0,23
0,20
1,14
2,5
3,3
5,10
6,15
6,15
6,14
6,8
6,1
4,7
3,15
1,22
0,26
0,25
1,21
1,14
0,6
0,1
2,10
4,14
5,17
7,17
8,13
7,6
5,2
4,11
1,18
0,22
2,24
3,22
4,16
3,7
2,1
0,10
2,14
4,18
6,18
7,15
6,10
6,1
5,6
3,14
2,19
2,21
1,20
1,16
2,9
3,2
4,4
5,10
5,12
6,12
6,8
6,2
6,4
4,12
3,18
2,23
1,24
0,22
0,18
0,10
0,0
2,7
3,15
5,19
5,21
6,17
6,12
5,2
4,7
2,17
0,23
1,27
2,25
2,21
1,14
0,6
2,3
4,11
5,17
5,19
6,17
6,12
6,4
5,4
4,14
3,21
1,26
0,27
1,23
1,16
0,7
1,2
2,11
4,17
5,21
7,19
6,15
7,9
6,1
4,7
3,14
1,19
0,22
0,20
0,15
0,9
0,2
2,4
3,9
5,14
7,15
8,12
7,7
7,0
5,7
4,14
3,19
1,23
0,23
0,20
0,14
0,6
1,2
3,10
5,15
6,18
7,18
7,13
7,5
6,3
4,12
4,20
2,24
1,24
0,21
0,16
0,8
0,0
1,9
2,14
4,19
4,19
5,17
5,10
5,2
3,6
1,16
0,22
1,25
2,25
2,20
1,12
0,4
1,3
3,11
4,15
5,16
6,14
5,10
5,2
5,6
3,13
1,21
0,24
2,25
2,21
1,14
0,5
1,4
2,11
4,16
6,19
8,17
9,11
10,3
10,6
9,14
7,21
4,26
3,26
1,23
0,16
0,7
1,1
3,9
4,14
5,16
7,15
7,11
7,4
6,3
3,11
2,17
0,22
2,24
2,21
2,15
1,7
0,1
2,9
4,14
7,17
8,18
9,13
9,6
7,2
5,11
2,17
0,22
1,26
1,24
1,20
1,12
0,3
0,6
1,15
2,21
3,21
4,18
6,12
6,4
6,5
5,13
4,21
2,23
0,25
0,22
0,15
0,6
2,3
3,10
5,17
5,19
7,18
7,13
7,6
6,2
4,11
3,18
0,21
1,23
2,21
2,15
1,8
0,0
1,8
2,15
4,17
4,17
5,13
6,6
5,2
4,11
4,18
2,23
1,25
0,23
0,18
0,11
0,2
2,5
3,12
4,17
5,18
6,15
6,8
6,0
5,7
5,16
3,20
2,23
1,22
1,17
0,11
0,3
0,3
1,9
3,14
4,16
4,15
5,10
6,4
5,4
5,12
2,18
2,22
0,21
1,18
1,12
1,3
0,4
2,11
5,16
7,19
7,17
9,12
8,4
7,4
6,13
3,21
2,25
0,26
0,24
0,18
1,10
2,1
3,7
4,13
4,16
5,16
5,11
6,5
6,3
5,11
3,18
1,23
1,24
3,23
4,18
4,10
3,1
1,7
1,15
4,19
6,20
8,17
7,11
4,3
2,4
2,13
0,18
0,22
1,23
1,19
1,13
0,6
1,1
4,8
5,13
7,15
8,14
8,9
8,2
6,5
5,13
3,19
2,23
0,24
0,20
1,14
2,5
4,4
5,12
6,17
8,19
8,17
8,11
7,4
6,4
3,13
1,20
0,25
1,27
2,24
2,18
1,10
0,0
0,9
3,16
4,21
6,21
7,18
7,11
7,1
5,6
4,14
2,20
0,22
0,22
0,18
0,11
0,2
3,5
4,12
7,17
8,19
9,17
9,12
7,5
6,3
4,11
2,17
0,21
1,22
2,19
3,13
3,4
2,3
0,11
3,16
5,18
7,16
8,10
8,1
7,8
6,17
3,24
1,27
0,27
0,24
0,17
0,9
1,0
3,7
5,13
6,16
8,16
8,13
8,7
6,0
4,8
2,15
0,20
2,22
3,21
4,17
3,10
1,2
0,5
2,11
5,15
6,16
7,13
7,7
7,1
7,10
5,17
3,23
1,26
0,24
0,19
0,12
1,3
3,4
5,12
5,17
7,19
7,17
6,13
5,5
4,3
2,11
0,18
1,22
2,22
2,19
2,13
1,6
0,2
2,10
4,15
7,18
8,17
8,12
8,5
7,2
6,10
4,17
2,22
1,23
0,22
0,16
0,9
0,0
2,7
3,14
6,17
7,17
8,14
8,6
7,0
6,10
4,17
2,21
0,23
0,22
1,19
0,12
0,3
2,4
3,10
5,13
6,14
6,13
6,7
6,1
5,6
3,14
1,19
0,21
2,21
2,16
2,10
0,2
0,6
3,13
4,17
5,19
6,17
6,12
6,5
6,4
5,12
3,18
1,23
0,23
0,20
1,13
0,5
0,3
2,11
4,16
5,19
6,18
6,13
6,6
5,2
4,10
2,18
0,23
1,26
3,24
4,19
3,11
2,3
0,5
2,11
5,15
7,14
8,11
9,4
