CH1,CH2
2,5
2,6
1,6
0,21
0,45
1,68
1,78
0,68
0,44
1,16
2,4
3,9
2,5
4,6
7,12
8,19
9,17
8,7
8,0
6,3
4,14
3,26
0,31
0,27
1,16
0,1
3,6
5,5
6,4
7,15
6,23
5,22
3,9
1,8
0,22
0,23
0,11
1,1
0,7
0,8
1,8
2,9
3,9
4,6
6,5
8,13
8,31
6,46
5,41
1,14
0,21
1,47
1,53
0,40
1,23
1,15
3,17
4,23
5,18
6,5
7,3
7,0
8,13
8,27
7,30
6,17
5,6
4,36
2,57
2,64
1,57
1,45
1,37
2,36
3,41
3,39
4,28
4,14
5,5
4,5
3,14
0,27
1,33
3,20
4,8
2,40
0,61
3,66
5,59
5,46
5,31
6,13
6,2
6,8
7,1
6,9
4,15
2,9
0,4
1,15
0,18
0,12
1,2
3,10
5,20
5,21
6,10
6,8
4,28
4,43
3,51
1,50
1,39
1,21
0,0
0,16
0,21
0,10
0,8
2,24
4,26
5,15
6,1
5,10
5,20
4,21
3,12
2,6
0,29
0,42
1,38
2,27
2,16
2,11
2,11
2,15
0,19
2,17
7,5
11,11
13,27
11,37
6,37
2,27
0,6
1,19
1,38
0,32
3,0
6,40
10,66
10,65
11,42
11,9
10,12
6,17
3,13
0,13
1,26
2,37
0,34
0,12
1,14
2,33
3,36
4,31
3,26
2,26
2,30
2,33
2,27
2,7
3,18
3,41
3,50
1,51
0,48
0,45
0,40
1,31
4,17
6,3
6,7
6,11
4,5
3,7
2,19
0,27
0,29
1,28
1,26
0,25
1,28
2,33
4,33
5,25
6,10
7,3
7,11
8,9
9,2
7,2
7,0
5,5
3,11
1,19
2,26
4,36
6,44
4,50
1,46
1,26
3,2
4,11
4,6
4,7
4,16
3,17
3,8
2,4
1,19
0,34
2,49
3,62
4,68
6,59
5,34
4,1
5,32
6,58
9,70
10,60
10,40
7,21
4,8
2,1
1,5
0,19
2,32
2,33
1,21
0,0
2,22
3,43
4,60
3,70
3,69
2,58
1,42
0,28
1,20
1,15
1,11
0,6
1,6
3,8
3,4
4,6
4,19
5,28
6,24
8,1
9,31
10,56
7,57
5,39
1,16
0,0
1,12
0,19
0,23
1,21
2,17
4,11
5,7
4,6
3,5
0,4
0,0
0,3
2,1
3,12
4,22
4,27
4,22
3,12
3,3
3,0
5,0
5,0
7,1
6,0
5,0
4,2
2,10
1,16
0,15
1,3
2,11
2,20
1,15
1,5
3,29
5,44
7,46
7,34
8,14
7,11
6,37
4,51
3,46
1,24
1,1
0,10
0,15
0,14
0,14
1,16
2,22
2,27
2,29
2,26
4,20
4,16
4,14
4,17
2,23
1,29
1,32
0,34
0,34
1,32
3,27
4,17
6,1
7,8
8,9
7,4
6,1
5,1
3,2
0,2
3,15
6,41
6,69
4,80
1,68
2,44
5,22
7,7
9,2
11,6
11,10
9,16
6,22
2,22
0,13
3,2
4,4
3,8
0,13
3,18
5,18
7,12
7,0
6,16
7,34
7,48
5,54
3,52
1,45
1,37
1,26
1,13
2,3
2,4
2,8
3,2
4,12
4,20
4,10
4,13
4,35
3,44
3,38
2,26
2,13
2,3
3,20
3,34
2,38
0,37
1,33
2,25
3,14
1,6
0,0
2,6
4,13
6,21
6,28
5,31
5,30
5,22
4,7
3,10
2,23
3,32
3,38
3,43
3,41
3,33
3,22
4,11
4,0
5,16
5,30
3,37
3,31
2,11
1,17
1,37
2,35
3,12
4,15
7,32
9,36
8,30
7,19
4,15
2,20
0,31
0,36
1,24
1,2
3,32
2,47
2,41
1,22
1,3
5,10
8,14
9,6
9,7
7,23
5,35
2,38
0,32
0,18
1,4
2,5
1,8
1,3
3,10
5,24
6,28
7,22
7,12
7,6
6,3
4,2
2,1
0,6
1,7
2,5
2,1
1,1
0,2
1,1
4,2
5,7
5,12
6,13
5,12
4,7
4,5
5,21
5,32
6,30
4,11
3,13
1,26
0,18
1,1
1,13
0,11
1,1
4,6
7,8
8,6
9,1
8,3
6,7
3,10
2,13
1,17
1,19
1,17
0,9
1,1
0,11
1,19
1,29
1,43
0,53
0,50
0,35
1,19
2,7
3,2
6,1
7,0
8,3
7,3
6,1
7,7
7,14
6,18
6,18
5,11
6,0
6,13
5,23
3,30
1,38
0,48
0,49
1,33
0,1
0,36
0,51
1,43
1,21
2,3
3,3
4,1
5,13
5,29
5,36
3,28
1,10
0,5
0,13
0,13
0,10
0,10
0,12
0,14
2,14
3,10
4,3
4,0
3,0
2,4
2,4
2,1
2,2
2,6
2,8
1,10
2,16
2,30
2,48
4,59
5,60
4,47
5,22
5,8
5,34
4,50
4,50
4,41
3,29
2,16
0,1
0,11
1,17
3,9
3,9
3,31
3,42
3,37
3,16
4,12
5,35
4,45
4,41
3,27
2,11
1,1
0,7
0,7
0,1
3,8
5,17
6,19
7,12
7,3
6,1
5,0
3,3
2,8
0,17
0,29
0,36
0,32
1,22
3,12
5,1
8,9
10,12
10,4
9,4
5,4
3,5
0,15
1,20
3,22
2,24
0,24
0,19
2,16
3,17
3,21
3,20
3,11
3,0
3,12
3,27
3,39
2,42
1,34
0,18
0,3
0,2
0,1
0,9
1,18
4,24
6,28
8,33
10,37
12,33
11,19
9,3
5,6
2,12
0,18
1,24
4,22
4,12
4,5
2,3
0,2
2,0
3,2
4,3
4,15
4,25
4,26
4,15
4,0
4,12
3,16
2,12
1,4
2,2
2,2
3,3
4,8
4,12
4,12
5,12
6,15
7,21
6,22
5,15
4,4
3,7
1,11
1,8
1,1
0,12
1,17
1,16
2,8
3,2
4,11
5,17
5,20
4,20
4,17
2,10
0,1
1,19
1,40
2,54
3,50
3,34
4,17
5,7
7,3
8,2
9,4
7,16
5,22
4,22
1,20
0,21
1,25
2,26
2,18
2,6
3,5
3,13
2,16
1,18
1,14
3,11
5,12
7,19
7,24
6,25
6,22
5,18
5,11
5,1
6,17
5,30
5,32
4,24
4,12
4,2
5,19
4,39
4,51
1,43
0,23
3,6
4,1
3,5
2,11
0,19
1,21
3,19
5,18
8,15
8,7
8,2
6,5
5,12
2,17
1,14
0,1
1,11
1,19
0,20
0,17
1,11
2,9
3,14
3,27
4,50
4,74
6,80
7,59
6,21
5,17
3,42
2,52
2,52
3,46
3,39
2,31
2,23
1,13
1,1
3,10
4,19
4,23
3,20
2,15
0,10
0,3
0,4
0,5
0,5
0,21
1,28
1,21
0,5
4,9
6,18
8,23
10,24
11,18
11,4
10,10
9,10
6,9
2,39
0,62
0,66
1,45
1,3
0,43
0,81
4,107
5,123
8,130
8,119
6,85
3,31
2,21
1,58
0,71
1,60
0,35
0,11
0,1
1,3
4,3
5,20
6,45
6,68
6,73
5,56
3,21
2,15
1,42
0,52
0,50
0,37
1,19
1,3
0,3
2,0
4,14
6,33
5,40
6,36
5,23
5,8
5,3
5,10
5,11
3,7
2,4
2,7
1,14
2,16
2,16
3,17
3,28
4,42
5,49
7,36
9,6
9,18
7,22
5,7
3,10
1,19
0,15
2,1
3,20
3,44
3,62
2,71
1,65
1,50
2,41
4,39
5,35
5,21
3,5
1,34
0,53
1,52
2,36
3,17
2,3
1,2
1,3
3,3
5,6
7,15
9,25
9,30
9,29
7,22
7,8
5,10
5,24
4,28
4,20
5,6
6,8
7,22
6,32
4,33
2,21
0,2
1,12
1,18
0,19
2,16
3,5
2,8
1,15
0,12
0,6
1,1
2,12
3,22
4,24
5,19
5,5
4,12
4,26
4,26
2,12
1,6
0,16
1,14
2,7
4,0
5,6
6,11
6,14
6,16
6,13
5,6
4,2
3,10
2,13
2,13
1,10
1,8
1,3
0,10
0,32
1,52
1,57
2,43
4,21
4,5
3,2
3,7
2,8
3,4
3,2
3,4
2,1
1,0
0,4
1,12
0,16
0,10
0,1
0,3
0,0
3,7
5,13
5,11
4,2
4,9
3,19
2,22
2,19
1,15
1,11
1,12
0,18
0,22
1,21
5,15
8,10
9,7
9,6
9,5
8,1
6,3
3,11
0,21
1,27
3,27
3,22
2,18
0,19
2,21
3,22
3,22
4,20
5,21
6,22
6,21
6,14
4,7
4,3
