CH1,CH2
2,5
79,34
154,67
168,60
133,22
84,18
54,37
52,19
57,24
30,67
32,85
97,68
131,27
132,14
111,38
87,45
74,46
76,50
81,60
72,70
44,76
1,77
44,70
64,60
52,47
19,33
11,20
17,5
4,5
36,10
55,8
57,3
50,2
38,4
22,6
6,6
4,3
8,6
6,17
0,23
6,19
16,6
25,14
21,31
5,32
8,15
2,13
30,40
61,56
59,58
20,47
22,29
39,13
27,1
3,4
13,8
24,7
31,6
31,6
20,6
3,5
4,3
1,1
1,1
5,3
24,6
42,10
54,13
55,15
50,17
52,22
66,28
85,31
80,29
37,23
22,14
63,6
74,0
64,6
50,12
40,18
28,20
0,19
30,13
32,4
2,6
46,17
75,23
83,20
63,13
25,8
8,9
15,9
1,7
18,3
34,0
42,3
39,5
27,6
8,7
10,3
22,2
20,8
5,8
16,1
34,7
42,15
40,11
30,1
20,14
14,15
13,2
15,12
18,15
14,5
3,7
13,17
29,21
40,19
47,9
53,12
57,40
57,57
50,54
40,30
30,5
24,35
22,51
21,53
16,46
2,40
17,38
35,38
44,37
43,32
41,23
40,11
39,8
26,27
4,36
17,31
28,21
22,11
7,11
2,13
1,14
17,12
34,10
37,12
31,16
26,20
25,18
22,9
9,3
8,18
18,31
19,33
18,28
28,21
46,21
72,24
101,25
126,26
133,33
108,36
59,16
13,22
10,56
24,60
38,35
48,6
39,45
6,66
36,59
51,26
22,10
28,25
66,18
88,7
100,14
98,40
74,75
40,93
23,73
38,18
60,42
56,74
21,70
22,48
70,27
133,7
201,16
239,48
201,81
72,96
87,80
199,38
232,6
211,33
173,40
120,33
44,21
43,10
100,6
104,9
73,12
49,14
46,21
43,33
15,45
29,51
62,43
66,24
44,0
11,17
18,23
38,15
43,3
38,25
31,39
29,44
41,40
64,29
86,11
80,7
41,16
8,6
52,26
74,63
69,79
47,62
24,23
6,15
11,38
25,51
43,58
66,63
80,60
83,50
97,39
121,37
110,39
41,36
53,8
123,40
142,82
125,82
102,40
93,12
95,43
85,44
45,27
8,3
41,20
46,41
41,53
43,49
53,30
57,2
51,17
38,21
28,8
20,11
6,26
17,31
41,34
47,35
25,31
4,21
20,7
24,7
26,17
25,21
29,20
37,14
48,6
50,2
42,13
24,25
1,35
17,37
20,32
11,22
10,8
20,3
29,13
20,20
1,27
18,31
17,31
3,26
23,18
25,10
7,2
10,4
19,10
17,16
8,18
10,17
33,14
45,10
40,8
22,8
0,9
22,9
39,8
53,6
62,5
62,7
56,11
43,19
29,32
11,40
8,34
26,13
35,10
32,25
23,28
13,20
4,7
3,2
5,6
6,0
0,9
15,19
32,29
42,35
38,36
22,32
3,22
8,10
11,5
10,22
13,36
20,43
25,40
23,31
14,23
4,20
2,20
1,21
0,19
3,13
10,6
19,0
25,6
20,10
8,13
0,14
2,13
0,8
2,2
0,9
2,23
5,40
2,50
3,50
8,39
6,15
5,17
8,49
12,67
12,70
11,60
9,44
9,23
2,3
10,3
22,3
22,20
12,38
0,46
10,38
16,14
19,13
16,39
9,64
8,84
14,103
28,117
50,115
71,87
70,43
34,4
24,48
73,77
84,79
60,58
28,23
5,1
9,2
17,27
22,53
26,67
18,67
2,55
6,32
0,1
3,38
27,75
60,105
78,122
81,109
76,57
43,22
34,98
136,128
200,90
181,6
97,59
0,64
58,22
55,17
16,31
5,28
50,20
102,15
110,10
80,5
43,1
11,0
17,6
40,27
51,55
56,72
62,60
49,25
3,8
84,18
155,3
184,15
159,14
96,11
21,50
42,86
87,102
104,92
90,62
59,25
32,11
20,46
23,73
34,82
47,62
54,28
59,5
67,12
74,40
78,71
70,97
55,116
39,128
26,122
15,80
5,2
5,89
26,139
64,144
77,123
40,96
12,71
48,55
57,47
52,46
42,45
44,45
54,35
63,13
65,18
59,51
48,84
38,107
36,117
38,110
34,87
25,53
21,24
30,8
42,5
36,8
4,10
26,9
33,7
27,5
27,3
30,3
24,2
15,1
16,0
37,3
68,4
93,3
103,2
93,2
67,5
39,9
23,10
24,8
33,1
34,9
20,19
10,24
43,25
64,24
67,19
46,6
13,13
8,29
13,35
12,31
11,21
1,10
18,3
39,0
46,0
33,7
7,20
17,30
32,28
33,15
27,2
17,16
7,19
3,14
7,3
12,7
15,13
16,14
16,10
10,6
2,3
26,2
53,2
67,1
58,0
32,0
8,0
1,2
5,5
10,8
3,10
14,11
34,11
48,11
50,14
38,18
19,19
12,17
25,13
45,6
52,1
36,9
11,15
0,19
3,20
7,17
1,10
13,0
22,13
25,20
22,18
16,10
8,2
0,0
3,0
3,1
1,0
0,3
1,10
6,17
13,12
19,1
20,18
20,29
17,35
10,36
0,34
13,28
24,20
28,6
26,7
21,15
16,19
13,17
14,13
15,8
14,3
11,0
10,2
10,6
6,6
6,3
20,22
29,39
29,36
20,4
13,44
11,87
21,101
37,81
48,41
55,6
68,5
80,2
69,11
24,10
29,6
65,4
70,6
55,40
31,89
12,130
7,134
17,89
31,8
33,76
21,127
4,119
10,69
32,18
65,1
83,10
56,33
3,33
51,5
56,58
27,86
5,76
13,42
4,10
30,6
41,13
26,14
7,13
26,6
3,4
43,13
71,15
66,11
48,1
32,12
16,34
7,65
33,92
55,90
64,54
63,8
59,22
61,34
69,31
74,18
56,2
24,24
4,41
25,41
50,24
80,6
93,35
73,51
31,52
9,35
36,14
43,6
31,14
11,27
1,34
10,30
16,3
18,49
13,108
5,131
5,100
26,37
54,17
74,37
70,26
52,11
29,20
11,53
1,92
2,116
28,107
74,58
98,8
65,56
4,69
64,62
91,53
88,48
58,44
13,38
25,29
40,15
31,1
12,15
10,21
35,18
66,7
91,5
95,16
80,22
60,26
39,28
19,28
6,30
4,32
7,33
2,31
14,27
36,25
57,22
73,21
80,21
71,20
55,19
49,15
62,7
81,6
90,23
76,34
28,38
43,37
103,36
132,36
124,32
83,26
21,16
43,6
89,0
106,7
97,11
73,14
45,16
22,18
8,19
5,18
11,14
13,12
9,7
0,4
2,0
1,3
0,4
8,4
21,4
34,2
48,0
64,2
72,3
61,4
34,6
6,8
13,13
21,19
23,23
23,26
21,27
19,24
19,14
17,3
15,25
14,46
12,59
10,58
6,39
0,9
6,13
11,20
16,11
17,1
16,9
14,8
15,4
19,1
20,5
15,16
10,27
6,33
2,31
23,24
49,12
68,2
70,3
59,5
46,7
36,10
29,11
13,2
14,14
43,36
58,53
52,55
38,43
25,28
10,19
7,22
22,30
33,42
38,46
37,32
34,6
37,60
53,101
73,115
73,104
45,80
2,50
48,15
74,16
74,37
54,35
28,11
17,17
22,37
32,38
30,24
12,1
9,21
12,42
2,56
25,63
35,68
29,76
13,84
13,87
56,69
93,24
89,30
44,76
4,105
4,119
1,119
14,102
43,64
67,10
70,40
42,66
14,65
77,55
100,49
55,43
28,18
93,24
103,60
58,73
2,59
40,31
37,6
8,11
19,25
28,44
8,64
38,78
94,77
127,64
115,45
71,29
31,14
13,2
7,6
55,8
110,0
132,13
111,17
70,11
30,0
5,12
3,28
3,40
4,42
10,29
15,7
18,8
17,6
15,11
17,34
22,49
29,43
33,15
