CH1,CH2
15,5
21,1
43,2
21,5
18,9
46,8
54,1
53,13
46,32
36,45
24,50
11,44
3,31
19,17
37,0
53,15
60,27
54,32
43,33
31,30
22,27
14,25
6,23
1,23
3,22
5,23
5,22
6,20
4,14
0,4
4,8
8,20
9,27
8,28
7,26
6,21
4,17
6,13
9,8
12,2
14,6
11,12
6,19
0,21
4,21
7,18
8,14
10,9
11,6
8,1
3,5
1,14
4,21
6,25
6,23
9,15
13,3
22,7
33,15
40,19
38,20
26,19
7,17
11,14
19,12
19,11
15,10
13,11
15,10
16,7
12,2
8,5
5,14
6,20
8,24
9,22
9,16
5,7
3,1
12,12
16,20
12,23
6,23
6,20
13,16
22,14
35,11
50,9
56,8
40,6
7,5
25,5
44,5
43,6
24,6
1,4
23,1
34,2
28,5
8,5
14,3
30,0
36,3
32,5
24,7
15,7
10,4
8,0
8,6
9,10
7,11
5,10
1,10
1,11
3,12
8,12
13,8
21,0
29,8
33,17
35,23
34,26
37,25
39,19
37,13
29,6
12,2
6,0
19,1
25,3
24,3
20,1
15,1
11,4
7,7
4,10
0,12
10,11
21,9
27,3
25,4
19,12
13,18
14,22
18,20
16,17
1,7
18,4
31,16
32,25
23,30
13,33
8,30
6,23
5,14
4,6
3,1
2,0
1,0
0,0
2,1
6,0
14,1
25,2
38,3
46,3
39,3
22,3
3,3
7,3
9,2
7,1
9,0
16,0
20,3
20,7
15,10
5,13
9,15
30,15
52,12
61,8
43,4
9,0
21,2
37,4
36,6
26,7
15,8
5,8
1,5
5,1
6,11
6,20
12,27
22,26
31,19
29,6
16,8
3,21
18,27
25,28
26,24
24,17
18,12
11,7
3,5
4,3
10,3
10,3
10,1
9,3
8,9
7,15
6,21
2,27
0,31
4,32
5,29
3,26
0,21
5,18
8,15
11,13
12,11
14,8
15,6
17,5
21,4
26,2
25,0
18,5
9,6
2,7
1,4
3,2
6,0
5,0
4,3
18,6
27,10
28,13
18,13
4,11
6,8
11,5
12,1
11,1
11,2
11,3
14,5
20,6
25,9
23,11
12,11
4,11
18,10
27,8
26,7
15,6
0,6
12,5
12,5
3,7
6,8
9,9
4,11
6,9
14,5
15,2
10,0
3,3
0,6
2,10
5,12
12,12
12,8
5,1
32,7
48,12
40,15
16,14
10,10
26,5
31,1
26,1
15,2
2,2
8,0
13,1
15,1
16,2
13,1
7,0
2,0
12,0
17,3
17,4
12,3
5,0
1,5
5,9
5,9
5,4
7,3
10,15
15,27
19,32
21,29
20,20
15,12
10,5
6,3
4,4
3,7
1,11
0,11
0,10
0,5
1,1
1,2
1,3
1,3
0,4
2,6
6,10
11,12
18,11
27,9
39,5
46,2
43,1
25,2
2,1
25,0
40,4
45,8
44,9
38,5
30,2
22,0
13,1
0,4
11,7
21,10
29,12
36,12
36,12
29,12
14,9
1,7
12,5
18,3
20,1
21,2
17,2
12,1
5,0
2,2
9,3
13,3
14,2
14,1
16,0
16,0
12,0
6,0
0,1
3,1
2,0
2,4
2,8
3,11
1,12
2,12
7,8
13,4
16,0
18,2
16,3
13,1
9,0
5,2
1,2
2,3
4,6
6,10
6,14
4,15
3,13
16,7
30,0
42,5
46,9
40,8
24,6
1,3
16,2
27,4
29,8
26,11
21,13
16,13
14,10
12,4
11,3
9,14
8,23
5,30
0,29
5,21
15,9
26,3
35,12
37,15
32,11
22,2
5,9
12,22
23,30
25,33
