CH1,CH2
8,-29
13,-34
17,-33
21,-18
18,-1
10,13
3,22
0,28
-2,27
-6,19
-11,5
-15,1
-10,14
-4,45
0,64
0,58
-3,31
-4,-4
1,-45
5,-91
7,-121
9,-118
14,-83
11,-40
-3,0
-14,29
-17,53
-12,67
-8,69
-7,62
-9,42
-14,12
-18,-14
-13,-20
-2,-8
9,5
17,15
24,24
26,35
22,41
16,43
10,38
4,26
-4,15
-7,10
-2,12
7,12
13,1
12,-13
7,-29
3,-42
6,-44
9,-18
9,9
6,15
-1,-2
-9,-26
-10,-40
0,-38
13,-23
17,-5
10,4
3,17
4,30
5,37
6,36
2,26
-1,6
-7,-13
-10,-23
-5,-22
3,-12
13,2
22,23
25,50
21,63
14,43
2,1
-9,-40
-18,-66
-18,-61
-9,-31
3,6
11,39
8,61
1,54
-7,21
-9,-13
-3,-25
1,-18
0,-3
5,4
11,-2
15,-8
16,-7
16,3
13,14
3,20
-6,9
-11,-10
-15,-31
-18,-50
-22,-61
-13,-59
3,-38
18,-6
21,31
10,53
-2,60
-13,51
-18,33
-15,21
-8,8
-2,-5
3,-12
10,-6
13,13
11,34
10,42
12,44
10,37
0,22
-9,3
-11,-11
-2,-15
12,-8
22,-2
21,-6
9,-19
0,-30
-1,-29
3,-17
9,1
16,18
23,35
29,50
32,56
32,56
26,49
15,33
7,24
8,18
14,3
17,-16
18,-28
12,-33
-2,-36
-17,-32
-28,-22
-39,-8
-45,0
-43,1
-30,1
-14,3
-3,1
0,-8
-4,-30
-12,-58
-15,-75
-8,-62
9,-18
27,26
34,48
28,38
21,19
21,0
24,-2
25,5
23,17
15,28
1,22
-10,7
-18,-10
-21,-24
-23,-29
-20,-20
-15,0
-9,11
-5,18
-1,24
0,29
2,31
5,24
8,17
14,17
18,21
21,22
25,21
26,20
24,17
19,6
9,-10
-2,-19
-13,-18
-18,-9
-11,7
0,24
7,36
6,50
4,58
5,53
5,39
3,16
-1,-11
-5,-36
-6,-44
-3,-40
2,-24
7,-1
8,-1
6,-24
2,-49
0,-53
0,-40
1,-24
0,-14
0,-8
6,-6
14,-3
20,3
20,15
14,27
9,31
6,28
7,17
10,11
14,19
23,41
30,56
25,41
10,1
-6,-24
-15,-17
-18,8
-20,25
-20,27
-18,16
-20,-4
-24,-31
-22,-53
-10,-59
2,-39
15,-2
20,28
6,26
-17,0
-29,-31
-27,-54
-14,-62
-4,-60
1,-50
4,-29
10,7
14,45
18,72
19,87
20,88
21,79
21,67
21,63
18,63
12,64
7,50
0,27
-7,3
-9,-9
-8,-12
-4,-4
0,8
4,9
8,-1
10,-19
15,-30
18,-32
17,-30
19,-27
22,-26
21,-28
21,-32
23,-34
22,-37
18,-39
10,-40
-1,-31
-18,-24
-28,-26
-27,-21
-17,-10
-9,2
-9,20
-11,37
-11,41
-11,36
-9,41
-4,40
1,14
4,-18
8,-39
13,-40
17,-17
16,11
13,41
9,61
2,56
-3,30
-8,-2
-6,-27
0,-39
13,-40
21,-30
20,-12
14,1
10,16
7,35
1,58
-6,80
-10,96
-11,99
-14,84
-14,57
-15,33
-13,18
-12,0
-13,-19
-10,-37
-4,-54
0,-70
4,-85
11,-91
22,-84
37,-62
53,-27
62,10
59,33
45,41
26,42
3,37
-16,30
-21,27
-12,41
-4,60
-9,54
-27,12
-46,-41
-51,-71
-41,-76
-21,-66
0,-49
15,-25
26,-4
30,8
32,7
30,2
26,5
23,18
18,33
6,37
-9,25
-20,6
-23,-6
-14,-3
2,10
17,25
16,27
8,13
0,6
-7,15
-14,31
-17,31
-16,11
-16,-13
-11,-30
-1,-35
10,-31
23,-28
28,-18
24,2
14,29
2,60
-5,81
-7,85
-4,69
-2,30
-3,-16
-7,-45
-8,-53
-6,-56
-6,-54
-4,-37
3,-20
17,-12
24,-14
23,-17
16,-15
9,-5
4,11
0,30
0,44
0,51
0,49
5,48
15,55
33,71
47,69
44,44
26,7
8,-20
-5,-37
-19,-32
-26,-14
-28,0
-25,2
