CH1,CH2
112,27
108,37
123,42
155,37
187,28
189,22
138,16
49,7
-69,-4
-188,-12
-268,-17
-272,-17
-221,-23
-160,-29
-98,-29
-34,-22
33,-11
116,-1
225,7
293,10
284,4
201,1
84,10
-65,14
-202,8
-285,-2
-304,-10
-268,-13
-204,-13
-133,-12
-72,-9
-25,-8
17,0
57,8
89,15
147,24
252,35
326,37
314,28
231,16
143,16
76,21
3,19
-88,14
-175,10
-224,7
-215,0
-181,-10
-137,-21
-95,-27
-62,-29
-43,-29
-35,-20
-15,-2
31,16
91,28
117,23
100,2
54,-15
8,-21
-13,-17
-8,-7
36,5
98,16
133,22
108,24
49,22
-16,19
-68,11
-95,-1
-105,-15
-117,-30
-130,-37
-125,-31
-80,-17
-8,-2
54,6
99,15
141,22
176,29
192,31
175,30
119,29
65,28
68,29
104,25
104,16
30,2
-74,-4
-160,-2
-197,5
-184,10
-127,9
-50,9
3,6
18,0
8,-5
-14,-7
-38,-12
-24,-19
14,-22
37,-24
45,-25
26,-24
-35,-23
-107,-17
-164,0
-157,19
-83,32
0,34
67,25
101,8
86,-5
54,-9
27,-7
9,-4
-7,-3
-29,-6
-53,-11
-76,-13
-90,-10
-89,-6
-72,2
-35,12
24,25
98,33
176,37
235,34
287,33
376,39
415,39
366,20
298,-9
176,-25
-77,-26
-248,-27
-357,-29
-412,-27
-428,-21
-387,-15
-312,-12
-234,-10
-177,-5
-134,-2
-92,-2
-32,2
38,6
111,11
188,20
246,32
262,34
248,28
218,15
163,7
80,4
0,4
-67,0
-115,-7
-136,-11
-135,-11
-115,-7
-92,-2
-76,0
-54,8
-20,14
20,17
62,19
121,24
209,27
279,25
298,20
242,10
141,-2
43,-6
-29,-3
-68,2
-57,6
-20,8
-3,4
-23,-7
-85,-22
-170,-28
-228,-28
-241,-19
-218,-3
-172,7
-111,16
-20,28
123,39
274,42
349,29
337,7
267,1
164,7
66,11
-21,3
-104,-12
-176,-25
-222,-28
-239,-23
-252,-14
-251,-2
-231,3
-197,3
-147,-2
-50,0
72,4
193,10
281,12
323,20
353,31
348,33
283,23
188,5
25,-6
-128,-7
-240,-5
-295,-9
-307,-24
-289,-39
-247,-48
-192,-48
-135,-42
-95,-25
-73,-5
-59,9
-36,18
3,24
67,27
155,32
236,35
264,32
247,27
211,23
142,18
58,8
-5,1
-47,-4
-74,-9
-93,-12
-106,-11
-109,-10
-104,-12
-88,-11
-68,-7
-46,-3
-16,0
22,10
65,22
107,30
147,36
197,40
280,40
352,31
347,16
254,3
111,-3
-46,-3
-172,-3
-262,-2
-312,-5
-326,-11
-298,-11
-235,-5
-161,-4
-96,-9
-47,-18
-11,-23
18,-20
48,-10
73,0
81,7
80,14
75,17
71,18
71,16
67,13
70,13
103,19
184,32
261,38
282,31
237,18
165,9
81,1
-4,-8
-80,-16
-151,-17
-216,-17
-258,-14
-265,-9
-248,-6
-212,-3
-157,0
-102,2
-50,7
-15,7
-10,9
-24,14
-31,24
-20,27
0,12
23,-4
49,-14
85,-15
126,-15
151,-21
156,-26
165,-28
160,-26
122,-21
73,-18
45,-16
57,-8
83,-1
83,4
29,9
-48,8
-119,3
-169,0
-170,7
-128,18
-85,29
-65,32
-68,30
-82,26
-104,18
-124,9
-122,7
-72,9
15,12
111,17
176,23
217,36
270,50
320,53
309,35
220,10
80,-5
-48,-6
-133,-8
-194,-15
-239,-28
-265,-38
-273,-41
-268,-40
-251,-34
-226,-27
-195,-26
-157,-21
-102,-13
-29,0
56,14
154,27
238,32
282,30
294,27
284,28
259,30
215,25
156,10
90,-6
12,-18
-65,-20
-126,-16
-156,-10
-161,-7
-142,-4
-110,-2
-61,0
8,6
97,11
202,17
298,21
354,19
360,15
335,20
261,23
129,18
-43,8
-211,1
-357,-1
-440,-1
-450,0
-401,-3
-318,-6
-218,-7
-108,-5
-14,0
46,4
88,8
120,10
127,5
112,-1
130,-4
195,2
262,11
291,14
268,11
196,7
49,4
-88,1
-176,-1
-217,-5
-224,-8
-206,-10
-180,-12
-157,-14
-140,-14
-127,-12
-117,-10
-82,-4
1,3
108,10
206,14
237,12
170,5
64,-2
-15,-6
-77,-1
-109,12
-106,29
-76,45
-40,46
-17,33
-12,13
-19,-7
-25,-21
-18,-26
3,-24
25,-17
39,-12
50,-7
58,-7
95,-6
188,-1
289,5
327,7
277,10
171,11
43,10
-71,10
-157,16
-211,23
-239,24
-240,20
-217,17
-187,10
-153,2
-117,-6
-75,-9
-26,-12
26,-13
83,-11
143,-7
186,-9
221,-17
255,-22
269,-15
234,-2
168,9
75,15
-28,16
-117,16
-186,17
-223,20
-220,20
-179,17
-103,14
-27,10
10,9
19,12
11,10
-6,7
-18,7
-23,6
-19,7
-15,6
-11,3
-14,-1
-19,-6
-4,-6
46,1
127,10
198,8
200,-6
134,-20
41,-21
-32,-16
-76,-12
-92,-8
-93,-4
-65,-1
-5,3
49,6
65,5
35,5
-7,7
-39,7
-46,8
-33,10
11,17
78,22
119,21
108,18
58,18
11,23
-36,16
-72,4
-83,-4
-91,-9
-106,-10
-117,-11
-116,-12
-99,-10
-73,-5
-50,-2
-33,-2
-13,-2
25,0
81,7
129,15
179,21
252,23
324,19
355,13
302,9
255,5
90,-4
-100,-16
-231,-23
-303,-25
-338,-24
-329,-18
-302,-7
-263,0
-212,3
-157,6
-109,7
-74,5
-40,-2
-3,-8
37,-10
77,-7
119,1
158,13
194,24
218,31
249,36
275,35
258,25
190,13
92,6
-14,3
-108,-2
-169,-8
-178,-7
-155,-12
-118,-19
-73,-23
-33,-19
-6,-9
13,-1
27,3
30,9
24,14
8,16
-8,15
0,16
40,16
91,19
94,20
42,21
-5,25
-14,25
6,21
30,10
53,0
57,-8
28,-13
-21,-14
-66,-12
-93,-5
-97,3
-73,9
-26,13
35,11
72,5
79,0
89,0
97,3
82,8
37,2
-24,-10
-85,-21
-123,-27
-130,-29
-116,-34
-94,-38
-76,-37
-65,-30
-49,-18
-14,-2
26,9
51,15
52,15
40,17
18,21
-5,32
20,45
108,54
215,57
288,52
297,39
225,23
119,7
2,-9
-109,-20
-204,-23
-266,-23
-297,-20
-290,-16
-232,-12
-128,-9
-19,-6
53,-5
82,-4
69,0
36,6
12,11
4,20
17,29
35,28
47,21
41,10
17,3
-9,1
-28,3
-35,6
-15,13
49,22
149,28
228,25
282,13
272,-2
195,-16
79,-25
0,-26
-41,-25
-55,-21
-66,-26
-101,-36
-160,-39
-216,-31
-229,-14
-171,8
-83,23
-40,23
-73,9
-129,0
-162,-3
-154,-3
-87,-1
34,5
164,13
242,18
238,20
189,22
142,33
159,50
213,60
197,43
107,8
5,-17
-99,-28
-207,-27
-294,-22
-316,-13
-283,0
-215,7
-134,11
-50,15
34,18
125,21
205,21
256,14
272,-3
231,-22
127,-37
-22,-43
-154,-41
-244,-30
-265,-16
-227,0
-151,14
-60,27
30,38
101,41
143,36
158,27
157,17
151,11
135,6
106,0
72,-4
48,-7
43,-9
39,-16
22,-20
-10,-19
-43,-14
-67,-4
-66,7
-39,17
0,21
44,22
85,19
105,14
99,7
69,4
22,3
-20,1
-29,7
-6,15
22,21
32,25
31,20
26,9
0,-8
-52,-21
-82,-24
-65,-17
-46,-9
-50,-5
-86,-4
-141,-2
-193,-3
-232,-4
-255,-7
-255,-9
-221,-7
-153,-4
-59,0
41,7
133,14
205,19
292,30
407,39
464,33
406,13
274,-5
109,-14
-46,-18
-157,-19
-228,-16
-255,-11
-257,-7
-246,-3
-217,2
-169,9
-94,17
8,23
108,22
190,14
217,3
212,-2
197,-3
170,-3
147,0
151,3
183,3
195,-1
121,-6
-25,2
-166,19
-261,30
-301,32
-296,26
-258,20
-210,14
-162,7
-123,-3
-99,-20
-72,-28
-39,-26
-10,-18
30,-7
80,4
120,8
136,5
144,0
166,-6
192,-14
203,-21
186,-22
140,-15
79,-3
29,9
-13,20
-56,29
-91,32
-117,25
-132,10
-128,0
-109,-3
-84,-4
-47,-1
0,2
41,3
71,0
81,-2
80,0
103,9
196,27
277,43
301,42
277,15
149,-16
-36,-29
-182,-26
-270,-17
-277,-5
-219,4
-145,10
-103,11
-113,7
-130,6
-142,6
-145,3
-136,1
-104,1
-52,2
-7,3
33,7
84,12
138,18
179,18
181,13
164,10
148,10
132,8
106,8
73,6
33,3
-5,0
-37,-1
-67,-5
-94,-8
-115,-7
-129,-8
-131,-10
-111,-13
-79,-16
-40,-15
3,-10
54,0
109,11
154,17
156,16
131,11
90,7
59,3
56,0
81,3
129,10
161,13
101,3
-22,-8
-126,-7
-189,0
-196,8
-160,11
-112,7
-64,1
-27,-5
-9,-12
-9,-16
-21,-16
-36,-13
-38,-7
-15,0
19,10
47,18
48,21
54,22
96,25
165,28
206,23
177,13
112,5
45,0
-22,-5
-82,-10
-126,-13
-155,-12
-183,-8
-209,-6
-228,-7
-227,-6
-199,0
-138,11
-40,22
77,26
204,24
322,20
391,14
385,7
303,5
185,5
68,4
-25,1
-101,-3
-162,-8
-202,-10
-227,-9
-245,-11
-252,-14
-247,-16
-218,-16
-158,-11
-84,-3
-6,5
76,13
170,22
293,32
422,40
479,41
469,36
385,26
271,9
169,-14
-32,-41
-226,-51
-368,-44
-431,-32
-435,-21
-399,-13
-336,-5
-251,4
-165,13
-85,25
-20,32
29,31
63,28
100,27
148,27
198,23
227,15
