CH1,CH2
32,40
42,29
37,19
34,10
35,2
33,-2
23,-2
7,-3
-3,-5
-4,-6
-7,-5
-19,-1
-33,1
-43,3
-46,4
-46,6
-43,3
-39,-3
-34,-10
-30,-2
-30,12
-39,22
-50,20
-51,11
-45,2
-31,-9
-25,-17
-43,-18
-66,-19
-52,-15
-10,1
3,17
-4,28
-2,31
17,24
37,18
53,15
80,14
115,14
130,14
110,18
89,19
79,16
74,14
68,10
63,5
55,4
45,5
32,7
9,4
-21,-1
-44,-7
-40,-15
-25,-22
-20,-30
-28,-39
-45,-44
-44,-35
-22,-15
-14,6
-29,20
-61,22
-82,20
-78,18
-40,18
2,16
26,11
30,4
5,2
-35,6
-66,11
-51,18
-12,25
28,29
60,25
74,15
68,3
51,-6
34,-9
27,-11
22,-15
36,-20
70,-22
80,-24
31,-18
-48,-4
-107,13
-121,18
-101,10
-70,-3
-33,-14
2,-17
14,-14
19,-6
26,-1
30,5
27,14
30,19
36,16
40,8
47,0
57,-5
63,-7
53,-8
32,-7
15,-6
9,-5
9,1
6,12
4,18
0,17
-5,19
-8,27
-17,31
-32,31
-43,29
-32,23
-11,15
5,12
15,11
18,11
13,13
-5,16
-36,16
-55,8
-53,-6
-26,-17
1,-23
14,-26
18,-32
13,-30
2,-14
-2,0
2,10
13,14
23,13
25,5
24,-1
19,-4
3,-1
-20,8
-37,22
-33,34
-7,37
18,33
36,23
40,11
24,-1
-5,-13
-21,-26
2,-30
36,-29
48,-23
33,-17
12,-12
11,-3
21,2
16,7
-9,6
-32,4
-35,5
-24,5
-9,2
12,-5
32,-15
32,-21
17,-23
1,-17
-12,-7
-25,4
-35,23
-33,41
-25,46
-26,36
-34,18
-23,1
-2,-15
16,-27
34,-25
48,-11
45,11
26,29
11,37
11,37
12,30
6,16
0,-1
3,-15
21,-24
41,-25
56,-13
57,4
44,19
17,31
-9,38
-27,40
-40,36
-52,21
-60,-4
-53,-26
-50,-35
-44,-31
-21,-24
2,-16
14,-4
20,8
19,18
14,28
11,35
13,32
22,19
26,4
26,-8
24,-16
24,-18
23,-9
18,-5
8,-6
-11,-6
-21,-8
-6,-7
27,-3
53,1
56,10
44,19
32,26
-1,28
-70,24
-137,19
-142,14
-74,11
-1,8
36,1
47,-6
47,-16
56,-26
63,-40
59,-48
56,-44
42,-30
16,-5
0,14
1,24
6,28
9,29
-2,26
-29,23
-52,20
-41,17
-27,12
-34,2
-41,-7
-24,-13
5,-6
17,4
19,15
22,19
32,17
41,9
27,0
-5,-7
-26,-8
-20,-7
-6,-12
