CH1,CH2
22,204
20,170
30,126
32,64
29,115
39,126
14,106
58,51
58,24
31,32
24,28
24,55
34,141
34,187
63,128
70,40
50,18
45,33
37,23
37,11
36,15
32,17
28,40
32,24
19,31
30,28
12,24
27,51
27,73
49,87
26,57
29,38
32,19
36,21
37,30
36,40
41,59
26,20
19,66
31,142
36,90
29,54
50,44
63,52
52,74
50,25
26,127
33,162
21,90
21,55
26,153
23,131
31,120
49,173
29,22
26,139
23,153
27,33
31,7
26,25
30,73
20,32
32,55
23,23
20,6
17,13
25,15
23,27
22,13
37,87
38,90
31,32
22,17
22,12
19,12
22,40
29,151
56,38
22,59
27,54
26,117
31,58
56,81
52,62
30,193
24,219
38,19
33,11
40,19
29,19
25,141
21,229
37,95
44,128
0,143
17,219
21,228
23,109
20,34
26,8
32,94
22,195
32,347
44,183
36,125
68,87
50,27
27,41
28,37
33,15
34,20
53,45
31,112
25,17
30,104
23,52
13,29
6,9
30,13
34,40
41,60
34,56
39,48
34,115
59,111
23,67
26,211
26,106
34,38
58,14
32,20
41,56
56,29
55,79
55,49
91,39
55,77
38,63
27,11
33,72
53,41
23,18
83,147
123,24
128,155
28,260
42,114
28,31
28,19
34,95
21,14
22,30
40,57
72,68
69,110
34,15
35,22
52,61
96,77
53,68
34,93
22,97
41,21
51,35
93,35
82,37
75,70
42,44
40,163
28,94
16,19
25,12
26,11
22,31
41,28
42,40
21,104
92,106
85,137
96,109
38,9
19,36
23,105
29,58
26,15
19,30
25,19
27,46
35,11
23,222
34,315
44,115
37,16
45,45
25,61
23,34
30,27
26,11
24,13
42,73
37,43
29,12
27,17
26,11
22,80
38,47
49,34
41,37
45,48
51,46
45,187
19,91
24,45
29,34
38,25
31,14
27,16
46,19
27,118
29,58
37,32
36,73
29,59
34,35
27,59
19,30
19,46
23,15
25,39
26,231
25,168
23,13
19,29
21,12
20,10
0,52
24,113
21,142
24,123
22,146
37,144
59,25
30,45
24,103
28,52
29,233
32,217
42,250
22,279
34,207
42,107
30,25
13,30
26,44
30,40
29,27
24,16
24,53
35,36
25,71
31,130
48,180
35,134
54,129
25,109
23,84
25,15
25,51
19,37
15,120
20,267
26,254
35,81
49,29
46,28
91,117
43,159
42,67
27,15
40,36
31,110
23,105
24,26
19,36
23,190
27,265
25,94
19,15
29,13
25,18
30,11
44,46
6,76
21,31
21,15
29,47
21,23
27,16
34,50
22,34
25,70
25,124
20,93
23,51
53,136
38,157
43,31
28,128
20,170
26,135
25,29
26,19
42,27
27,75
23,13
19,92
0,117
49,151
46,295
24,135
30,22
44,19
30,37
39,18
25,66
35,73
47,42
51,30
35,170
42,33
50,84
34,102
30,71
47,36
27,50
26,67
26,61
25,51
27,117
25,80
24,71
21,128
31,44
28,73
24,34
21,72
40,79
61,131
56,163
39,78
22,15
8,45
25,86
13,70
30,56
36,24
21,44
33,195
30,120
47,27
52,11
46,11
54,62
79,17
26,16
30,79
12,52
26,41
23,24
0,120
27,127
20,15
19,56
22,35
34,36
38,70
23,14
19,177
25,299
18,204
20,88
29,15
19,92
20,178
28,176
28,55
0,14
20,116
36,111
46,59
46,11
56,28
112,21
72,12
32,16
28,34
24,54
19,40
0,85
9,118
26,31
41,13
32,40
22,13
0,20
48,74
64,34
21,116
38,107
39,268
36,217
31,39
41,73
28,134
21,34
17,140
38,154
105,60
49,25
38,45
84,17
147,21
67,92
71,119
38,121
26,45
38,27
37,32
72,32
69,36
44,41
49,80
36,33
0,17
26,30
26,100
14,79
25,59
27,39
17,24
28,160
24,198
29,164
43,15
36,49
56,117
25,159
23,147
29,28
54,67
78,265
28,321
23,143
24,46
30,123
37,77
38,88
25,58
24,28
23,96
44,286
91,319
74,197
29,46
20,237
23,445
37,405
46,175
29,19
23,12
20,32
19,119
33,97
48,48
29,81
47,144
43,195
41,166
29,31
33,108
28,22
25,33
21,12
19,181
24,161
20,93
14,34
29,13
35,139
22,56
15,12
30,42
23,93
24,44
27,15
42,42
127,21
47,15
27,20
16,18
24,65
26,65
7,26
27,52
30,82
19,86
22,24
26,144
1,236
25,175
28,72
22,25
22,111
24,104
19,52
19,14
27,28
29,138
21,201
24,9
23,22
25,22
22,15
20,12
17,22
21,25
39,21
41,22
64,12
65,20
79,48
83,100
75,127
32,128
19,20
16,42
57,55
64,77
52,16
75,14
71,15
36,84
22,22
44,128
29,30
23,73
19,14
50,23
51,246
0,198
25,45
24,12
40,53
23,79
25,20
30,38
22,19
30,36
31,28
34,26
32,36
58,22
44,57
55,27
36,42
18,131
23,90
24,12
25,30
18,40
26,39
37,56
30,57
3,20
20,13
22,13
21,21
19,19
23,16
37,30
52,108
22,23
31,111
30,103
30,42
29,31
25,117
43,59
32,46
25,15
23,35
37,89
27,59
28,159
33,83
20,109
59,92
67,173
26,134
36,183
25,31
23,142
46,247
24,318
19,164
24,65
34,78
30,146
0,269
27,203
30,275
20,225
23,287
51,123
42,31
53,58
63,14
75,43
43,84
69,62
45,69
24,88
19,107
24,99
36,159
6,143
20,81
22,67
20,14
36,106
63,94
67,24
100,108
38,31
18,43
42,108
43,20
60,97
38,34
29,100
22,49
22,309
16,145
30,120
38,153
42,50
41,50
37,38
55,22
30,155
27,91
27,44
23,20
13,96
0,135
33,155
28,196
56,65
29,20
18,26
22,73
24,166
25,147
29,84
23,77
32,9
24,12
25,123
32,176
28,127
30,91
6,110
34,23
25,78
54,270
70,230
53,79
50,15
26,74
23,81
11,47
47,24
29,78
0,28
24,136
23,167
32,39
33,24
24,39
0,17
25,27
22,28
20,30
23,50
20,38
41,34
41,42
56,98
32,148
26,100
39,26
53,18
30,138
73,45
70,91
47,96
43,62
61,56
29,47
19,12
19,21
25,19
21,73
5,73
26,44
25,11
33,11
47,13
58,26
51,10
43,48
19,16
19,16
18,19
39,32
57,30
34,125
39,164
37,111
39,21
48,12
83,42
92,93
85,102
36,91
24,107
25,87
55,34
63,63
128,64
100,22
59,22
21,84
26,131
21,46
13,68
18,24
25,90
4,15
18,40
25,98
16,24
23,12
25,65
37,29
38,109
21,133
24,213
17,136
30,62
38,57
32,128
33,147
37,126
41,102
51,118
34,129
25,75
32,206
25,234
36,211
0,109
18,34
28,26
25,32
24,45
19,45
3,19
22,11
23,12
45,15
49,17
46,23
52,109
20,134
29,55
25,18
33,78
27,111
19,39
26,74
20,112
50,130
19,195
53,32
31,188
25,57
25,54
22,84
19,159
0,93
21,114
19,170
26,85
35,42
27,116
9,162
24,102
20,21
24,11
30,14
28,49
46,44
35,75
50,72
58,13
44,87
35,70
79,19
35,33
19,79
40,155
22,16
22,62
41,61
27,70
16,14
27,139
23,78
57,14
22,69
21,22
23,105
43,15
36,68
31,65
26,18
24,55
26,26
22,12
30,33
40,65
42,41
50,147
41,129
48,29
55,13
99,59
31,29
20,180
21,285
34,246
22,155
19,90
83,51
45,13
22,55
31,69
26,52
0,33
32,97
44,62
16,85
23,95
19,88
25,118
19,125
27,183
20,25
37,79
30,92
30,47
33,22
35,95
39,142
71,90
66,9
123,13
49,12
28,15
29,14
25,32
31,8
19,14
25,41
25,113
39,179
54,176
103,130
140,35
82,34
30,168
25,136
26,15
16,19
29,103
41,21
31,19
24,11
23,8
25,52
28,78
23,122
25,99
26,78
44,58
63,16
32,66
31,54
27,114
25,28
20,36
37,52
25,134
19,83
27,14
33,117
12,53
43,15
22,79
25,122
19,55
20,43
32,78
24,75
28,38
27,157
34,78
29,87
52,194
28,203
26,75
34,160
28,350
23,343
23,46
20,24
20,120
21,258
22,141
62,309
30,60
33,315
37,212
26,89
23,299
38,279
92,73
70,22
50,20
26,23
52,37
25,29
21,49
20,73
28,48
32,57
31,73
40,15
22,73
28,39
29,31
30,31
23,43
7,39
26,29
27,48
29,15
32,110
32,23
38,34
20,21
22,38
22,13
27,25
33,105
26,119
26,41
40,87
35,64
36,54
50,193
53,171
48,43
43,215
36,166
47,89
9,47
53,38
