CH1,CH2
488,24
206,83
30,143
57,174
81,112
69,14
114,62
134,99
208,92
166,33
217,15
349,13
489,21
300,49
59,43
206,10
114,28
88,16
161,37
224,35
214,88
32,48
31,43
18,139
50,201
73,249
60,161
40,99
48,52
8,16
34,27
59,24
67,28
93,66
200,85
144,70
20,35
45,119
52,229
40,151
61,66
143,171
42,254
73,151
27,78
27,375
11,356
42,321
56,247
26,66
37,56
54,91
46,18
50,29
39,44
22,60
46,134
73,124
132,68
150,14
31,16
33,53
26,50
8,63
36,20
73,16
99,20
158,19
219,28
161,16
74,22
30,14
29,31
40,15
48,65
8,71
35,83
134,64
252,78
672,134
695,50
558,36
105,135
561,16
805,68
585,56
632,53
293,25
259,18
324,83
217,72
5,82
115,200
71,238
216,107
106,192
460,79
427,53
391,51
160,128
433,144
252,171
808,272
848,35
215,17
442,58
286,85
1023,205
1023,433
1023,135
359,151
745,365
1023,205
701,245
357,305
584,401
0,392
343,51
345,173
356,242
545,38
329,40
397,14
266,61
156,105
333,289
264,29
306,24
220,217
257,349
142,435
80,248
457,228
523,176
222,198
368,64
601,171
511,288
244,111
352,130
881,77
184,256
278,43
126,71
287,311
573,417
567,265
710,113
528,841
98,820
227,394
140,170
25,188
162,107
253,123
34,29
154,67
83,44
122,47
40,39
71,49
41,87
110,198
34,306
27,304
394,201
480,49
732,242
962,401
892,86
82,15
1023,38
1023,43
1023,15
967,121
298,99
83,95
82,146
238,211
281,326
273,276
239,230
78,237
91,59
47,334
177,674
59,584
949,145
1023,37
847,74
786,64
380,113
1023,95
917,188
918,275
760,278
710,362
232,522
441,271
148,17
164,107
25,115
201,21
58,22
285,12
424,11
109,15
203,9
403,22
614,67
229,94
437,17
267,80
271,38
325,97
744,70
94,39
531,13
327,114
206,321
186,454
261,553
687,382
376,91
588,360
781,416
224,509
129,205
1017,406
622,639
285,520
99,267
121,995
140,1023
40,710
726,131
1023,183
420,276
16,152
343,92
331,138
504,72
372,25
417,25
510,63
413,14
178,125
194,201
335,159
27,70
321,52
118,145
59,43
51,54
54,66
31,26
63,15
49,94
32,448
90,242
0,286
16,441
52,563
85,430
164,300
115,763
107,809
602,196
532,222
703,72
612,33
450,22
153,289
834,347
1023,102
945,95
67,87
111,70
99,41
38,73
79,362
13,374
210,30
164,100
300,176
107,286
108,59
119,99
186,211
130,198
241,89
255,158
371,249
503,66
270,35
33,152
158,325
294,216
134,74
168,122
265,103
334,28
764,105
1012,207
406,178
124,174
121,60
61,11
32,43
45,58
111,67
111,94
52,54
34,37
46,64
161,51
327,52
679,38
974,43
627,45
276,35
315,90
83,50
314,15
785,35
610,77
129,42
283,40
8,83
197,85
50,127
52,22
26,81
122,28
156,21
228,212
1001,238
521,47
87,375
26,183
32,41
49,39
39,44
55,22
115,10
309,59
257,121
91,143
41,51
41,16
19,25
89,13
193,55
109,200
104,269
172,252
139,200
47,224
455,18
335,15
36,51
324,125
813,42
528,307
611,471
856,58
286,808
428,934
1023,582
725,177
33,56
210,55
282,87
475,224
1023,38
1023,18
173,146
626,256
1023,476
988,379
293,298
128,81
30,174
64,188
73,215
52,196
29,202
35,144
39,19
66,40
93,85
169,284
439,373
356,507
49,520
91,378
29,41
62,480
99,801
71,612
181,439
140,254
44,247
44,44
89,15
103,28
61,21
48,69
40,77
182,91
76,124
62,131
30,64
128,18
108,14
54,11
70,85
128,131
147,100
48,21
30,37
122,29
44,20
43,71
99,78
58,83
225,13
374,18
39,17
176,85
41,90
138,27
270,87
272,120
195,39
76,13
132,18
313,35
200,22
35,23
63,67
28,12
349,21
599,61
66,35
119,42
262,36
34,53
29,63
107,42
96,54
118,22
465,13
581,125
611,41
439,37
380,14
663,89
79,121
293,106
666,65
186,50
69,82
169,87
67,123
70,75
45,155
30,154
60,346
49,354
116,305
37,183
162,50
481,11
409,34
149,25
108,15
75,53
48,66
190,170
506,323
103,299
87,86
30,440
95,289
305,79
244,197
43,86
145,30
67,212
28,70
40,177
248,183
643,227
186,149
69,373
224,262
192,33
34,38
407,319
115,331
563,482
213,59
104,47
27,72
64,171
27,377
78,313
22,147
27,79
24,29
0,12
25,35
32,16
72,43
36,86
111,111
165,110
227,101
276,82
145,40
177,131
745,194
782,181
196,225
66,307
179,205
11,67
41,173
208,60
1023,400
1023,657
377,293
56,37
152,30
199,23
238,28
235,56
47,50
67,90
54,117
31,124
55,148
21,112
46,66
167,15
96,42
120,85
248,98
183,167
199,13
753,12
780,58
410,78
70,16
661,35
706,33
166,20
318,30
124,38
196,23
771,25
641,81
325,31
98,44
781,97
1023,175
594,253
260,167
233,178
167,262
33,48
90,110
168,261
104,307
31,341
37,263
46,114
44,16
125,45
737,143
615,129
343,126
132,279
159,383
111,336
250,386
18,305
470,177
774,679
481,896
37,602
28,243
35,243
51,160
65,25
68,61
92,204
113,399
69,708
130,695
343,363
173,77
94,580
34,896
142,492
102,51
36,39
134,140
48,252
331,205
313,83
295,386
322,390
112,88
48,29
34,24
44,13
69,12
62,16
44,20
35,45
135,74
50,33
104,48
183,120
468,173
509,217
1023,198
427,60
112,146
746,185
504,225
1023,25
635,152
898,280
893,255
231,61
201,108
399,422
67,522
256,227
132,13
124,14
64,22
32,51
29,11
90,37
177,54
205,86
196,91
134,62
597,47
693,32
126,16
317,89
472,55
568,26
412,14
40,12
31,15
45,11
88,16
59,31
140,44
186,45
47,68
22,100
37,41
64,34
50,77
42,50
60,64
44,134
60,228
224,284
224,375
304,311
384,169
179,257
197,420
474,385
280,35
84,119
817,217
463,326
718,28
955,357
386,591
623,156
204,46
53,16
49,43
55,177
118,111
33,41
3,47
79,188
219,204
212,24
204,262
40,342
459,275
521,221
50,226
168,195
325,342
483,31
122,15
38,199
131,421
100,298
61,185
43,44
38,12
103,65
94,61
30,24
55,48
44,34
30,13
27,15
31,53
39,34
45,57
39,72
36,23
29,13
26,18
296,63
379,80
205,99
63,137
334,88
558,22
105,16
461,67
355,17
65,56
164,35
478,56
477,63
91,19
121,52
75,177
48,194
67,100
50,17
31,64
25,59
37,21
71,46
51,63
60,19
37,18
36,19
36,12
74,10
43,19
32,12
17,12
44,27
43,53
103,96
59,106
178,119
280,12
219,12
30,15
86,166
203,211
83,24
184,46
131,41
22,11
40,14
38,12
31,11
101,15
46,31
0,38
29,15
35,11
28,19
34,48
63,51
79,36
35,17
37,12
33,19
35,31
238,26
519,16
414,83
312,126
187,41
71,22
266,123
124,120
155,115
100,96
27,39
383,7
224,67
181,69
92,14
538,12
527,26
150,35
38,78
65,91
99,77
41,19
46,153
88,109
20,61
48,62
56,44
82,11
25,15
53,16
136,15
119,12
58,14
51,14
49,28
55,21
37,20
44,13
37,13
38,67
41,86
45,100
50,80
49,48
38,14
28,47
55,39
77,123
68,220
23,173
29,16
27,108
28,121
25,112
27,60
24,70
24,87
30,72
24,31
35,51
47,68
63,49
62,55
60,92
69,104
32,38
26,87
32,79
35,20
38,24
55,98
37,67
27,30
39,17
66,11
47,27
78,15
40,14
34,13
26,11
29,11
29,12
45,19
37,18
40,18
50,14
49,24
52,26
87,11
66,11
62,10
58,16
63,15
55,19
79,13
42,18
36,14
45,14
45,15
30,22
32,14
23,17
36,12
37,11
37,16
68,27
18,15
33,14
31,12
46,11
49,11
60,26
104,16
69,16
223,14
102,11
30,15
34,6
66,15
26,11
80,15
94,13
63,14
60,14
72,13
180,15
104,18
21,30
96,15
45,7
92,10
83,12
64,43
30,40
43,13
114,22
67,14
112,17
88,14
34,14
72,13
62,6
31,21
18,30
30,15
30,29
68,41
27,27
37,34
62,23
51,14
46,18
83,36
46,56
35,21
24,13
33,11
23,14
29,12
30,23
18,13
40,10
25,12
39,15
28,11
30,15
26,19
29,24
30,21
27,12
48,25
23,41
34,14
31,16
61,11
56,13
62,18
69,74
44,87
36,124
34,162
37,102
58,17
50,108
26,253
27,141
62,17
41,74
31,66
0,10
82,36
81,66
84,51
52,41
27,29
31,28
32,24
34,20
31,33
36,48
36,81
53,102
35,22
42,24
44,11
42,18
43,55
73,123
53,126
