CH1,CH2
"160
","83
"
"166
","117
"
"67
","6
"
"397
","50
"
"87
","0
"
"63
","125
"
"63
","6
"
"537
","106
"
"499
","1
"
"271
","0
"
"220
","33
"
"302
","16
"
"146
","23
"
"260
","20
"
"193
","25
"
"152
","5
"
"93
","0
"
"373
","23
"
"169
","0
"
"282
","17
"
"258
","20
"
"182
","2
"
"151
","47
"
"151
","0
"
"53
","0
"
"44
","17
"
"95
","43
"
"225
","45
"
"74
","1
"
"76
","37
"
"110
","101
"
"87
","58
"
"44
","0
"
"270
","30
"
"388
","165
"
"379
","109
"
"158
","0
"
"102
","0
"
"140
","73
"
"294
","15
"
"128
","80
"
"96
","23
"
"49
","44
"
"94
","0
"
"88
","15
"
"165
","64
"
"117
","0
"
"55
","77
"
"48
","0
"
"164
","0
"
"105
","57
"
"213
","130
"
"161
","23
"
"73
","0
"
"90
","64
"
"48
","68
"
"90
","139
"
"51
","167
"
"102
","90
"
"153
","81
"
"120
","81
"
"88
","126
"
"157
","38
"
"93
","58
"
"44
","36
"
"66
","48
"
"48
","0
"
"74
","13
"
"172
","14
"
"79
","0
"
"221
","0
"
"277
","0
"
"144
","4
"
"478
","110
"
"313
","57
"
"53
","19
"
"85
","72
"
"202
","29
"
"66
","50
"
"59
","0
"
"315
","9
"
"110
","56
"
"189
","74
"
"47
","70
"
"57
","25
"
"257
","101
"
"246
","24
"
"345
","82
"
"87
","48
"
"51
","56
"
"106
","6
"
"493
","80
"
"585
","15
"
"143
","161
"
"47
","37
"
"69
","80
"
"182
","9
"
"277
","0
"
"371
","19
"
"60
","85
"
"283
","46
"
"78
","0
"
"400
","1
"
"83
","0
"
"188
","0
"
"271
","158
"
"142
","194
"
"92
","5
"
"53
","92
"
"55
","101
"
"102
","12
"
"330
","11
"
"86
","23
"
"86
","24
"
"157
","12
"
"63
","0
"
"96
","1
"
"44
","134
"
"254
","31
"
"131
","83
"
"62
","91
"
"123
","35
"
"148
","124
"
"107
","103
"
"52
","10
"
"47
","63
"
"64
","131
"
"39
","33
"
"89
","0
"
"262
","29
"
"232
","19
"
"46
","40
"
"58
","13
"
"145
","1
"
"50
","0
"
"90
","7
"
"122
","36
"
"42
","43
"
"68
","0
"
"68
","50
"
"49
","44
"
"155
","0
"
"67
","0
"
"63
","3
"
"171
","86
"
"157
","88
"
"190
","64
"
"113
","19
"
"42
","32
"
"82
","6
"
"42
","71
"
"208
","22
"
"107
","42
"
"54
","84
"
"47
","117
"
"80
","8
"
"67
","10
"
"189
","67
"
"130
","21
"
"145
","23
"
"146
","23
"
"335
","65
"
"47
","82
"
"271
","56
"
"315
","63
"
"78
","36
"
"48
","9
"
"107
","35
"
"69
","32
"
"70
","43
"
"95
","20
"
"46
","14
"
"214
","0
"
"159
","0
"
"82
","22
"
"213
","15
"
"57
","68
"
"69
","24
"
"59
","0
"
"123
","27
"
"55
","0
"
"125
","35
"
"109
","54
"
"46
","142
"
"158
","70
"
"220
","74
"
"146
","0
"
"310
","39
"
"232
","0
"
"247
","98
"
"109
","84
"
"218
","55
"
"95
","0
"
"92
","58
"
"104
","27
"
"266
","9
"
"42
","123
"
"53
","35
"
"142
","4
"
"273
","0
"
"75
","21
"
"87
","117
"
"76
","6
"
"68
","10
"
"200
","48
"
"62
","74
"
"60
","48
"
"72
","0
"
"78
","96
"
"122
","2
"
"59
","0
"
"66
","51
"
"118
","81
"
"58
","33
"
"93
","0
"
"71
","1
"
"104
","49
"
"69
","2
"
"100
","0
"
"50
","0
"
"83
","8
"
"45
","22
"
"122
","67
"
"59
","11
"
"158
","12
"
"87
","66
"
"69
","0
"
"165
","3
"
"50
","10
"
"11
","6
"
"62
","15
"
"173
","0
"
"171
","34
"
"166
","28
"
"126
","82
"
"131
","40
"
"151
","35
"
"74
","1
"
"184
","0
"
"57
","0
"
"138
","65
"
"180
","80
"
"63
","142
"
"101
","74
"
"112
","34
"
"189
","85
"
"176
","103
"
"45
","166
"
"88
","134
"
"80
","0
"
"64
","6
"
"233
","49
"
"60
","0
"
"304
","127
"
"41
","0
"
"205
","106
"
"60
","0
"
"148
","35
"
"72
","0
"
"118
","0
"
"194
","9
"
"108
","19
"
"167
","29
"
"68
","83
"
"155
","94
"
"212
","10
"
"158
","139
"
"235
","3
"
"185
","67
"
"160
","0
"
"58
","46
"
"213
","65
"
"111
","89
"
"138
","48
"
"138
","36
"
"172
","18
"
"124
","33
"
"134
","47
"
"80
","30
"
"77
","0
"
"109
","0
"
"13
","0
"
"130
","20
"
"104
","6
"
"95
","28
"
"56
","0
"
"88
","7
"
"82
","46
"
"165
","93
"
"28
","0
"
"304
","34
"
"338
","26
"
"185
","0
"
"407
","104
"
"304
","56
"
"226
","12
"
"53
","38
"
"71
","0
"
"71
","96
"
"55
","23
"
"44
","119
"
"52
","112
"
"44
","8
"
"90
","24
"
"98
","43
"
"236
","0
"
"131
","1
"
"157
","0
"
"53
","9
"
"125
","0
"
"80
","4
"
"43
","43
"
"54
","36
"
"44
","116
"
"108
","64
"
"50
","38
"
"75
","35
"
"24
","0
"
"72
","37
"
"116
","21
"
"101
","0
"
"151
","71
"
"263
","75
"
"76
","0
"
"51
","47
"
"183
","89
"
"63
","0
"
"189
","7
"
"118
","95
"
"16
","63
"
"120
","103
"
"325
","51
"
"89
","67
"
"37
","149
"
"53
","0
"
"213
","0
"
"162
","26
"
"78
","0
"
"62
","46
"
"70
","69
"
"108
","57
"
"103
","46
"
"53
","86
"
"49
","12
"
"52
","50
"
