CH1,CH2
64,44
56,64
47,131
41,111
44,102
66,42
36,48
49,133
175,134
226,315
155,426
164,494
326,596
297,330
215,292
203,297
94,298
177,326
147,423
122,499
105,148
54,50
55,64
67,172
169,206
185,91
116,170
189,516
461,617
392,496
109,281
58,519
95,583
42,488
78,294
61,54
59,94
83,27
214,275
230,291
284,852
335,1023
258,965
120,756
176,542
162,360
144,191
164,148
41,186
68,288
221,443
284,883
376,1023
299,1023
369,467
321,51
252,167
222,18
80,51
107,146
44,381
45,447
167,288
209,129
413,385
434,566
315,489
234,387
174,250
112,261
76,276
83,202
52,40
59,63
123,311
257,527
282,638
423,640
309,531
260,162
137,99
106,35
80,171
47,102
52,237
23,478
173,325
295,135
335,207
380,882
399,1001
340,778
160,515
119,127
45,109
83,123
129,96
38,62
97,82
218,204
347,492
359,950
502,1023
368,591
277,252
195,114
62,84
27,36
138,250
178,243
157,411
219,396
264,217
282,255
369,625
385,351
221,365
95,337
66,89
60,81
22,34
69,82
46,78
89,218
221,132
192,207
185,600
229,787
313,880
153,646
166,404
150,124
94,47
47,48
51,44
57,35
29,373
157,519
118,622
342,870
449,858
364,571
272,451
220,327
161,418
66,323
26,197
56,71
169,396
216,563
178,634
321,751
493,614
281,405
128,286
105,54
100,59
90,99
42,221
91,183
123,122
172,45
188,97
230,329
419,715
385,597
286,332
209,481
121,426
108,440
128,317
46,36
43,96
64,431
265,624
264,656
322,908
415,962
333,454
228,131
278,205
217,145
106,183
84,258
38,317
87,325
315,267
220,373
363,749
440,527
393,427
224,437
232,325
132,299
63,175
49,107
67,56
73,45
175,180
133,318
214,738
485,795
389,557
196,288
107,328
162,277
215,57
40,58
96,54
122,83
197,294
192,242
264,223
466,600
449,664
306,341
112,204
112,162
73,187
51,103
51,156
63,257
151,500
278,430
247,402
387,645
461,527
335,260
216,58
137,45
63,36
72,50
48,66
66,105
47,107
166,434
289,387
324,530
518,839
461,568
348,436
309,401
130,239
139,33
50,186
84,432
95,656
199,533
245,153
241,120
459,286
488,196
381,381
115,402
109,397
130,459
68,300
83,152
160,155
240,587
284,611
286,630
325,776
417,552
364,306
238,40
104,50
31,40
64,61
67,83
79,124
71,175
167,293
212,216
243,310
354,401
265,414
181,260
173,339
139,147
85,162
55,68
60,34
89,263
127,409
293,201
161,234
279,761
380,654
386,333
271,177
176,269
77,228
75,147
84,166
44,19
119,89
271,116
270,120
183,471
438,860
383,719
297,559
170,604
145,364
