CH1,CH2
48,22
34,30
90,53
62,125
58,68
30,54
52,101
252,385
399,559
349,603
303,536
410,722
352,629
253,542
178,424
56,364
47,269
47,190
34,146
43,54
85,24
89,107
94,84
99,153
166,384
162,209
139,363
273,761
389,672
244,523
198,310
83,262
109,176
125,29
81,115
149,181
170,310
195,299
307,258
313,558
426,493
302,374
55,304
47,256
58,295
53,302
35,288
37,42
132,249
131,465
233,452
75,499
274,708
177,646
312,527
277,416
175,171
127,45
43,132
96,130
173,135
307,356
267,414
309,526
453,624
390,580
252,327
118,230
130,219
32,84
94,26
119,46
62,59
114,245
249,377
337,370
331,777
414,758
411,612
233,432
129,274
90,66
102,45
47,171
110,138
35,154
138,331
157,235
159,520
339,677
382,750
274,286
222,234
71,328
87,249
53,99
61,129
122,328
259,498
299,500
267,564
478,843
475,730
314,436
199,247
37,33
159,49
166,32
149,53
133,34
126,139
264,394
250,454
273,724
397,621
325,472
79,416
48,285
34,137
41,177
127,171
185,37
294,225
284,423
115,472
162,721
389,858
334,738
236,487
168,385
93,281
53,146
42,71
71,49
101,131
244,406
258,421
189,461
333,702
336,469
223,236
129,202
67,261
46,187
14,37
53,36
70,99
111,53
332,226
343,90
326,332
474,585
456,550
307,450
68,363
76,193
106,86
44,36
86,56
66,100
64,223
199,392
216,355
247,595
482,505
479,440
228,245
77,100
41,47
26,34
68,89
95,61
217,32
213,255
284,203
333,305
397,654
418,640
225,429
106,234
41,101
51,213
56,152
40,121
54,70
67,45
179,329
227,400
289,513
380,734
389,588
271,381
109,316
117,197
104,61
48,31
45,56
57,49
109,324
248,288
237,347
352,712
450,707
335,578
280,303
185,262
79,235
65,181
40,88
66,161
77,312
296,479
297,417
342,494
438,635
331,541
130,330
56,185
42,124
29,72
55,46
65,92
74,96
76,145
219,372
200,428
69,628
335,623
396,618
265,570
144,353
143,185
145,128
168,56
41,73
41,268
87,412
161,476
158,468
311,717
333,577
280,380
219,355
285,246
438,134
308,167
123,85
148,150
394,458
387,462
357,567
437,719
340,496
319,434
211,386
188,343
164,158
63,42
66,229
66,287
99,392
192,301
240,306
449,567
407,527
329,357
285,124
245,146
156,123
40,115
51,45
51,43
48,146
308,400
332,332
271,474
391,563
150,411
59,185
63,213
82,219
98,123
50,22
50,42
74,34
94,102
122,264
61,269
182,585
573,596
332,418
93,259
78,280
82,261
48,162
35,249
44,179
31,58
26,390
139,515
134,552
378,715
425,511
347,321
150,351
188,203
209,172
106,90
69,89
47,31
51,212
181,351
118,390
132,629
377,669
435,537
305,250
152,73
40,73
62,122
39,85
53,45
52,121
129,314
175,379
236,497
343,839
453,766
367,401
195,215
328,24
334,22
162,31
52,78
211,64
128,27
316,255
311,417
316,564
441,702
326,564
164,322
86,373
59,221
43,183
35,57
74,43
156,115
167,384
247,366
244,337
259,636
198,521
161,358
117,274
173,298
274,251
223,128
71,55
116,44
232,228
407,331
251,390
173,684
321,682
178,502
54,402
115,251
37,131
120,92
311,66
71,146
138,367
258,455
103,349
74,531
332,636
308,636
187,481
128,154
88,162
117,64
93,134
80,32
31,48
125,263
213,337
155,321
235,552
287,560
307,484
200,328
70,253
66,185
57,40
88,69
51,33
99,180
201,442
173,448
253,508
447,657
403,477
291,174
155,209
122,243
105,214
61,217
60,76
38,57
158,222
303,282
264,361
319,741
297,652
222,344
223,367
61,225
33,88
80,205
144,171
66,90
45,68
115,324
39,344
32,366
273,634
297,552
214,431
137,363
117,398
121,216
121,114
42,50
37,90
150,229
240,406
171,356
306,681
541,579
390,276
142,117
48,191
46,329
95,348
93,239
175,55
327,223
422,419
370,358
355,668
523,749
434,682
66,453
40,195
95,70
102,25
172,71
298,26
178,136
264,291
245,269
219,297
460,659
398,665
304,450
192,267
76,81
71,109
31,22
115,49
163,100
250,311
386,326
453,381
483,673
550,529
442,420
131,320
80,293
46,237
41,63
35,98
76,45
186,28
389,364
344,346
321,357
480,693
355,734
167,422
