CH1,CH2
328,397
150,349
47,321
46,232
53,143
101,165
65,102
68,33
45,106
45,228
68,198
134,310
127,284
143,386
240,457
351,717
321,663
294,582
267,459
210,316
151,268
82,186
136,164
116,129
80,38
47,62
146,379
225,348
166,429
277,647
307,697
273,483
262,253
334,205
205,74
42,105
111,20
171,197
101,368
214,363
308,503
415,769
495,664
315,411
208,137
169,57
61,151
62,39
41,29
57,13
73,30
177,237
303,275
298,288
429,517
390,464
265,200
147,77
102,36
56,49
88,192
74,248
47,243
44,201
194,161
257,530
188,78
390,400
410,582
206,430
151,432
208,288
99,129
47,29
83,43
124,16
115,149
106,237
72,284
241,553
351,537
334,446
132,329
169,169
125,33
64,24
150,50
52,73
95,209
348,384
343,407
220,670
271,612
344,469
277,125
153,40
70,74
83,31
32,35
43,35
89,133
122,272
225,111
260,156
357,363
388,350
307,319
160,151
84,275
43,212
83,56
50,28
40,94
34,130
168,339
317,244
285,282
447,526
469,568
288,400
110,151
53,95
58,50
51,230
86,78
48,86
41,138
187,105
197,284
131,662
415,923
431,644
265,380
126,360
86,215
44,36
111,120
57,133
47,273
57,427
240,438
292,409
237,496
393,224
362,118
206,195
57,427
41,453
62,276
46,166
58,59
41,128
174,397
268,322
316,364
459,478
325,412
131,238
45,259
75,333
103,265
39,98
50,99
82,312
225,600
220,432
157,479
334,765
478,471
349,61
185,98
193,107
58,80
38,54
29,94
35,93
88,31
165,259
199,280
198,337
229,563
397,481
368,330
224,205
89,101
58,113
15,182
38,118
46,19
37,98
131,275
156,359
206,548
434,753
394,599
220,368
179,315
188,225
145,66
124,53
58,224
134,269
119,349
210,368
161,509
421,600
551,381
291,82
115,65
57,87
41,144
55,225
47,129
41,54
96,218
301,398
265,485
232,745
359,799
302,632
183,211
171,92
115,32
90,51
39,71
38,32
69,21
52,171
196,343
360,589
269,798
328,747
282,414
131,35
37,37
41,50
75,86
40,33
52,61
139,92
114,107
270,223
207,216
96,309
210,394
128,461
123,370
76,377
99,256
111,190
63,112
47,34
64,62
89,270
171,262
145,320
244,537
308,456
255,285
129,171
117,301
94,157
55,31
32,71
17,158
117,214
272,191
72,43
101,168
251,467
401,561
340,413
260,343
208,205
83,77
54,32
54,30
75,41
76,78
202,207
218,209
243,582
438,693
379,487
160,107
50,46
91,50
64,50
76,31
40,47
118,99
102,135
220,148
188,99
199,491
340,838
330,769
152,519
144,325
136,240
36,75
93,59
109,84
82,75
218,218
251,165
219,208
336,523
312,644
247,494
155,553
244,341
176,79
45,75
122,140
141,250
160,461
229,105
89,73
253,473
370,462
277,249
180,207
156,197
89,211
62,168
78,89
68,15
41,110
115,365
205,457
227,712
428,823
381,614
339,254
209,111
114,58
41,40
67,169
40,267
37,281
179,475
225,433
189,402
299,638
376,524
283,370
185,229
161,67
79,91
32,227
64,244
47,84
43,99
125,180
164,152
158,394
371,577
318,470
266,262
208,428
291,452
161,147
39,54
140,66
158,284
134,537
108,614
178,737
450,884
440,665
295,256
179,220
162,152
148,66
86,233
44,201
44,206
209,481
416,349
323,327
350,525
339,429
226,285
99,247
64,178
40,46
51,98
52,127
102,176
39,194
167,211
164,214
342,320
530,499
391,582
185,505
64,461
53,273
47,61
37,251
40,306
26,112
62,218
245,249
289,335
353,649
420,538
275,195
157,88
182,41
62,98
37,151
59,70
84,297
100,335
106,44
101,16
167,301
378,704
426,660
328,396
214,262
202,180
195,42
42,172
37,144
105,154
241,307
188,241
150,290
333,580
416,464
262,210
138,59
99,118
98,83
63,64
59,69
81,42
115,87
109,356
131,417
218,394
422,795
502,620
342,255
135,108
36,34
52,26
55,33
53,106
53,39
54,27
203,115
218,87
182,185
318,432
355,388
371,217
108,209
98,297
113,446
31,240
19,48
99,206
86,303
276,252
264,312
355,615
405,542
398,369
317,356
227,278
40,213
40,48
41,42
63,58
91,223
223,487
289,431
240,347
416,457
278,303
200,210
137,188
140,135
98,194
42,74
39,60
55,28
65,130
236,415
278,481
288,693
399,486
438,188
284,129
221,124
51,394
32,390
35,148
64,276
53,439
107,548
265,651
431,815
569,774
391,359
266,175
204,184
108,156
50,78
45,88
63,71
33,33
38,138
172,211
271,294
348,609
542,578
446,511
326,306
200,211
48,109
109,47
78,32
39,27
115,75
225,266
200,244
254,295
382,567
345,445
206,205
81,93
107,36
45,47
38,26
34,56
35,66
89,24
147,156
273,110
246,264
408,353
416,486
331,448
187,409
89,307
44,180
79,76
25,71
71,41
105,264
231,324
151,274
246,533
387,536
303,387
270,229
177,164
109,84
53,44
53,35
67,31
70,21
92,199
275,248
353,377
363,769
494,767
293,560
153,496
233,366
230,302
55,49
45,420
54,1023
145,1023
315,322
348,55
346,410
521,412
487,238
252,39
102,95
40,85
24,30
83,118
44,112
41,40
77,179
261,189
153,223
235,647
449,654
411,541
249,406
188,237
42,221
120,239
109,87
266,164
207,450
229,484
221,374
182,724
213,686
246,534
197,265
330,250
104,133
70,37
56,172
51,272
33,190
182,239
217,316
287,437
451,422
377,324
126,253
106,291
140,347
59,108
35,39
94,37
149,106
135,325
148,219
191,197
412,453
424,320
270,179
171,257
108,181
49,103
36,56
75,23
162,100
204,381
184,328
189,363
372,613
414,502
323,305
208,204
95,54
100,28
91,67
30,43
46,48
53,46
150,271
251,287
265,335
353,528
345,414
318,258
161,160
145,50
78,43
42,89
48,126
73,89
102,168
231,211
235,133
223,406
383,464
334,235
203,47
156,273
79,323
76,229
42,35
39,217
41,249
109,394
179,231
222,196
347,392
396,514
283,434
133,215
70,225
137,135
62,35
52,22
50,74
33,217
162,333
315,418
471,733
480,641
285,702
283,449
168,97
69,149
15,174
36,58
86,33
108,204
98,491
193,444
161,341
332,508
556,286
314,135
176,105
86,183
44,119
40,31
103,44
90,94
120,227
261,404
234,386
173,634
274,805
212,639
107,98
72,50
25,55
47,130
64,98
99,62
48,131
39,294
169,382
156,340
231,365
349,489
327,355
185,184
158,229
99,113
80,125
35,211
74,206
