CH1,CH2
49,46
123,109
320,340
255,317
381,551
377,460
245,260
106,180
47,107
57,51
58,50
134,169
303,272
281,268
463,487
389,445
188,211
117,158
75,97
58,69
79,43
163,249
307,332
262,320
443,482
341,358
147,187
81,112
36,57
53,46
86,87
234,297
256,297
265,435
410,452
332,345
146,195
101,121
57,49
49,49
107,79
247,318
288,361
322,544
374,447
231,265
94,214
48,97
47,28
73,44
100,115
298,296
278,304
457,547
376,437
234,241
138,162
60,108
52,25
81,49
137,193
286,291
277,345
458,513
358,400
152,178
108,170
46,67
65,40
95,77
181,263
279,285
269,355
466,493
351,322
147,194
93,132
78,88
41,26
76,99
242,321
252,308
281,493
401,441
265,253
100,136
69,112
40,36
62,54
137,105
303,268
266,296
388,559
385,477
285,241
137,183
85,127
67,59
59,72
114,176
296,286
278,294
460,550
374,421
179,207
106,137
75,104
50,49
91,46
163,221
293,222
258,311
466,520
373,410
186,182
96,153
73,100
55,45
60,117
220,277
259,291
269,397
392,472
300,299
112,163
76,82
62,62
66,56
118,112
276,313
296,258
325,560
408,480
278,278
135,164
86,114
37,65
57,46
87,146
276,295
250,290
428,557
365,505
200,225
111,154
28,100
43,42
71,73
150,182
285,285
267,269
477,526
406,438
196,223
108,102
84,84
34,30
95,36
188,290
273,302
264,364
434,476
321,367
112,154
69,104
45,58
71,26
101,112
247,298
258,282
278,461
429,489
311,302
151,177
87,94
60,76
63,48
121,103
275,342
246,313
380,555
368,457
220,268
95,177
54,125
53,33
81,37
132,153
290,278
253,290
473,512
394,470
202,233
119,156
74,103
25,49
65,71
147,263
264,331
246,320
438,485
348,370
130,195
82,131
48,68
46,45
93,59
239,288
272,273
270,398
443,434
335,341
149,222
102,127
66,56
49,56
91,88
265,313
256,318
309,508
374,454
241,249
100,204
56,102
51,59
65,32
124,139
294,299
258,312
440,562
391,451
236,262
129,164
60,102
41,46
74,53
120,177
281,285
257,336
446,501
355,388
157,181
98,143
62,95
57,55
81,30
196,208
283,279
279,341
467,486
351,343
162,209
93,142
54,69
56,42
77,90
234,298
250,289
275,501
413,438
268,275
97,155
69,90
48,54
69,45
143,101
297,278
274,287
391,556
393,472
254,267
152,204
78,148
48,52
65,67
112,155
285,287
272,296
485,542
382,416
178,197
115,142
73,95
45,49
81,54
159,242
279,263
276,310
459,521
366,404
165,208
104,156
78,96
41,52
83,77
218,275
263,282
273,388
429,475
298,308
101,158
76,83
48,64
61,54
110,109
273,314
277,272
311,543
409,496
282,281
146,188
90,97
54,55
63,62
102,138
290,311
256,303
417,538
355,439
180,223
100,156
50,88
34,41
74,63
153,184
284,299
264,295
492,527
412,402
209,178
126,148
82,105
46,34
84,41
172,247
279,255
268,315
431,480
323,319
125,158
81,110
52,70
52,60
102,105
246,294
262,283
275,495
436,484
308,328
150,201
95,124
41,82
49,42
116,116
266,311
249,303
362,548
373,460
234,213
103,176
51,127
38,50
71,50
152,148
294,297
260,301
463,566
390,456
194,242
122,165
89,126
39,64
67,49
154,241
281,293
266,337
450,506
345,379
137,148
74,130
52,67
52,37
99,81
214,282
256,289
269,395
443,509
337,357
160,217
107,127
62,75
31,42
92,82
267,303
258,253
298,512
386,453
231,296
91,208
45,107
55,53
62,25
141,166
308,311
269,296
443,556
397,466
228,256
127,154
54,127
55,60
77,55
125,168
279,280
266,311
471,507
362,404
150,187
100,139
61,89
58,15
96,60
190,259
283,278
272,323
473,485
358,362
162,209
100,142
53,90
52,50
92,94
241,288
256,269
264,447
406,441
273,289
102,166
60,87
33,59
53,39
125,86
277,278
267,278
378,549
397,482
258,283
135,187
82,142
39,28
44,65
126,157
297,306
274,299
464,517
369,414
175,196
105,141
64,89
58,51
89,55
160,225
275,276
269,322
469,518
383,404
182,223
85,151
80,82
57,19
92,69
226,267
262,281
281,387
443,448
317,304
106,163
76,83
54,41
54,47
109,117
274,324
265,304
311,540
416,467
281,262
138,185
80,96
34,46
64,62
93,109
284,299
260,271
422,530
363,454
203,235
112,166
59,101
45,48
57,83
143,180
308,285
273,299
486,539
401,444
206,225
122,140
90,116
28,20
76,54
184,269
263,283
269,317
443,490
333,353
131,172
77,109
34,58
57,53
93,117
239,294
258,272
275,453
443,479
311,324
147,203
100,119
60,78
51,57
108,110
299,318
272,308
356,545
363,464
223,245
101,167
42,124
52,54
71,36
117,151
292,298
269,303
471,547
379,484
201,264
123,151
87,110
53,38
62,72
147,243
275,281
258,308
439,486
343,383
145,176
112,129
54,56
58,17
87,78
191,291
261,283
272,378
457,492
341,387
153,205
107,127
48,77
69,40
88,84
259,340
247,329
289,558
381,485
252,282
99,177
67,78
37,22
59,46
125,124
297,311
263,294
436,563
398,488
205,263
113,174
73,115
48,58
83,51
116,199
286,294
275,306
463,498
361,408
168,193
99,129
66,78
40,11
93,61
198,261
256,274
277,312
451,488
354,395
170,211
97,134
68,92
45,59
99,81
227,292
254,282
281,440
418,440
296,312
114,173
63,76
38,55
58,55
133,89
285,301
261,280
371,563
401,486
274,272
114,167
78,140
15,52
68,45
140,143
303,304
276,312
461,513
378,419
183,186
103,137
69,102
59,56
84,46
151,215
284,272
244,321
472,515
382,417
174,224
60,148
84,88
45,49
85,77
226,290
261,293
278,379
439,458
342,339
99,178
67,85
51,25
57,43
111,108
275,320
259,282
264,506
419,445
284,276
134,177
48,109
41,71
33,39
93,77
313,293
244,288
414,535
372,443
231,232
113,161
63,110
23,52
44,63
138,174
293,273
275,302
450,552
396,459
206,230
127,147
49,121
47,54
82,66
199,271
282,286
265,325
442,486
339,359
166,173
72,113
52,50
44,39
62,112
248,303
271,294
271,468
397,456
323,333
142,225
94,130
32,65
47,28
104,106
277,310
314,279
337,567
374,483
226,267
131,168
51,103
51,54
53,37
90,132
294,304
272,303
462,533
351,475
220,255
134,152
93,118
41,34
64,54
133,221
274,287
296,310
449,497
354,381
154,184
124,132
57,70
52,22
82,63
133,278
278,292
285,382
469,502
289,359
140,200
86,126
63,65
49,50
81,76
253,296
244,291
321,518
381,441
251,259
93,185
73,105
47,62
65,40
125,102
260,309
271,317
427,566
389,437
208,251
142,192
64,132
47,61
81,78
124,163
297,272
269,293
508,522
361,409
174,192
105,141
79,98
51,35
109,61
181,253
229,286
265,310
461,500
368,393
140,216
104,146
57,87
24,51
124,117
223,295
252,280
266,414
446,442
290,316
107,175
58,84
45,63
58,53
123,104
286,304
235,302
361,555
396,482
257,289
123,206
75,134
45,50
61,54
141,158
300,300
268,291
454,529
414,439
191,215
109,146
54,87
28,30
93,60
148,207
273,289
223,315
469,529
391,421
195,205
70,125
81,127
46,61
83,57
229,277
267,300
269,383
447,469
362,349
124,153
86,85
54,44
27,37
111,104
268,312
265,284
258,477
419,464
294,297
140,200
55,92
41,56
53,34
102,110
316,330
259,294
404,536
388,430
244,273
114,170
61,105
44,46
57,78
124,168
300,293
272,304
460,492
409,443
209,228
117,144
52,80
48,59
72,51
162,259
303,329
251,321
442,480
334,369
167,175
76,111
54,45
52,47
50,57
244,301
263,268
275,395
395,387
311,325
143,184
98,121
35,42
48,48
99,99
263,312
295,292
335,537
385,444
236,244
124,210
57,90
34,42
50,46
103,109
292,305
265,293
473,528
376,430
217,241
119,150
78,123
39,35
48,61
129,233
289,270
302,349
433,512
348,375
146,163
116,167
47,65
56,21
84,50
152,230
273,265
277,328
462,477
308,374
157,223
99,150
44,79
69,37
87,90
256,320
238,318
320,514
397,450
244,282
86,170
71,116
45,52
67,55
122,104
253,265
263,301
401,550
383,473
222,216
127,173
67,134
57,63
71,70
113,191
293,294
265,296
493,535
361,386
165,169
95,137
79,146
54,48
95,50
172,228
247,234
268,322
448,527
347,408
142,182
98,155
61,91
49,69
94,103
227,279
268,281
278,430
446,510
279,317
103,181
67,86
48,64
53,42
121,109
275,312
231,258
349,556
408,471
272,275
133,151
78,114
47,63
69,28
124,183
294,300
259,290
445,510
392,480
175,200
101,136
56,99
51,32
80,64
158,188
297,279
254,275
491,515
400,426
195,194
112,147
72,99
62,18
82,59
194,302
