CH1,CH2
-25,2
-25,-14
-13,-24
1,-28
14,-29
14,-27
1,-21
-1,-8
0,0
3,2
3,-3
8,-16
23,-36
39,-51
41,-46
27,-39
5,-42
-12,-46
-21,-40
-16,-35
0,-37
13,-36
22,-18
13,8
-12,34
-27,53
-36,54
-40,55
-25,66
4,77
30,72
36,47
22,11
-3,-18
-21,-24
-32,-16
-32,-5
-18,5
2,6
22,-8
37,-34
36,-53
14,-45
-1,-11
-12,27
-10,62
5,80
19,76
29,60
31,39
22,27
2,18
-9,5
-24,-17
-34,-42
-25,-38
0,2
27,50
46,85
42,79
13,45
-10,7
-31,-30
-37,-67
-22,-92
1,-94
24,-69
40,-32
38,-28
14,-81
-7,-140
-22,-154
-20,-88
-3,21
16,118
32,180
34,186
6,151
-25,108
-43,74
-48,57
-33,50
-4,48
24,42
38,18
39,-12
25,-31
8,-35
-3,-40
-14,-45
-9,-41
5,-32
20,-31
31,-36
27,-44
8,-49
-4,-49
-16,-42
-24,-25
-18,-10
0,1
18,13
30,17
30,20
14,25
0,34
-11,28
-21,11
-13,0
10,-9
31,-18
37,-28
30,-34
9,-32
-5,-19
-18,0
-29,21
-24,45
-5,67
15,79
28,76
27,60
9,34
-4,10
-8,-7
-6,-17
0,-25
7,-51
17,-97
22,-141
10,-151
-16,-116
-33,-44
-38,40
-32,113
-17,154
4,156
26,136
39,113
30,88
9,65
-5,41
-20,15
-24,-4
-11,-8
11,-4
33,-6
45,-23
38,-50
13,-73
-9,-81
-34,-67
-46,-38
-34,-12
-7,1
19,9
41,18
42,22
21,14
5,0
-7,-13
-15,-21
-11,-22
3,-8
25,15
43,38
31,40
3,30
-13,23
-26,20
-24,16
-10,9
7,8
19,1
19,-17
3,-44
-20,-67
-28,-83
-33,-89
-26,-68
4,-19
43,29
68,47
63,45
34,42
1,53
-14,65
-26,74
-28,75
-20,64
-9,37
2,9
10,-10
7,-21
-5,-24
-15,-36
-25,-62
-28,-79
-12,-77
12,-64
37,-61
42,-67
25,-67
3,-42
-9,-7
-18,22
-17,47
-3,69
16,85
33,90
34,75
12,39
-17,7
-31,-8
-32,-1
-15,23
9,43
27,52
35,58
34,54
17,32
2,3
-7,-22
-18,-48
-15,-63
0,-63
16,-38
31,7
40,51
33,79
21,95
14,97
11,87
19,66
30,44
37,11
33,-18
12,-44
-25,-57
-53,-61
-71,-68
-73,-79
-61,-102
-39,-120
-14,-100
11,-43
20,6
7,29
