CH1,CH2
-13,10
9,19
28,23
36,18
27,4
3,-12
-14,-24
-29,-33
-33,-30
-20,-20
0,-5
18,5
28,10
17,5
-4,-1
-16,-4
-25,-4
-22,1
-7,11
12,22
30,27
39,24
30,13
5,-4
-10,-14
-24,-22
-28,-22
-16,-12
2,0
20,11
29,16
21,9
0,1
-12,-1
-20,-2
-19,1
-3,11
15,21
32,27
40,25
31,14
7,-1
-10,-10
-23,-17
-28,-17
-16,-8
2,3
20,12
30,13
22,5
-2,-6
-17,-10
-26,-12
-26,-7
-12,4
10,15
29,25
38,25
31,15
9,1
-7,-6
-18,-14
-25,-15
-13,-8
5,2
25,11
35,14
30,6
7,-4
-8,-10
-21,-13
-25,-10
-15,2
4,14
21,24
32,27
27,22
6,8
-9,0
-19,-6
-24,-10
-17,-6
1,2
20,10
35,14
32,9
11,-3
-9,-12
-21,-15
-28,-14
-19,-4
-2,10
18,22
31,28
29,24
11,11
-8,0
-19,-6
-25,-11
-17,-7
1,0
21,8
34,11
33,6
12,-6
-9,-12
-21,-14
-27,-10
-18,1
1,16
20,28
35,34
35,30
16,14
-7,0
-19,-9
-29,-16
-23,-15
-4,-6
15,0
32,5
34,2
17,-8
-4,-14
-15,-14
-21,-9
-12,3
5,19
25,33
39,39
40,35
25,19
2,5
-10,-4
-22,-12
-21,-11
-5,-6
14,1
29,6
31,3
11,-7
-13,-14
-27,-16
-37,-14
-30,-1
-11,14
11,28
30,37
34,34
20,19
-1,5
-13,-5
-22,-14
-21,-13
-5,-6
15,0
30,4
31,1
14,-10
-10,-16
-23,-19
-32,-17
-24,-4
-4,12
19,26
37,34
41,32
28,17
6,5
-4,-4
-14,-12
-14,-12
1,-6
20,1
35,7
36,5
17,-3
-7,-9
-20,-11
-30,-10
-27,0
-10,14
11,27
29,36
36,34
25,21
2,5
-9,-5
-20,-14
-23,-16
-9,-10
9,-1
25,2
30,0
18,-8
-5,-14
-18,-16
-25,-12
-21,-2
-5,12
15,27
33,35
40,35
28,23
4,6
-9,-4
-21,-13
-23,-16
-11,-10
9,-1
24,3
30,3
16,-5
-8,-12
-24,-15
-33,-13
-30,-1
-11,13
11,27
29,34
34,32
24,19
1,3
-11,-6
-22,-14
-22,-15
-8,-9
9,-1
25,5
32,4
20,-3
-4,-11
-19,-13
-29,-10
-26,1
-10,16
13,30
32,40
40,38
32,26
10,9
-4,-2
-14,-10
-17,-14
-4,-8
13,-2
29,3
35,2
23,-6
-2,-15
-18,-16
-26,-12
-24,-2
-8,14
11,27
28,36
34,35
25,22
2,6
-10,-5
-22,-15
-25,-19
-14,-15
4,-6
20,0
