CH1,CH2
408,0
311,0
103,0
77,0
152,0
154,0
69,0
136,0
137,0
217,0
319,0
163,0
74,0
104,0
155,0
353,0
187,0
168,0
388,0
243,0
406,0
211,0
388,0
667,0
172,0
147,0
239,0
379,0
350,0
186,0
227,0
128,0
203,0
345,0
400,0
369,0
132,0
522,0
1023,0
830,0
928,0
616,0
232,0
89,0
128,0
132,0
176,0
194,0
102,0
95,0
91,0
76,0
109,0
216,0
738,0
769,0
505,0
147,0
85,0
149,0
248,0
171,0
132,0
100,0
253,0
256,0
306,0
245,0
257,0
249,0
167,0
138,0
256,0
133,0
116,0
85,0
76,0
150,0
76,0
105,0
198,0
746,0
939,0
198,0
87,0
83,0
152,0
184,0
100,0
113,0
317,0
244,0
263,0
164,0
76,0
73,0
179,0
106,0
327,0
254,0
161,0
88,0
215,0
350,0
218,0
529,0
169,0
181,0
107,0
189,0
311,0
113,0
195,0
162,0
98,0
135,0
189,0
440,0
221,0
201,0
166,0
94,0
409,0
423,0
411,0
811,0
141,0
124,0
129,0
489,0
481,0
305,0
103,0
82,0
149,0
271,0
279,0
280,0
215,0
314,0
162,0
391,0
459,0
383,0
205,0
113,0
84,0
131,0
69,0
51,0
82,0
40,0
124,0
139,0
61,0
90,0
90,0
134,0
161,0
77,0
120,0
121,0
109,0
72,0
95,0
75,0
150,0
354,0
563,0
408,0
93,0
76,0
92,0
146,0
127,0
188,0
145,0
460,0
192,0
280,0
52,0
373,0
262,0
330,0
295,0
145,0
0,0
106,0
96,0
138,0
374,0
215,0
48,0
186,0
178,0
436,0
729,0
256,0
380,0
163,0
80,0
100,0
96,0
336,0
34,0
116,0
195,0
170,0
101,0
99,0
19,0
83,0
73,0
110,0
201,0
123,0
136,0
85,0
166,0
245,0
111,0
139,0
288,0
133,0
248,0
223,0
235,0
203,0
163,0
107,0
504,0
664,0
787,0
345,0
95,0
125,0
104,0
75,0
283,0
526,0
112,0
157,0
269,0
196,0
323,0
332,0
242,0
89,0
85,0
109,0
109,0
164,0
223,0
497,0
115,0
279,0
419,0
354,0
107,0
220,0
258,0
181,0
97,0
148,0
25,0
101,0
77,0
69,0
104,0
70,0
140,0
85,0
93,0
280,0
273,0
123,0
141,0
249,0
154,0
114,0
100,0
183,0
196,0
206,0
280,0
161,0
258,0
434,0
430,0
171,0
180,0
94,0
183,0
347,0
124,0
236,0
125,0
159,0
155,0
345,0
351,0
683,0
335,0
138,0
111,0
149,0
120,0
94,0
240,0
85,0
85,0
144,0
275,0
362,0
280,0
154,0
220,0
158,0
378,0
255,0
174,0
84,0
127,0
196,0
237,0
92,0
309,0
303,0
224,0
267,0
133,0
93,0
