CH1,CH2
124,0
145,0
162,0
210,0
167,0
162,0
152,0
190,0
126,0
82,0
81,0
118,0
152,0
139,0
150,0
57,0
106,0
114,0
72,0
107,0
126,0
150,0
170,0
211,0
166,0
158,0
153,0
163,0
106,0
59,0
42,0
87,0
135,0
142,0
135,0
103,0
116,0
88,0
77,0
122,0
137,0
160,0
167,0
207,0
155,0
145,0
150,0
163,0
98,0
67,0
101,0
138,0
139,0
140,0
125,0
6,0
126,0
70,0
95,0
139,0
154,0
166,0
171,0
179,0
155,0
145,0
152,0
116,0
74,0
79,0
114,0
94,0
125,0
112,0
67,0
23,0
93,0
79,0
120,0
154,0
158,0
168,0
175,0
209,0
151,0
152,0
141,0
83,0
78,0
111,0
139,0
50,0
143,0
141,0
108,0
62,0
81,0
90,0
123,0
180,0
155,0
162,0
161,0
199,0
148,0
156,0
119,0
52,0
85,0
125,0
141,0
51,0
154,0
122,0
95,0
12,0
59,0
107,0
146,0
188,0
178,0
176,0
166,0
188,0
149,0
142,0
104,0
28,0
94,0
131,0
150,0
135,0
128,0
108,0
114,0
0,0
82,0
120,0
149,0
212,0
169,0
168,0
157,0
181,0
149,0
123,0
82,0
10,0
103,0
150,0
157,0
43,0
129,0
112,0
117,0
36,0
110,0
137,0
151,0
221,0
183,0
177,0
167,0
174,0
152,0
99,0
76,0
0,0
137,0
151,0
155,0
35,0
106,0
107,0
79,0
73,0
113,0
140,0
155,0
225,0
161,0
152,0
150,0
194,0
132,0
79,0
74,0
9,0
151,0
153,0
149,0
29,0
112,0
104,0
63,0
97,0
124,0
151,0
166,0
225,0
162,0
151,0
145,0
185,0
105,0
56,0
37,0
37,0
130,0
137,0
119,0
17,0
116,0
101,0
81,0
127,0
138,0
160,0
173,0
224,0
158,0
151,0
151,0
158,0
88,0
66,0
102,0
41,0
147,0
143,0
124,0
11,0
122,0
76,0
101,0
144,0
150,0
159,0
163,0
220,0
157,0
148,0
153,0
126,0
69,0
88,0
131,0
54,0
144,0
97,0
72,0
23,0
80,0
72,0
111,0
166,0
162,0
168,0
166,0
207,0
146,0
149,0
144,0
92,0
69,0
100,0
139,0
60,0
164,0
142,0
113,0
25,0
72,0
89,0
123,0
184,0
165,0
171,0
165,0
202,0
142,0
146,0
120,0
64,0
75,0
112,0
141,0
61,0
145,0
127,0
110,0
22,0
64,0
108,0
144,0
192,0
180,0
178,0
172,0
189,0
148,0
141,0
96,0
48,0
106,0
135,0
159,0
142,0
137,0
100,0
99,0
111,0
91,0
124,0
146,0
216,0
160,0
160,0
161,0
185,0
152,0
123,0
77,0
50,0
128,0
149,0
157,0
74,0
125,0
111,0
117,0
64,0
109,0
130,0
150,0
216,0
178,0
186,0
163,0
174,0
152,0
111,0
76,0
50,0
124,0
147,0
140,0
72,0
126,0
121,0
100,0
95,0
110,0
146,0
157,0
210,0
165,0
158,0
146,0
188,0
126,0
86,0
63,0
86,0
141,0
153,0
133,0
79,0
97,0
124,0
70,0
121,0
127,0
147,0
167,0
204,0
167,0
154,0
150,0
179,0
106,0
54,0
60,0
203,0
142,0
151,0
140,0
113,0
104,0
89,0
79,0
147,0
136,0
158,0
162,0
197,0
156,0
150,0
158,0
162,0
81,0
74,0
110,0
161,0
165,0
155,0
135,0
147,0
128,0
82,0
93,0
156,0
152,0
161,0
169,0
187,0
154,0
143,0
148,0
149,0
69,0
78,0
115,0
201,0
109,0
81,0
92,0
179,0
95,0
70,0
110,0
159,0
154,0
169,0
174,0
173,0
146,0
150,0
137,0
156,0
80,0
92,0
127,0
226,0
137,0
114,0
94,0
147,0
77,0
102,0
127,0
154,0
161,0
169,0
172,0
161,0
152,0
157,0
123,0
78,0
81,0
117,0
142,0
171,0
123,0
104,0
101,0
99,0
64,0
118,0
147,0
168,0
182,0
175,0
167,0
161,0
159,0
154,0
98,0
71,0
88,0
128,0
141,0
141,0
132,0
108,0
115,0
67,0
93,0
127,0
146,0
166,0
173,0
169,0
158,0
149,0
154,0
128,0
93,0
68,0
99,0
134,0
137,0
131,0
109,0
95,0
112,0
79,0
111,0
136,0
159,0
177,0
205,0
190,0
170,0
159,0
156,0
106,0
74,0
80,0
103,0
148,0
146,0
123,0
102,0
98,0
90,0
91,0
126,0
142,0
159,0
164,0
167,0
166,0
155,0
159,0
135,0
88,0
80,0
110,0
136,0
147,0
145,0
126,0
105,0
99,0
67,0
104,0
134,0
153,0
167,0
168,0
163,0
155,0
151,0
157,0
116,0
68,0
62,0
103,0
118,0
131,0
126,0
109,0
98,0
77,0
80,0
119,0
145,0
164,0
175,0
168,0
163,0
152,0
152,0
138,0
101,0
76,0
89,0
128,0
130,0
128,0
113,0
95,0
114,0
73,0
109,0
128,0
151,0
169,0
172,0
171,0
160,0
152,0
155,0
120,0
76,0
82,0
113,0
118,0
99,0
66,0
80,0
86,0
81,0
79,0
115,0
140,0
162,0
175,0
166,0
166,0
161,0
157,0
146,0
96,0
74,0
99,0
138,0
147,0
143,0
129,0
108,0
116,0
78,0
98,0
127,0
153,0
162,0
168,0
166,0
156,0
152,0
154,0
132,0
90,0
72,0
109,0
128,0
137,0
132,0
113,0
103,0
88,0
63,0
114,0
154,0
173,0
181,0
179,0
170,0
156,0
150,0
143,0
102,0
76,0
87,0
125,0
146,0
133,0
124,0
99,0
117,0
86,0
90,0
128,0
145,0
159,0
161,0
170,0
161,0
151,0
152,0
126,0
82,0
81,0
118,0
138,0
155,0
150,0
122,0
93,0
111,0
66,0
107,0
131,0
155,0
181,0
198,0
178,0
169,0
165,0
152,0
103,0
74,0
89,0
130,0
143,0
150,0
138,0
119,0
120,0
93,0
84,0
119,0
146,0
163,0
169,0
164,0
155,0
145,0
151,0
127,0
93,0
70,0
106,0
141,0
149,0
145,0
120,0
115,0
124,0
76,0
99,0
127,0
156,0
164,0
172,0
164,0
150,0
147,0
158,0
101,0
70,0
56,0
101,0
143,0
139,0
119,0
99,0
122,0
96,0
86,0
124,0
137,0
159,0
165,0
171,0
160,0
148,0
154,0
136,0
99,0
81,0
110,0
142,0
142,0
145,0
119,0
99,0
96,0
73,0
97,0
126,0
147,0
158,0
165,0
161,0
158,0
148,0
156,0
111,0
70,0
93,0
132,0
115,0
93,0
122,0
107,0
81,0
37,0
66,0
110,0
140,0
155,0
170,0
167,0
159,0
149,0
148,0
138,0
104,0
77,0
97,0
134,0
141,0
136,0
128,0
107,0
121,0
73,0
89,0
125,0
150,0
169,0
169,0
168,0
159,0
163,0
149,0
118,0
80,0
79,0
113,0
157,0
160,0
137,0
116,0
101,0
82,0
40,0
111,0
139,0
168,0
188,0
168,0
167,0
155,0
166,0
144,0
97,0
76,0
67,0
144,0
156,0
153,0
131,0
126,0
121,0
76,0
76,0
118,0
144,0
163,0
210,0
160,0
154,0
147,0
181,0
130,0
76,0
79,0
86,0
157,0
150,0
142,0
118,0
114,0
120,0
79,0
105,0
130,0
154,0
184,0
211,0
177,0
161,0
155,0
165,0
106,0
79,0
78,0
69,0
151,0
141,0
128,0
92,0
123,0
93,0
94,0
123,0
139,0
164,0
172,0
206,0
160,0
148,0
152,0
138,0
83,0
81,0
109,0
79,0
147,0
139,0
120,0
54,0
122,0
67,0
105,0
143,0
147,0
159,0
160,0
212,0
154,0
150,0
162,0
105,0
62,0
75,0
120,0
103,0
162,0
143,0
118,0
54,0
95,0
76,0
113,0
159,0
158,0
164,0
165,0
208,0
144,0
149,0
142,0
71,0
72,0
110,0
136,0
143,0
142,0
126,0
103,0
13,0
66,0
94,0
126,0
173,0
166,0
168,0
169,0
195,0
140,0
148,0
115,0
43,0
74,0
116,0
113,0
64,0
112,0
95,0
99,0
11,0
80,0
118,0
137,0
201,0
167,0
170,0
166,0
187,0
150,0
137,0
91,0
21,0
114,0
146,0
157,0
50,0
132,0
107,0
115,0
2,0
89,0
123,0
145,0
213,0
160,0
161,0
157,0
155,0
155,0
121,0
75,0
6,0
131,0
155,0
153,0
42,0
126,0
95,0
75,0
34,0
100,0
138,0
160,0
