CH1,CH2
13,6
9,5
6,6
5,7
8,8
10,9
12,10
10,10
5,10
0,8
2,6
2,3
13,2
21,0
19,1
9,6
4,8
16,10
19,8
15,3
6,2
0,8
1,11
3,12
4,13
6,14
7,13
3,9
6,4
17,2
21,4
17,6
6,6
4,2
12,1
14,4
16,3
20,2
24,1
24,1
18,0
7,2
0,6
3,9
0,11
7,10
14,8
17,6
9,1
5,3
18,9
24,14
21,16
11,15
1,13
8,5
16,2
21,12
19,18
13,19
5,17
1,13
2,9
5,3
8,1
7,4
1,2
3,2
7,9
8,13
6,13
6,9
9,3
12,3
10,8
6,12
4,9
4,2
2,8
5,15
11,19
10,18
0,12
10,3
14,2
10,5
3,5
3,3
6,1
9,0
9,1
8,3
6,4
2,4
5,2
14,0
20,1
24,7
29,15
32,16
28,11
19,1
4,7
12,11
27,9
33,3
28,3
14,9
2,10
2,8
3,5
2,7
4,8
6,9
7,7
8,3
7,0
5,2
3,0
5,1
11,2
16,1
18,0
13,3
6,5
1,6
6,9
8,10
2,6
8,2
19,13
24,22
23,27
12,25
1,17
12,10
16,4
14,0
8,2
5,5
7,8
10,8
8,5
2,0
5,3
12,4
17,7
18,9
17,11
15,9
11,7
7,5
5,4
3,1
0,0
4,2
6,4
7,3
4,2
1,2
0,2
2,1
3,0
0,0
8,1
13,3
7,5
8,8
20,10
25,13
25,14
20,14
12,13
6,11
2,8
1,8
3,7
5,7
6,4
4,1
0,2
4,4
8,5
10,5
10,6
7,7
2,8
6,6
14,3
15,0
9,2
1,4
4,5
3,3
0,1
4,0
8,7
10,15
6,21
2,21
4,14
12,5
18,0
15,4
7,5
0,4
3,4
4,4
4,1
2,2
0,5
2,6
3,4
1,4
7,4
14,6
18,6
19,6
13,6
6,4
3,3
12,2
20,2
25,1
23,0
15,0
6,2
0,2
0,1
0,0
2,0
2,0
2,0
4,0
4,1
2,3
2,2
7,2
8,4
4,5
2,6
9,6
15,6
17,6
16,7
10,7
4,6
3,4
7,2
12,0
14,0
11,1
9,1
9,1
13,3
12,5
6,6
2,8
8,11
9,12
5,12
1,9
3,7
7,4
12,4
13,3
11,1
9,0
6,2
3,4
1,4
8,4
14,5
15,5
11,5
8,2
10,0
11,2
8,1
0,0
8,0
11,1
8,4
0,5
11,4
21,3
24,4
16,7
1,9
10,10
12,9
8,5
2,1
2,0
7,2
12,2
18,1
16,1
7,4
1,7
1,8
4,8
6,9
7,10
7,10
6,9
4,7
3,5
5,2
9,0
10,1
9,0
6,1
2,1
3,3
12,4
19,3
22,2
20,0
12,4
2,6
6,7
11,9
11,8
8,5
4,2
0,1
3,2
2,5
2,7
10,7
14,5
13,3
4,0
4,1
8,1
5,1
1,1
7,0
14,3
20,7
24,10
22,13
17,14
13,12
11,7
8,4
0,4
8,8
12,11
11,12
6,9
2,4
2,0
4,2
6,4
7,5
7,5
4,6
1,7
1,9
6,11
8,13
2,11
7,6
18,1
23,5
19,6
17,6
21,6
28,8
29,10
20,11
8,13
0,12
3,9
3,4
4,0
5,1
7,3
9,4
8,4
5,1
2,3
0,7
0,9
2,9
6,6
11,2
12,0
1,4
16,10
28,18
23,23
6,22
5,16
5,8
0,1
4,6
3,5
2,0
1,5
2,6
3,2
4,3
5,9
8,13
10,14
8,11
5,7
1,3
2,1
5,0
8,2
8,5
7,10
5,14
4,14
3,12
4,9
4,5
5,2
6,1
3,2
2,5
7,8
10,11
13,11
15,8
16,3
12,3
7,7
1,6
4,5
10,4
12,6
13,6
11,4
10,0
12,8
19,15
28,18
32,17
25,12
10,6
5,3
17,1
20,0
16,2
10,3
6,1
5,2
2,5
1,6
5,7
8,7
10,7
10,5
9,3
9,2
12,3
16,4
24,6
27,6
20,4
4,2
14,1
27,0
31,1
27,5
17,9
6,11
1,10
8,3
10,3
7,9
2,11
0,11
1,7
4,1
8,3
11,4
12,4
11,1
8,1
2,0
4,0
5,2
0,6
6,10
14,14
22,15
23,14
17,11
6,7
1,4
3,1
0,1
4,1
10,1
15,0
19,0
18,4
12,10
1,15
7,18
11,14
10,8
8,1
8,4
8,6
8,6
8,4
8,2
8,1
6,4
3,5
2,5
8,1
9,1
8,5
4,5
0,4
0,0
2,5
7,9
10,9
11,7
8,3
4,0
0,0
0,1
2,2
4,4
4,4
4,4
5,6
6,10
9,14
6,13
1,9
9,5
12,2
6,0
4,1
16,3
26,5
30,7
29,7
21,5
10,2
0,1
7,3
11,6
12,7
13,10
13,12
9,13
0,11
11,5
18,0
15,4
6,5
4,4
11,4
13,4
10,3
5,0
2,3
8,8
11,14
11,17
10,15
9,9
9,3
10,0
9,1
6,5
2,9
2,9
6,8
7,4
7,0
4,1
2,0
4,2
3,5
1,3
10,0
20,4
25,8
24,9
20,6
17,0
12,4
7,6
1,6
4,6
8,4
9,3
9,1
9,1
8,0
7,0
5,2
3,5
1,9
8,11
14,9
16,6
15,5
11,2
9,1
9,0
6,2
1,2
4,2
7,2
8,3
7,2
5,3
1,10
0,17
1,19
1,17
2,13
2,9
0,5
0,4
0,3
0,0
1,2
4,6
7,8
9,9
9,7
7,4
6,0
8,4
12,8
19,10
20,10
14,8
3,6
5,3
7,2
3,2
0,3
0,3
2,4
5,4
4,6
0,6
6,4
8,1
6,2
3,5
0,6
0,4
4,2
9,1
11,2
6,2
0,2
4,1
1,7
4,14
9,18
8,19
2,18
1,17
3,15
2,9
1,3
6,2
11,6
14,7
15,5
11,2
4,0
1,1
2,1
4,0
3,1
1,3
5,4
3,6
1,5
1,3
2,0
3,3
4,7
4,10
5,11
5,10
