CH1,CH2
16,6
14,5
10,12
4,9
0,8
1,12
1,16
4,15
9,7
14,3
18,12
16,14
11,7
2,10
6,25
13,29
15,19
8,2
0,10
4,13
6,10
3,6
0,5
2,6
4,8
5,9
6,10
5,7
3,0
4,6
10,11
17,12
23,10
24,9
20,7
13,4
7,1
2,2
1,5
7,9
13,11
15,11
16,13
16,13
14,12
5,8
6,5
17,0
21,4
20,8
18,4
16,6
13,17
10,20
6,16
5,11
6,8
9,5
18,2
27,0
27,0
14,0
6,1
23,2
28,5
25,11
22,21
19,32
15,38
8,32
2,18
0,4
1,6
0,16
1,20
3,21
1,16
3,8
8,1
9,1
5,10
4,25
11,39
17,44
16,38
15,24
12,7
6,4
1,8
2,8
1,6
5,4
14,4
22,1
25,1
23,4
18,7
12,7
9,5
10,0
9,4
4,7
6,9
14,7
17,3
12,3
3,8
3,8
5,0
4,6
1,8
1,6
2,3
2,0
2,7
1,13
1,17
4,14
4,8
3,1
3,0
4,1
6,0
8,1
11,3
12,2
12,2
9,5
5,4
3,2
1,0
1,0
4,0
7,0
4,0
1,0
3,1
8,1
15,5
20,10
21,14
16,20
5,28
4,31
10,26
10,14
6,4
0,0
4,5
7,10
7,13
3,11
0,5
0,0
0,2
0,4
5,2
11,3
13,8
10,13
6,13
0,8
7,1
11,6
13,15
12,21
10,19
7,11
6,1
8,9
9,13
7,16
2,17
1,15
4,10
6,1
5,5
6,7
8,3
9,2
8,5
4,4
2,0
10,1
17,0
22,5
22,12
19,18
13,21
8,21
7,17
10,9
13,1
12,13
6,20
1,23
10,23
13,19
10,13
4,4
0,5
2,15
4,24
7,30
9,33
9,27
8,16
5,5
4,3
5,7
8,5
12,3
15,12
12,20
6,22
3,18
11,12
15,7
13,2
8,2
2,6
1,9
4,8
7,11
13,13
20,14
22,17
17,20
8,18
1,13
9,5
16,2
19,1
20,7
16,16
8,22
4,19
3,10
2,0
0,3
3,4
5,3
6,1
7,5
10,10
15,14
20,20
22,24
19,25
11,24
1,19
1,13
5,9
15,7
18,6
12,4
1,1
8,9
12,16
12,21
8,20
2,14
4,10
11,8
15,8
16,2
14,7
11,17
7,22
2,21
1,16
3,12
4,9
6,5
6,0
5,9
2,15
0,15
5,8
7,0
7,7
5,8
2,8
0,7
0,7
2,6
4,6
4,2
4,0
4,3
2,3
1,1
1,3
4,3
9,2
13,5
12,12
8,17
3,16
2,12
7,8
9,4
8,1
6,0
4,2
2,8
1,16
7,22
9,22
6,19
2,13
1,9
5,3
11,3
13,13
14,23
13,30
12,30
10,26
7,17
1,6
4,0
9,1
11,0
10,0
7,7
4,16
2,22
0,22
0,15
2,7
4,1
7,6
7,8
6,7
5,3
7,1
12,8
15,15
15,22
11,25
10,26
14,23
17,15
14,4
7,6
0,10
4,7
8,5
14,9
22,16
27,20
22,14
9,0
6,14
16,21
21,19
21,13
17,9
11,10
4,12
1,12
3,9
1,5
3,2
10,11
13,17
11,19
6,17
0,11
3,1
2,9
0,18
3,22
7,21
13,16
15,10
13,4
5,0
1,3
7,6
9,6
8,6
6,0
6,7
4,13
2,17
1,20
0,21
0,19
0,10
3,2
3,14
0,22
6,26
11,23
14,13
17,0
17,14
15,24
12,25
9,19
6,9
2,2
0,9
0,11
3,7
8,3
14,1
15,3
13,4
5,5
6,6
16,6
21,5
18,5
10,8
0,12
9,16
16,18
17,16
14,10
7,1
0,9
4,18
4,23
3,23
1,17
1,10
3,4
4,1
4,9
2,15
3,19
3,20
3,17
5,14
7,12
10,10
10,6
9,1
5,8
1,6
5,4
9,16
10,24
7,25
1,24
5,19
11,14
18,6
16,2
9,14
4,23
2,27
5,27
5,24
4,19
2,11
5,1
13,14
21,24
21,29
12,27
3,19
3,7
11,4
15,12
18,18
17,17
11,10
4,4
3,2
10,11
13,23
14,35
14,44
13,46
9,39
5,26
1,8
1,9
5,25
9,37
13,45
14,45
15,36
12,23
5,9
2,0
8,7
11,12
13,17
17,20
19,24
17,23
13,17
10,11
9,11
11,19
10,26
5,28
2,22
6,11
7,0
3,9
0,15
1,18
0,18
0,15
0,9
2,4
6,3
10,6
10,6
8,5
3,1
0,1
1,6
1,12
3,17
5,20
2,17
0,11
4,5
6,0
6,2
3,2
0,1
6,7
9,13
11,15
8,13
5,7
3,0
4,9
7,15
10,15
12,8
14,0
14,4
10,4
4,2
0,0
3,0
1,6
1,15
6,23
11,29
17,28
17,23
12,15
4,7
3,1
9,0
17,0
27,3
32,6
28,9
12,11
2,13
13,14
16,14
15,12
12,8
9,3
6,1
6,6
8,10
10,13
9,12
3,5
0,2
2,5
0,7
0,5
1,1
2,4
1,10
4,16
10,20
13,21
10,15
6,5
2,3
1,5
3,3
4,1
3,5
3,7
6,7
7,6
4,4
2,5
9,7
9,7
3,5
3,4
8,2
10,1
9,5
7,7
7,5
7,2
8,2
11,4
13,5
14,4
14,1
13,7
10,9
4,8
4,8
12,13
16,21
18,26
15,22
8,13
0,4
10,1
18,4
20,7
17,9
12,7
6,5
3,2
12,1
18,0
17,3
10,11
1,16
5,15
6,8
5,1
0,11
1,16
0,17
4,15
9,10
16,3
19,0
15,0
5,2
6,9
10,17
6,23
2,26
8,25
11,22
11,14
11,6
10,1
7,9
3,14
1,13
0,8
1,1
1,3
0,6
1,6
1,9
4,12
6,13
8,13
8,11
6,7
3,5
2,4
2,4
4,5
9,9
12,11
10,7
4,0
4,8
9,12
7,13
3,12
0,9
1,8
6,5
11,0
12,6
8,11
0,13
10,11
16,7
17,4
15,3
13,4
12,7
13,9
15,9
15,5
12,3
6,10
1,14
0,13
3,8
5,3
3,0
2,3
9,7
15,10
16,13
12,14
4,13
3,14
8,12
9,10
7,9
7,10
8,12
8,11
4,4
0,4
5,11
9,15
9,13
6,6
0,3
6,12
10,17
11,18
6,15
0,8
3,1
3,1
2,0
11,3
20,1
23,1
21,5
13,3
5,3
1,7
7,6
10,0
12,5
13,10
