CH1,CH2
1,26
4,24
5,17
3,7
0,3
2,12
2,20
3,22
6,14
6,4
2,17
4,21
9,20
8,15
2,3
4,12
10,21
14,19
15,11
13,2
7,1
2,1
3,0
5,2
4,3
2,5
1,6
3,5
6,3
8,0
10,1
11,0
12,4
13,7
12,7
8,6
2,10
3,18
5,25
3,29
0,28
1,21
0,8
0,5
2,18
3,26
2,24
0,13
2,4
3,23
1,34
2,29
7,10
12,11
18,24
21,26
14,19
3,9
22,3
34,3
36,10
31,15
22,15
14,11
6,6
0,0
2,6
2,16
0,26
1,29
2,25
1,17
2,13
3,16
3,20
4,22
3,17
5,10
4,4
2,3
0,13
3,18
4,13
4,1
5,7
5,8
3,0
0,15
4,29
10,36
13,32
12,18
7,1
2,15
4,31
9,38
11,36
6,28
3,18
14,13
18,14
18,20
18,27
16,28
12,21
6,8
0,6
2,20
2,28
2,34
2,36
1,31
1,23
1,11
3,1
5,6
5,9
5,10
5,10
5,13
4,15
2,15
0,17
0,21
1,25
1,23
1,13
1,2
1,17
0,24
2,21
5,9
4,5
1,16
1,19
0,16
4,11
6,5
4,3
0,10
0,15
3,16
9,13
11,7
10,0
8,14
6,29
6,37
7,35
7,24
7,12
5,2
2,5
1,10
2,11
1,9
1,6
4,6
6,9
9,10
10,4
7,5
1,18
4,27
6,25
7,16
5,6
4,1
2,4
2,10
0,14
2,14
4,11
3,7
0,0
2,12
1,22
2,22
5,15
7,8
7,6
7,4
9,0
12,7
13,9
11,4
6,5
3,14
2,16
3,10
7,3
10,17
10,25
9,25
9,19
7,11
3,3
1,1
7,1
11,2
11,11
7,18
3,16
0,5
0,8
0,19
0,23
0,19
0,8
2,9
0,24
0,33
0,34
2,25
4,13
5,5
4,2
4,1
5,8
8,12
11,14
12,13
12,8
12,1
13,3
12,3
8,0
4,2
0,0
4,5
3,8
1,8
3,8
4,7
2,8
0,9
3,10
4,11
3,12
1,13
0,11
2,6
1,0
0,3
0,5
0,5
2,3
6,2
10,3
10,1
8,12
3,23
1,29
2,28
4,21
6,9
7,4
6,13
6,16
5,12
5,8
6,4
5,2
1,0
2,0
4,0
2,3
3,6
5,8
6,7
1,5
3,6
7,8
7,9
