CH1,CH2
7,65
8,63
8,36
7,9
6,1
5,4
4,1
3,12
2,12
3,0
4,12
3,2
3,35
3,81
3,106
3,102
3,74
2,35
2,1
2,33
2,54
1,56
1,36
0,2
0,24
1,31
2,19
3,9
4,12
3,17
2,7
2,13
1,29
1,30
0,18
0,4
0,5
1,6
2,6
4,25
6,32
6,13
6,20
3,48
1,55
1,41
0,17
0,0
0,3
1,0
1,1
0,5
3,15
7,22
10,16
11,0
10,17
6,19
1,4
0,14
1,29
0,29
2,13
4,12
6,41
7,59
7,60
8,54
8,46
7,31
5,2
3,28
1,39
0,19
0,20
0,57
0,58
0,16
0,48
0,95
1,99
1,69
1,32
2,12
1,12
1,19
1,13
0,16
1,55
1,69
2,40
2,21
3,82
3,116
4,114
5,86
6,47
7,5
6,39
6,86
5,134
4,165
3,168
1,148
0,113
2,65
3,6
2,50
2,93
0,104
2,81
3,41
5,6
7,10
8,15
7,12
6,3
6,11
7,24
7,24
7,4
5,30
3,62
3,71
2,44
2,10
3,68
4,102
4,101
5,72
5,33
3,7
1,44
2,72
6,92
6,108
5,114
2,109
0,94
2,68
3,29
5,14
7,55
9,81
10,87
10,80
8,69
6,58
4,46
3,29
2,11
1,1
0,4
0,20
0,39
0,44
2,25
4,5
6,23
6,19
5,8
4,11
2,31
1,52
0,58
0,51
2,44
2,48
2,63
0,81
2,80
5,43
8,22
10,82
11,97
11,62
10,9
8,29
4,37
0,22
2,1
4,9
6,8
6,2
5,5
2,20
1,36
4,41
7,34
9,18
9,0
7,6
5,1
3,5
1,1
1,11
2,21
2,25
3,32
3,45
2,56
3,57
4,45
6,23
6,2
5,25
4,42
4,52
2,54
2,45
2,28
2,10
2,0
1,5
1,17
2,40
4,63
5,70
6,57
7,37
7,23
5,23
4,30
1,33
1,31
4,25
6,10
9,16
10,45
7,62
3,63
1,60
7,65
10,72
12,68
13,44
12,4
10,36
8,60
6,62
3,47
3,28
4,16
2,22
1,38
1,43
2,21
5,20
6,55
7,65
7,45
6,2
5,42
2,63
0,51
0,19
1,14
3,32
5,34
4,26
2,19
0,10
2,0
5,6
6,4
5,1
3,5
2,2
2,10
3,32
3,60
3,83
2,89
1,75
1,45
0,6
1,32
2,61
4,72
6,67
6,55
6,35
5,2
6,41
5,72
5,61
5,11
2,44
1,80
0,80
0,45
0,15
1,75
0,107
0,96
1,50
2,8
3,51
3,63
2,46
1,13
0,17
0,39
1,44
1,35
1,18
1,1
2,11
3,19
4,29
6,44
7,55
6,53
6,38
5,16
2,5
2,21
1,30
1,32
1,32
0,35
2,41
3,40
4,20
5,10
6,28
5,16
7,19
7,54
7,70
5,71
2,71
1,64
3,36
1,14
1,67
4,101
6,111
6,100
5,74
6,40
7,6
8,26
7,51
6,62
3,59
2,54
1,54
0,51
1,29
2,13
3,48
1,54
1,28
0,3
1,22
2,28
2,27
2,24
1,19
0,10
0,1
0,4
0,8
0,20
1,42
2,67
2,77
4,53
5,0
6,54
7,75
6,60
5,27
2,3
1,23
0,26
1,11
1,17
1,44
0,59
1,52
3,26
6,10
8,44
10,65
10,67
10,51
7,21
5,13
1,37
0,54
2,73
3,81
2,58
1,3
1,57
3,94
4,100
5,83
6,53
5,21
6,10
6,38
6,58
4,67
3,75
0,88
3,102
6,100
9,73
7,31
1,6
5,24
12,26
14,23
14,24
13,30
9,31
6,20
4,0
3,11
3,3
4,14
3,24
2,22
1,16
1,16
2,17
4,15
5,10
6,10
7,17
5,26
2,33
1,34
3,28
4,15
4,0
3,9
2,11
0,13
2,26
4,51
7,67
8,57
9,18
9,25
8,50
6,47
4,24
3,5
2,29
1,41
1,52
2,67
3,75
2,68
0,48
2,29
3,19
4,15
4,1
4,23
5,49
5,63
6,58
5,33
4,12
1,67
0,104
0,100
1,64
2,26
2,6
2,2
1,15
0,39
0,72
2,97
4,103
6,91
6,72
4,54
4,46
3,45
4,37
5,18
5,8
7,32
8,51
9,56
8,54
8,56
7,67
4,87
1,99
0,85
1,44
2,4
3,41
3,61
3,62
3,46
2,20
0,2
2,0
6,6
8,8
9,3
8,5
6,18
3,33
1,46
1,42
0,17
0,16
2,34
2,23
2,7
2,39
2,49
2,32
2,6
3,13
5,19
5,21
5,28
4,39
3,46
1,51
0,51
0,43
0,28
1,10
1,6
3,25
5,43
6,58
8,68
7,68
6,64
4,65
2,81
0,101
1,109
2,95
3,67
1,28
0,25
3,90
4,149
5,181
4,177
4,139
5,79
6,13
8,33
9,53
8,46
7,27
5,6
3,6
1,2
1,17
2,42
3,54
5,45
5,24
4,7
4,5
3,12
2,16
0,15
1,17
1,23
0,20
0,0
1,28
1,46
1,45
2,29
3,9
5,13
6,40
7,62
7,66
7,51
6,23
3,4
1,20
0,25
0,21
0,13
1,5
3,3
6,15
7,23
8,25
7,21
5,14
3,0
0,20
1,35
2,36
3,24
4,3
4,11
4,14
3,4
2,12
1,32
1,45
0,40
2,16
6,13
10,36
10,46
8,49
6,56
5,65
4,67
5,54
5,28
5,2
5,31
5,48
6,50
6,34
7,10
7,0
7,10
6,33
4,50
4,54
2,44
1,26
1,10
1,4
1,7
2,19
2,29
3,27
3,10
1,15
1,39
1,54
1,59
1,56
0,53
0,55
0,67
0,79
1,84
1,73
2,47
4,16
5,4
6,14
6,16
7,14
6,8
4,1
2,0
0,6
0,19
1,32
2,39
1,41
0,41
1,33
2,8
4,19
5,32
6,24
6,7
5,3
5,7
4,8
2,12
2,12
1,4
1,2
1,0
1,10
1,19
0,18
0,10
0,0
0,0
2,10
4,24
7,29
7,16
6,8
3,35
0,46
2,42
3,29
0,20
3,18
7,19
10,12
11,3
11,22
10,36
10,41
8,39
7,29
5,11
4,13
3,42
2,66
2,70
1,47
1,12
2,17
4,30
4,33
5,27
4,13
3,5
0,18
0,23
0,23
1,31
2,48
3,68
4,81
4,76
3,50
2,4
0,36
2,43
4,24
7,12
9,31
10,67
8,89
6,73
3,24
0,26
1,48
1,32
0,6
2,46
4,70
5,71
6,55
5,29
6,2
6,24
7,50
6,71
4,88
2,92
0,85
0,61
1,26
1,4
1,19
0,21
1,16
3,8
4,2
4,16
3,33
3,46
5,46
6,29
7,8
