CH1,CH2
16,67
28,58
40,53
44,58
36,70
18,86
3,95
6,90
12,70
18,34
22,10
20,53
12,86
0,104
11,106
18,87
13,52
6,19
27,0
34,6
26,5
13,2
2,19
1,34
2,40
6,30
14,7
21,23
18,48
7,56
8,44
16,19
13,1
2,6
6,0
7,2
1,9
6,29
4,40
22,33
29,17
20,6
6,4
4,2
9,19
10,32
19,17
37,27
54,81
61,116
56,112
44,70
29,12
17,34
8,62
2,74
1,77
5,75
7,79
9,90
12,99
18,91
24,53
27,7
31,67
32,100
30,96
26,65
16,32
6,17
36,24
58,42
60,49
49,36
35,2
20,38
4,70
7,83
15,80
18,71
16,55
15,39
18,30
22,35
21,58
15,91
7,119
1,124
7,100
16,44
23,30
21,104
11,155
1,172
0,156
12,119
26,75
27,39
14,13
6,2
25,8
35,0
34,9
31,7
26,13
14,45
4,73
20,78
25,52
19,8
10,26
7,30
8,10
10,6
9,0
10,22
9,42
11,45
21,31
31,8
34,17
30,36
24,37
15,19
7,0
0,5
8,9
17,31
24,50
26,56
22,53
17,52
8,56
3,62
16,60
27,44
33,21
33,4
27,1
13,0
8,11
25,35
31,57
29,68
25,72
18,64
10,45
1,24
12,10
21,12
25,24
25,32
20,26
7,5
10,21
26,45
31,60
24,67
9,70
8,61
26,36
36,0
36,38
30,71
21,91
12,86
6,56
5,13
7,25
8,55
1,70
10,68
19,56
23,40
24,24
24,10
22,0
15,9
1,10
19,5
32,0
32,7
20,17
3,33
11,49
15,58
5,47
9,10
20,35
22,61
19,57
12,41
6,30
3,26
6,22
10,17
11,12
4,5
4,10
4,32
9,51
22,54
23,41
14,21
1,6
14,8
33,28
42,60
37,87
21,84
8,36
4,40
3,106
1,134
7,122
12,87
18,46
29,10
34,20
25,48
14,68
15,72
22,54
26,24
22,4
10,17
3,6
15,17
19,33
17,21
14,18
13,67
9,100
5,102
3,71
0,19
6,31
16,59
25,58
27,39
23,20
15,6
8,3
3,3
0,6
4,22
3,42
1,62
2,85
1,114
14,146
31,165
45,153
44,96
22,9
9,76
37,127
49,137
43,122
20,107
8,101
29,104
32,108
19,111
0,110
17,93
27,59
29,16
21,20
5,47
2,68
2,88
16,96
24,86
20,63
9,41
8,35
23,48
36,70
29,81
6,72
15,47
26,19
25,1
19,13
11,16
5,19
0,27
2,26
0,9
3,19
0,45
5,61
10,65
8,54
0,28
9,8
15,45
14,70
5,83
8,86
22,77
28,61
27,48
20,43
10,41
2,34
3,18
8,3
14,27
17,43
17,45
11,37
6,26
4,18
4,16
6,19
8,22
16,27
24,32
15,34
17,32
53,24
69,12
58,6
37,13
18,35
7,60
4,75
6,72
9,58
8,41
4,17
1,18
3,65
3,116
2,153
3,159
9,131
12,86
12,53
8,41
6,33
12,12
23,18
26,46
17,51
4,41
30,37
50,51
52,75
36,92
10,94
11,88
19,80
19,69
26,58
40,49
50,47
47,42
30,23
4,17
23,72
43,122
50,150
46,147
40,121
34,83
31,38
23,4
6,39
15,56
36,50
49,28
45,7
19,2
14,12
32,28
29,48
17,72
10,94
11,103
13,90
12,59
8,25
2,0
4,15
6,25
2,37
6,56
16,74
21,84
22,72
17,31
5,25
4,74
6,99
4,96
7,69
14,31
17,5
9,2
0,14
2,20
4,3
14,63
22,133
25,178
22,176
6,133
18,74
38,16
44,29
41,59
35,74
29,77
16,68
3,51
27,36
41,33
31,44
4,67
16,90
20,100
16,90
18,67
26,31
29,16
22,75
8,132
4,170
11,181
14,162
15,109
15,27
12,62
1,135
15,167
28,155
27,108
13,53
4,13
21,2
31,3
32,0
26,8
12,11
1,1
13,26
20,40
20,22
14,22
6,61
0,67
0,42
7,3
19,34
29,59
35,63
32,50
20,33
4,13
1,9
4,25
11,22
10,4
0,49
16,90
23,102
18,80
5,35
6,11
8,42
0,49
17,35
32,9
35,8
26,4
10,16
4,44
16,69
24,86
26,93
20,88
11,71
5,51
2,29
0,9
2,8
14,23
24,34
22,39
1,30
20,5
25,26
13,52
5,57
20,33
28,18
25,78
15,119
3,123
9,97
16,53
15,8
6,31
3,57
13,67
18,66
17,62
14,58
13,45
15,17
20,27
19,76
10,108
3,110
16,80
24,33
25,17
19,66
11,102
0,107
10,75
11,25
6,10
3,16
4,0
8,19
6,29
0,32
4,31
7,28
11,27
17,28
18,37
4,40
23,26
51,3
66,39
61,65
38,85
10,98
9,107
20,104
24,80
23,33
20,29
13,90
4,122
5,106
15,51
21,11
20,53
12,64
2,52
3,30
6,8
8,9
10,24
14,39
19,56
21,72
17,82
8,85
2,74
9,47
12,13
10,10
7,18
10,16
19,16
27,19
25,20
18,13
17,0
15,15
0,29
23,34
38,21
31,5
11,32
9,44
19,39
15,33
2,36
8,55
12,74
6,79
1,60
7,31
10,9
6,5
2,9
10,14
7,13
9,6
28,9
41,33
43,59
37,73
30,79
22,90
15,107
6,115
2,104
10,80
16,54
16,27
8,0
2,23
11,40
11,58
8,76
4,88
1,88
7,68
8,34
2,4
3,28
0,34
10,29
17,24
12,23
4,25
2,27
7,31
11,39
14,45
12,43
3,35
10,22
19,4
20,22
13,51
5,77
3,94
6,103
3,104
3,94
9,69
12,30
9,15
6,56
5,83
5,92
4,90
4,84
5,79
1,77
4,73
9,64
6,49
2,25
8,8
8,44
7,64
7,59
12,40
17,27
16,31
8,36
2,20
1,15
2,54
0,76
1,69
3,37
9,5
9,48
1,86
7,116
9,131
0,125
9,104
13,79
10,54
4,25
0,13
3,60
6,100
0,122
10,125
7,110
10,82
26,43
29,5
21,53
10,78
0,72
7,38
8,6
4,52
0,90
0,118
1,128
1,116
0,85
0,45
1,6
0,22
4,39
3,50
3,56
10,50
10,29
6,4
4,38
3,59
1,65
3,57
10,39
16,17
18,6
17,36
12,81
4,133
3,170
8,173
10,144
8,94
2,38
2,12
3,44
0,60
5,66
6,63
5,58
9,55
20,58
33,62
40,52
38,27
28,1
15,11
3,7
3,4
7,15
8,22
12,31
14,39
13,42
7,30
0,1
7,33
7,57
4,60
5,38
10,0
14,40
10,62
3,58
7,34
19,3
30,17
33,14
26,14
11,52
1,69
14,50
29,0
40,58
44,109
41,139
40,137
35,97
24,32
7,33
8,81
20,100
27,98
32,85
32,69
26,44
12,13
3,14
19,28
31,32
36,39
27,48
8,50
17,45
40,41
51,41
45,40
27,33
6,22
6,3
14,23
16,59
12,92
9,107
10,101
16,78
24,45
30,13
32,11
30,26
22,28
11,17
1,1
0,11
1,21
8,27
16,19
19,7
15,44
8,75
0,89
7,84
15,68
24,48
35,25
42,9
40,61
27,118
8,152
0,151
0,117
5,67
21,18
36,15
40,32
33,40
21,46
10,52
3,55
0,62
2,71
6,77
12,68
21,41
31,0
33,42
25,77
11,97
2,99
12,83
14,57
6,32
6,9
15,3
13,9
0,8
19,13
37,31
42,56
31,72
13,72
0,61
5,47
4,33
3,25
3,24
0,30
12,34
27,22
36,9
32,53
12,97
11,126
26,136
28,124
20,90
18,44
26,1
34,34
38,53
36,56
32,44
28,25
26,15
23,19
18,28
11,29
4,15
0,7
3,27
3,39
3,42
4,38
9,34
16,29
21,25
25,18
25,1
20,29
11,64
0,84
7,79
12,52
12,18
7,13
2,35
0,46
0,45
3,36
12,23
16,15
5,22
13,40
22,59
16,67
0,60
12,44
16,22
13,5
9,45
8,85
5,109
0,110
3,88
3,52
14,19
38,4
59,19
56,32
36,44
15,46
3,32
0,9
0,12
0,23
0,22
1,14
4,6
7,0
10,8
8,28
3,58
5,90
13,106
19,98
21,69
19,35
10,9
2,9
12,25
15,41
14,48
11,38
6,16
9,7
30,22
40,28
31,35
11,54
10,82
29,98
44,83
54,35
54,33
49,103
38,160
24,189
12,192
2,177
7,151
14,121
20,97
25,84
29,81
28,76
27,53
28,7
27,56
22,124
14,183
1,224
9,231
19,201
24,148
22,100
14,70
4,58
3,54
5,48
2,35
0,18
1,2
5,9
5,19
0,26
8,28
17,25
21,19
20,15
14,18
8,27
1,34
4,31
5,26
1,27
5,38
3,47
6,43
13,28
12,10
3,2
10,10
