CH1,CH2
12,11
23,21
31,30
26,33
9,33
9,30
23,21
31,6
35,8
38,15
42,14
44,16
38,26
21,38
4,45
10,39
19,27
22,16
20,11
15,10
12,7
10,0
6,11
4,18
14,16
17,4
4,7
15,19
34,30
40,34
33,27
17,11
0,7
11,21
18,28
21,31
25,30
29,25
31,16
28,5
23,5
17,13
11,19
5,24
0,21
11,10
27,1
38,0
37,1
27,3
11,1
5,7
20,25
30,43
34,50
32,43
27,23
19,0
9,23
0,40
4,50
3,55
0,52
1,42
2,24
0,6
0,9
2,19
9,23
19,24
30,21
34,15
32,5
23,4
9,10
5,11
17,8
26,1
29,10
25,22
20,28
16,21
15,3
18,16
24,28
26,28
12,16
7,4
18,2
18,14
16,34
16,48
13,44
7,20
2,7
2,20
5,15
5,7
2,5
4,5
13,2
21,4
27,15
30,25
28,35
25,40
22,43
20,43
18,37
15,23
13,0
8,27
2,51
3,63
5,65
7,56
13,41
23,22
31,0
32,22
26,37
16,33
8,13
1,10
4,27
9,30
11,22
11,4
13,12
18,20
23,17
22,8
15,3
3,9
9,25
23,41
28,45
29,31
31,8
36,11
35,18
19,12
3,0
25,10
41,16
50,11
55,5
54,22
45,28
27,16
7,5
10,23
21,31
23,27
14,18
5,9
25,2
36,1
35,4
32,6
30,6
24,4
12,0
1,2
13,3
19,1
26,0
32,0
35,0
30,1
25,2
19,6
10,15
2,25
17,28
30,24
38,9
40,12
31,29
12,35
10,30
26,22
27,20
15,26
1,30
14,23
21,6
24,14
23,31
21,41
16,46
10,45
0,45
11,45
23,43
25,38
16,26
1,10
11,6
19,22
25,33
25,39
16,39
3,32
4,19
6,1
3,15
4,30
9,40
19,43
30,37
39,19
41,0
33,12
18,17
1,19
20,23
33,27
38,26
33,13
26,6
22,19
18,22
7,19
9,18
24,22
29,26
22,21
3,6
16,13
30,36
42,54
50,63
56,61
55,48
48,23
30,8
4,41
25,67
46,80
53,78
45,62
28,38
11,15
3,0
3,9
0,14
9,16
20,16
26,10
32,1
28,9
10,18
15,17
36,9
40,2
33,7
18,8
0,7
24,8
46,8
52,8
43,12
31,18
23,24
18,23
11,13
3,0
20,17
29,32
30,39
27,36
27,29
25,21
18,5
8,19
1,47
7,62
4,56
7,34
15,7
9,16
5,37
16,54
16,63
10,62
5,51
8,35
16,17
23,4
25,3
16,7
3,12
1,17
10,17
25,9
38,6
43,25
37,38
24,41
10,32
2,20
3,11
14,0
26,12
35,27
34,40
21,48
1,49
12,45
14,37
8,22
2,3
14,14
24,29
26,40
18,45
2,42
14,31
23,17
29,5
31,2
30,4
22,0
5,3
6,7
8,30
1,55
4,65
1,54
6,28
14,0
14,24
9,37
4,39
1,35
4,31
16,30
32,28
42,26
39,27
23,27
2,30
32,33
52,35
55,33
43,26
23,17
1,0
25,21
40,45
44,57
39,56
32,40
27,20
23,0
19,13
16,18
9,15
5,7
20,1
32,5
35,1
32,5
24,12
2,11
29,6
57,0
63,4
47,1
18,6
9,10
28,6
34,3
30,8
25,7
22,0
24,7
32,14
35,9
35,3
26,16
8,21
16,16
41,6
55,3
57,12
47,21
33,27
25,28
23,29
18,33
12,37
5,33
2,17
7,4
0,25
16,34
30,32
34,26
27,21
12,14
3,3
15,8
20,14
22,16
21,13
21,11
23,13
23,18
21,19
18,13
13,3
4,5
7,5
16,2
20,10
18,16
11,18
5,14
1,5
1,5
3,11
5,17
6,20
5,20
4,19
3,17
2,14
1,4
11,8
20,23
24,35
23,40
19,36
4,26
22,13
47,1
58,5
59,6
53,4
41,3
22,4
0,3
15,1
20,10
17,17
11,20
8,17
7,12
11,8
15,5
15,2
10,1
4,7
0,18
4,26
7,27
12,22
15,11
18,0
19,11
20,19
21,21
16,18
6,14
3,13
8,12
7,4
8,9
15,24
26,31
34,31
32,26
22,17
9,2
2,18
10,37
13,47
13,46
12,39
11,26
14,9
17,4
20,10
19,5
11,0
1,0
1,6
3,12
13,13
20,9
25,3
22,4
17,13
14,17
17,12
19,1
18,8
15,15
8,15
3,11
13,5
17,3
13,16
5,29
1,35
3,29
8,15
14,4
21,2
23,6
19,8
9,3
1,5
3,14
6,25
7,36
7,41
4,35
3,17
7,0
10,12
11,18
8,25
2,33
1,38
0,39
7,36
17,28
23,17
17,6
2,1
9,1
8,4
3,9
15,14
21,21
20,29
15,34
3,32
14,15
27,12
29,47
14,73
8,86
29,79
40,54
39,21
26,6
8,23
7,29
15,28
16,25
16,23
15,22
12,18
9,10
7,0
6,10
5,18
3,21
0,14
3,3
3,23
1,30
2,22
8,9
19,3
27,8
31,20
28,31
22,32
13,21
4,2
4,10
11,12
15,9
17,7
20,9
23,11
23,7
13,4
4,15
21,21
30,22
29,18
28,14
33,10
36,5
31,0
19,9
5,21
6,29
16,27
24,16
28,0
28,12
24,25
19,33
16,35
11,30
2,19
9,5
13,8
9,21
5,27
8,27
17,20
23,7
22,9
15,31
8,49
2,53
0,37
3,7
7,20
7,35
2,40
19,37
34,29
36,17
19,5
3,6
11,18
1,29
24,41
37,48
29,39
2,14
28,15
52,36
64,38
64,26
57,12
45,2
32,1
17,4
5,4
2,1
4,5
6,13
5,22
1,26
5,25
10,23
15,19
20,14
22,3
18,10
8,28
3,42
13,46
17,33
15,12
12,13
13,37
16,54
17,59
7,49
8,32
21,18
26,10
25,7
21,5
19,0
19,1
15,0
8,3
0,10
9,18
13,22
11,22
8,16
5,8
4,2
5,2
6,2
7,0
7,5
7,13
5,21
4,24
4,21
11,19
20,26
25,38
22,44
14,41
3,31
6,20
13,12
7,5
4,2
16,0
23,5
25,11
25,18
21,23
15,25
5,23
3,25
11,33
14,43
15,49
17,45
19,31
18,11
12,4
0,12
8,10
9,9
4,13
1,17
4,14
4,2
2,15
10,31
12,38
3,35
9,25
18,13
14,1
3,9
8,16
15,21
17,25
18,23
18,17
16,6
12,6
8,20
5,25
2,18
3,2
4,15
0,29
9,33
16,32
18,24
13,12
7,3
1,16
4,20
15,15
27,11
36,18
36,29
28,37
16,40
4,38
6,36
10,30
8,16
4,0
1,10
2,15
2,17
0,19
4,20
7,18
5,13
0,6
4,0
4,6
3,7
2,5
1,0
2,7
4,10
6,6
9,7
13,28
16,43
14,42
11,25
8,2
2,15
8,27
19,32
21,28
15,19
4,10
5,3
13,3
18,7
20,12
22,13
23,10
18,1
7,17
6,31
17,38
22,33
23,25
20,21
15,20
9,14
4,2
1,9
2,18
11,21
21,17
25,5
24,8
19,14
15,13
10,9
5,12
0,21
1,31
6,39
12,36
11,21
3,1
7,21
14,30
16,31
10,24
0,7
12,11
28,22
37,20
37,9
26,1
10,9
5,18
12,28
8,38
0,38
4,25
1,6
6,15
10,32
11,38
5,35
0,26
5,15
7,5
5,0
1,1
0,0
1,1
2,5
0,8
2,7
4,1
4,4
3,7
6,5
9,1
14,0
16,4
10,16
0,25
4,24
5,14
6,5
10,1
17,1
22,0
23,2
14,1
2,5
4,15
1,22
11,23
25,20
30,17
19,13
1,4
12,7
18,22
16,38
9,48
1,46
6,28
13,8
15,4
15,6
15,8
16,19
14,36
7,44
1,35
13,13
24,6
33,14
31,12
17,6
5,0
27,4
38,7
37,10
25,12
11,12
2,9
0,0
3,9
10,12
16,4
20,12
14,25
0,19
17,3
30,25
34,32
29,23
16,7
1,8
10,20
19,29
24,35
22,35
15,30
3,21
7,11
16,3
23,3
28,7
26,11
13,8
7,1
28,17
39,33
38,42
28,37
18,13
12,19
4,50
4,72
13,78
18,69
16,49
5,24
7,3
18,9
24,13
29,9
32,6
34,9
28,19
13,33
7,44
25,47
37,40
42,29
39,17
30,7
15,0
0,5
12,5
19,3
22,20
23,33
21,31
19,17
16,2
11,2
4,1
1,6
2,4
10,3
17,14
24,23
24,24
19,19
8,9
2,0
7,1
9,3
11,7
15,6
20,0
22,7
20,15
15,18
8,20
1,22
11,21
21,13
30,1
40,20
45,33
41,33
26,21
5,6
13,5
28,9
39,5
39,1
28,0
11,1
1,1
7,5
11,11
15,16
16,19
11,21
4,19
