CH1,CH2
4,4
0,5
5,11
5,9
4,1
0,5
3,10
6,12
9,10
9,6
9,0
7,5
5,12
3,17
1,21
0,22
1,20
1,14
0,9
0,1
3,4
4,9
6,12
5,11
6,6
5,0
5,8
4,15
3,21
1,23
0,22
1,18
1,11
0,2
0,5
2,11
4,16
7,16
8,15
9,9
9,2
8,6
6,15
3,22
0,26
1,27
2,23
3,17
2,8
0,0
1,10
4,18
6,23
8,24
9,21
9,14
8,4
6,7
3,16
1,23
0,26
2,26
3,22
3,14
2,5
0,4
3,12
5,18
6,20
8,19
8,14
7,7
6,2
5,11
4,17
2,22
0,24
1,22
1,18
1,12
1,4
0,3
2,10
4,13
6,14
7,12
7,7
6,0
4,8
2,15
0,20
0,21
0,19
1,14
0,8
0,0
2,6
4,12
5,15
7,16
7,12
7,6
7,0
5,10
3,17
1,23
0,26
1,24
1,18
1,11
0,2
1,6
3,14
6,18
8,19
8,16
8,11
8,1
7,7
6,17
3,23
1,28
0,27
1,21
1,13
1,3
0,6
2,16
4,21
6,24
7,23
7,17
7,9
6,0
5,8
2,16
1,22
1,24
2,22
2,17
2,11
0,2
0,6
3,13
5,17
6,17
7,13
7,7
6,0
5,8
2,16
0,21
0,23
1,21
1,16
0,10
1,2
2,5
5,11
7,15
7,16
7,14
7,9
6,0
6,8
5,17
3,23
1,27
0,26
1,22
0,15
0,6
1,3
3,11
6,15
7,18
7,16
7,12
7,4
6,4
4,13
2,20
1,25
0,25
1,22
1,16
0,8
0,0
1,8
3,14
5,17
5,17
7,14
7,7
6,1
4,9
2,16
0,21
2,24
3,23
3,18
1,9
0,0
2,8
3,15
5,18
6,18
6,15
7,9
6,1
5,7
2,14
1,20
0,24
1,24
1,19
0,13
0,4
1,4
4,12
6,17
7,18
9,16
9,12
9,4
8,4
6,13
3,20
2,24
0,24
1,21
0,14
0,6
1,3
2,10
4,17
5,20
7,20
8,15
8,9
6,0
4,8
2,15
1,20
0,23
0,23
2,20
1,13
0,4
1,4
2,9
4,13
6,14
7,11
7,5
6,0
5,9
3,17
1,22
0,24
2,23
2,19
2,12
0,3
0,4
4,11
5,16
7,16
7,13
7,8
7,1
5,4
3,12
2,18
0,22
0,23
2,20
3,13
1,5
0,4
0,11
3,16
6,18
6,17
8,13
7,6
6,2
5,10
3,18
2,22
0,23
0,21
0,15
0,7
1,1
4,9
6,16
7,20
9,20
8,17
8,10
6,1
4,6
3,14
1,19
0,22
2,22
2,19
1,12
0,6
0,1
3,7
4,11
5,12
6,10
6,5
6,1
4,9
3,17
1,21
0,24
1,22
2,17
2,11
0,3
1,4
2,11
4,17
6,19
9,17
9,11
8,4
6,4
3,14
1,21
0,25
1,24
2,20
2,13
2,4
0,4
1,12
4,17
6,20
8,19
9,15
10,6
8,2
6,12
3,20
1,25
1,27
1,25
1,20
0,12
0,3
3,4
5,10
7,15
9,16
9,12
8,7
7,0
5,8
3,16
1,22
1,24
2,23
3,17
2,9
1,1
1,7
3,14
5,18
6,20
6,18
6,12
5,4
5,3
4,11
2,19
0,23
0,23
1,20
1,15
0,7
0,1
2,8
4,13
5,15
7,14
6,9
7,3
5,5
4,13
3,20
1,24
0,25
0,21
0,14
1,5
2,4
3,13
5,19
7,23
7,22
7,18
7,11
6,2
3,7
2,16
0,22
0,25
1,23
1,18
0,12
0,4
1,2
4,8
6,12
8,13
9,11
8,6
8,1
6,9
3,17
2,21
0,24
1,22
1,18
1,11
0,2
0,5
2,13
4,18
5,19
7,18
7,13
6,4
5,4
4,15
2,22
0,27
1,27
2,24
2,18
1,9
0,0
2,8
4,14
5,17
7,16
7,13
7,8
7,0
6,7
3,14
1,19
1,22
2,21
3,17
3,10
0,1
0,7
2,14
4,18
6,18
7,14
7,7
6,1
6,10
4,17
2,22
0,24
0,22
1,18
1,11
0,2
2,5
4,10
6,15
7,17
8,14
9,9
9,1
7,6
5,14
2,20
0,23
1,23
2,20
2,13
1,5
0,3
3,11
5,16
7,18
8,17
8,13
7,5
5,3
4,12
3,17
1,21
0,21
0,20
0,14
0,7
1,0
3,7
5,13
6,16
7,15
7,12
7,5
5,2
4,10
1,17
0,21
0,24
1,23
2,19
1,12
0,3
2,4
3,11
5,15
5,18
6,15
6,10
5,2
4,7
3,15
1,21
0,23
1,23
2,19
2,12
1,3
0,5
1,13
4,18
6,20
6,18
6,12
6,3
4,5
3,14
3,21
2,25
0,25
0,21
0,13
0,4
2,4
3,13
5,18
6,20
8,18
8,14
7,7
6,0
5,9
3,16
2,21
0,22
0,20
1,15
0,8
0,0
2,8
4,13
5,16
7,16
8,12
8,5
7,3
6,12
3,20
2,26
0,28
0,27
1,23
0,15
0,6
1,2
2,10
4,15
6,17
6,16
6,12
7,5
6,3
4,11
2,17
0,21
2,21
3,19
3,13
1,6
0,2
1,9
3,15
5,18
7,17
7,13
7,6
7,3
5,12
3,19
1,24
0,26
0,24
1,18
0,10
0,1
1,7
4,14
5,17
6,18
7,16
7,10
6,3
6,4
4,12
2,17
0,21
0,21
1,17
1,10
0,2
1,4
4,9
5,14
7,14
8,13
8,8
7,1
5,7
3,15
0,22
1,25
2,24
3,20
3,12
1,3
0,5
4,13
6,18
8,21
10,20
11,14
10,6
9,3
7,13
5,21
2,25
0,26
1,23
2,17
1,7
0,1
1,9
3,16
5,19
5,19
6,15
6,7
5,0
4,9
3,17
1,23
0,24
0,23
2,18
2,9
0,0
1,7
3,13
5,17
6,17
8,14
8,7
8,1
6,11
4,18
2,25
0,27
1,26
2,21
2,13
1,4
0,4
2,11
4,16
6,19
7,18
8,12
7,3
5,6
3,16
2,23
0,27
1,28
2,24
2,17
1,7
0,1
2,10
4,16
6,19
7,18
8,12
8,5
7,3
5,11
3,18
1,23
0,25
1,23
0,17
0,9
1,0
2,7
4,12
6,16
6,16
8,13
7,7
6,0
4,7
3,15
1,19
0,22
0,21
1,17
0,10
0,1
1,7
2,14
4,17
5,19
7,17
8,11
8,3
6,4
4,13
2,19
0,23
2,23
4,20
4,13
2,4
0,4
2,13
4,18
5,20
6,18
6,11
7,3
6,5
5,14
3,20
1,23
1,24
2,21
1,16
0,7
1,1
3,9
4,14
7,17
8,16
9,12
9,4
8,3
6,12
5,20
2,23
0,23
0,20
0,15
0,7
1,0
3,7
4,13
6,17
7,18
7,15
7,7
6,1
4,9
2,17
0,22
1,24
1,23
1,18
2,12
0,3
1,4
3,12
6,17
7,18
9,16
9,11
9,3
6,6
4,14
1,21
1,24
2,24
3,20
3,14
2,6
0,2
1,10
4,15
5,19
6,18
5,14
5,8
4,0
3,9
1,16
0,20
1,21
1,19
2,14
1,7
0,0
1,7
4,13
6,17
9,16
10,12
11,5
9,2
7,11
5,19
3,24
1,26
0,25
0,20
0,13
1,4
2,3
2,10
3,16
5,17
5,16
6,10
5,2
4,6
1,15
0,21
1,23
2,24
2,19
1,13
0,4
1,4
2,12
4,17
5,20
7,18
7,13
6,5
6,4
3,12
2,18
0,22
1,22
1,19
1,11
0,4
1,3
2,9
4,13
6,15
8,14
9,9
9,3
9,4
7,13
4,20
1,25
1,26
2,25
3,19
3,11
1,1
0,6
3,12
5,17
6,18
7,16
7,9
7,2
6,6
4,13
3,17
1,20
0,19
1,15
0,8
0,0
1,7
3,12
5,16
7,16
7,14
6,10
6,3
5,4
4,12
1,20
1,25
0,25
1,23
0,17
0,9
0,0
2,8
4,14
5,16
7,16
8,12
7,5
7,2
5,11
4,18
2,23
1,24
0,22
0,17
0,9
0,1
1,6
2,12
4,16
5,15
6,12
7,5
6,2
5,11
4,18
2,23
0,25
1,24
0,19
0,10
0,0
2,8
3,14
5,18
7,20
7,18
7,12
6,4
4,4
3,13
1,19
0,22
0,22
1,18
1,12
0,4
0,4
2,12
4,16
5,17
5,16
6,11
5,4
4,4
3,12
1,17
1,22
1,23
1,20
1,14
0,6
0,2
2,10
4,15
7,18
8,17
8,13
8,6
7,2
6,11
4,19
2,25
0,29
1,27
2,22
2,14
0,4
0,6
2,13
