CH1,CH2
31,0
18,0
12,0
13,0
12,0
4,0
3,0
8,0
10,0
11,0
12,0
12,0
10,0
6,0
1,0
4,0
8,0
9,0
4,0
3,0
12,0
17,0
13,0
3,0
29,0
46,0
41,0
20,0
0,0
6,0
4,0
2,0
4,0
8,0
8,0
8,0
5,0
1,0
3,0
6,0
18,0
18,0
7,0
7,0
20,0
26,0
25,0
17,0
8,0
4,0
9,0
14,0
13,0
5,0
4,0
5,0
0,0
12,0
27,0
42,0
50,0
42,0
23,0
2,0
15,0
24,0
25,0
23,0
21,0
21,0
20,0
14,0
5,0
3,0
0,0
16,0
35,0
38,0
19,0
5,0
22,0
26,0
20,0
12,0
10,0
13,0
20,0
25,0
30,0
34,0
31,0
21,0
9,0
3,0
6,0
14,0
17,0
13,0
0,0
18,0
38,0
55,0
60,0
50,0
27,0
0,0
21,0
35,0
35,0
25,0
8,0
8,0
17,0
17,0
8,0
5,0
20,0
28,0
27,0
19,0
10,0
8,0
14,0
23,0
27,0
25,0
18,0
8,0
0,0
13,0
24,0
28,0
23,0
20,0
20,0
21,0
21,0
15,0
3,0
26,0
47,0
60,0
63,0
53,0
28,0
3,0
32,0
42,0
32,0
14,0
0,0
7,0
9,0
12,0
20,0
32,0
41,0
40,0
25,0
4,0
15,0
28,0
35,0
38,0
39,0
33,0
17,0
0,0
13,0
15,0
12,0
12,0
20,0
30,0
32,0
23,0
6,0
12,0
26,0
35,0
38,0
34,0
27,0
18,0
12,0
9,0
1,0
8,0
21,0
28,0
32,0
37,0
41,0
37,0
26,0
16,0
9,0
2,0
3,0
7,0
8,0
1,0
11,0
21,0
25,0
23,0
17,0
7,0
6,0
16,0
22,0
24,0
28,0
34,0
36,0
28,0
5,0
26,0
52,0
63,0
54,0
36,0
19,0
7,0
5,0
19,0
31,0
37,0
32,0
23,0
17,0
17,0
16,0
11,0
0,0
12,0
23,0
32,0
36,0
32,0
22,0
14,0
12,0
12,0
11,0
10,0
9,0
7,0
5,0
5,0
5,0
7,0
10,0
13,0
15,0
14,0
5,0
11,0
36,0
63,0
78,0
73,0
49,0
18,0
9,0
30,0
43,0
47,0
40,0
22,0
0,0
16,0
17,0
4,0
17,0
38,0
51,0
47,0
25,0
9,0
39,0
47,0
34,0
15,0
3,0
9,0
26,0
45,0
54,0
54,0
43,0
25,0
0,0
20,0
32,0
31,0
23,0
8,0
5,0
19,0
30,0
35,0
33,0
26,0
15,0
0,0
20,0
41,0
53,0
48,0
23,0
11,0
46,0
68,0
64,0
34,0
0,0
18,0
17,0
4,0
14,0
27,0
28,0
17,0
4,0
7,0
17,0
27,0
33,0
38,0
38,0
34,0
30,0
26,0
20,0
10,0
1,0
3,0
6,0
12,0
20,0
27,0
31,0
34,0
39,0
44,0
45,0
40,0
27,0
11,0
1,0
11,0
16,0
20,0
24,0
28,0
27,0
22,0
17,0
18,0
22,0
18,0
0,0
21,0
34,0
31,0
24,0
24,0
28,0
27,0
13,0
11,0
36,0
44,0
24,0
15,0
50,0
62,0
47,0
16,0
18,0
41,0
46,0
39,0
26,0
15,0
7,0
0,0
5,0
12,0
17,0
18,0
15,0
12,0
12,0
13,0
11,0
4,0
0,0
10,0
28,0
32,0
9,0
22,0
31,0
6,0
22,0
31,0
21,0
8,0
6,0
9,0
5,0
3,0
14,0
21,0
25,0
20,0
6,0
10,0
24,0
31,0
31,0
24,0
13,0
4,0
0,0
3,0
3,0
1,0
9,0
14,0
15,0
14,0
12,0
10,0
4,0
6,0
19,0
27,0
24,0
15,0
7,0
6,0
12,0
22,0
31,0
34,0
27,0
9,0
10,0
23,0
27,0
26,0
27,0
33,0
37,0
37,0
30,0
21,0
14,0
11,0
12,0
5,0
5,0
15,0
21,0
24,0
27,0
33,0
40,0
45,0
46,0
43,0
29,0
5,0
21,0
35,0
27,0
9,0
1,0
3,0
0,0
3,0
2,0
1,0
0,0
5,0
12,0
21,0
29,0
34,0
33,0
28,0
21,0
15,0
10,0
6,0
3,0
1,0
7,0
15,0
22,0
25,0
16,0
0,0
9,0
3,0
16,0
39,0
51,0
49,0
36,0
19,0
5,0
4,0
12,0
21,0
28,0
34,0
40,0
44,0
46,0
40,0
26,0
12,0
1,0
14,0
22,0
22,0
21,0
23,0
20,0
0,0
30,0
58,0
73,0
72,0
51,0
16,0
19,0
46,0
60,0
61,0
53,0
41,0
30,0
17,0
1,0
14,0
29,0
36,0
37,0
37,0
32,0
18,0
0,0
10,0
8,0
3,0
3,0
9,0
14,0
7,0
7,0
23,0
31,0
32,0
28,0
24,0
22,0
25,0
30,0
30,0
17,0
5,0
27,0
39,0
36,0
26,0
19,0
17,0
18,0
20,0
20,0
20,0
15,0
3,0
15,0
32,0
38,0
37,0
33,0
28,0
20,0
4,0
18,0
36,0
41,0
29,0
16,0
7,0
3,0
17,0
29,0
34,0
31,0
20,0
2,0
13,0
21,0
19,0
13,0
6,0
2,0
12,0
27,0
42,0
53,0
53,0
40,0
15,0
11,0
29,0
35,0
33,0
26,0
17,0
10,0
3,0
2,0
5,0
8,0
10,0
8,0
5,0
1,0
1,0
9,0
20,0
21,0
1,0
29,0
51,0
52,0
42,0
32,0
23,0
14,0
5,0
3,0
10,0
18,0
28,0
38,0
39,0
31,0
13,0
6,0
21,0
27,0
29,0
29,0
29,0
26,0
23,0
22,0
25,0
24,0
8,0
19,0
48,0
62,0
53,0
27,0
2,0
5,0
5,0
22,0
29,0
16,0
10,0
38,0
52,0
49,0
37,0
17,0
4,0
24,0
35,0
33,0
21,0
8,0
4,0
16,0
29,0
38,0
41,0
38,0
29,0
14,0
1,0
11,0
12,0
9,0
7,0
10,0
15,0
20,0
22,0
14,0
5,0
32,0
60,0
76,0
69,0
39,0
4,0
23,0
38,0
44,0
44,0
40,0
31,0
18,0
3,0
3,0
2,0
1,0
7,0
18,0
28,0
27,0
21,0
13,0
12,0
15,0
20,0
16,0
4,0
5,0
5,0
5,0
17,0
21,0
15,0
5,0
2,0
6,0
8,0
6,0
3,0
0,0
1,0
3,0
2,0
4,0
10,0
11,0
2,0
9,0
19,0
24,0
29,0
31,0
25,0
12,0
3,0
14,0
20,0
23,0
25,0
24,0
17,0
4,0
7,0
11,0
4,0
11,0
24,0
31,0
30,0
23,0
15,0
5,0
0,0
4,0
4,0
2,0
0,0
0,0
3,0
7,0
15,0
27,0
42,0
44,0
26,0
9,0
44,0
66,0
73,0
67,0
54,0
36,0
17,0
1,0
19,0
25,0
16,0
2,0
3,0
4,0
14,0
20,0
19,0
13,0
6,0
5,0
17,0
32,0
39,0
30,0
7,0
17,0
33,0
36,0
26,0
7,0
10,0
19,0
12,0
4,0
18,0
21,0
16,0
12,0
11,0
13,0
17,0
21,0
24,0
23,0
17,0
6,0
5,0
17,0
26,0
25,0
15,0
0,0
9,0
12,0
8,0
1,0
11,0
11,0
0,0
20,0
35,0
38,0
29,0
13,0
0,0
4,0
2,0
1,0
2,0
2,0
1,0
1,0
0,0
2,0
3,0
1,0
6,0
11,0
16,0
20,0
26,0
26,0
12,0
9,0
33,0
50,0
55,0
49,0
32,0
11,0
6,0
17,0
18,0
16,0
16,0
14,0
6,0
2,0
0,0
8,0
15,0
17,0
17,0
17,0
18,0
18,0
15,0
10,0
2,0
3,0
1,0
12,0
29,0
35,0
20,0
7,0
33,0
48,0
46,0
32,0
14,0
0,0
8,0
15,0
20,0
23,0
25,0
25,0
23,0
19,0
15,0
11,0
10,0
11,0
15,0
19,0
14,0
3,0
30,0
53,0
63,0
56,0
35,0
7,0
18,0
32,0
30,0
22,0
18,0
19,0
22,0
22,0
19,0
17,0
16,0
15,0
13,0
14,0
15,0
8,0
5,0
17,0
23,0
28,0
30,0
22,0
4,0
17,0
32,0
40,0
40,0
34,0
22,0
5,0
12,0
21,0
18,0
10,0
4,0
5,0
10,0
10,0
8,0
11,0
16,0
21,0
20,0
11,0
0,0
6,0
3,0
0,0
4,0
11,0
15,0
14,0
14,0
16,0
19,0
22,0
26,0
