CH1,CH2
1,33
4,18
4,2
2,4
0,3
1,3
1,11
2,19
0,23
0,24
0,23
3,18
5,8
6,8
8,26
10,38
10,40
10,35
8,28
6,17
4,2
2,16
1,30
0,32
2,24
1,12
1,5
0,6
0,14
0,16
1,5
2,18
3,42
3,56
3,56
2,43
1,24
1,6
1,6
2,14
3,19
3,27
3,38
3,46
4,49
6,45
7,35
8,21
9,7
9,8
8,24
5,40
2,49
1,46
3,29
5,3
5,19
4,32
4,34
2,27
0,15
4,2
6,5
8,8
9,5
10,6
9,19
7,30
5,42
3,52
1,52
1,36
0,8
2,20
3,35
4,36
5,29
7,26
8,29
7,31
6,25
3,10
1,7
0,20
1,26
2,24
1,15
0,1
0,16
0,23
2,18
3,1
5,19
5,35
6,45
6,50
6,49
5,39
4,20
3,2
1,21
0,31
0,32
0,31
0,33
0,38
1,35
3,21
4,0
4,17
4,30
3,38
1,42
0,41
1,29
1,7
1,15
0,29
0,32
2,25
4,8
6,12
7,29
6,35
7,32
7,28
7,29
6,35
3,40
1,37
1,20
1,5
2,27
3,33
4,22
4,5
4,7
2,11
4,4
7,6
10,16
11,21
11,24
9,29
6,31
2,22
0,9
2,0
2,4
1,2
0,7
1,21
1,35
0,40
0,30
0,12
0,6
0,19
1,29
0,40
1,50
0,56
0,57
1,58
1,58
1,52
1,41
4,26
7,8
9,12
10,25
9,32
8,31
6,23
4,10
2,5
0,19
1,23
2,22
2,13
0,4
3,0
7,0
10,0
11,7
10,23
8,37
5,40
3,29
1,13
0,1
0,11
1,21
1,24
2,20
2,9
2,0
2,0
2,4
2,9
1,7
1,1
2,4
2,5
1,0
1,10
2,16
3,17
2,16
1,17
0,19
0,18
1,11
2,1
3,16
5,27
8,32
8,32
8,31
6,28
3,28
1,28
1,26
1,21
0,12
0,1
2,10
3,16
4,16
6,15
5,21
6,33
6,49
6,64
5,73
2,70
0,60
1,45
1,29
1,14
0,5
0,25
0,36
0,33
1,20
2,5
4,3
6,9
6,16
5,21
3,19
1,9
0,7
0,22
0,32
0,32
2,23
4,10
6,0
8,3
9,3
10,3
11,3
10,3
9,2
6,1
3,3
1,3
0,2
0,13
1,22
1,22
1,12
1,4
2,22
2,33
2,36
3,34
4,28
3,17
4,2
4,10
3,14
3,12
1,17
0,30
1,44
1,52
1,48
0,33
3,5
5,31
7,63
7,77
6,66
4,38
2,12
2,3
1,6
0,4
0,3
0,13
1,18
4,20
6,17
8,12
8,8
7,8
6,11
5,14
4,10
3,2
3,18
2,29
2,30
1,23
0,15
0,9
0,7
2,3
4,0
4,2
6,6
6,13
5,16
5,10
3,6
2,34
1,61
0,75
0,68
0,47
0,21
1,0
2,9
4,14
6,18
8,23
8,21
7,9
5,6
2,17
0,17
2,5
3,12
3,30
3,39
3,34
1,22
0,16
0,15
1,15
3,10
5,2
6,8
6,21
6,37
5,51
6,56
5,45
4,18
3,12
2,37
3,47
2,38
3,11
5,23
7,48
8,53
8,49
8,43
7,31
5,9
2,14
0,26
0,20
2,5
2,5
0,8
0,3
1,2
2,7
3,9
5,6
6,2
5,1
4,4
2,7
0,7
1,3
1,9
1,33
0,56
0,65
2,56
4,30
6,0
6,27
6,45
5,56
6,62
5,58
4,44
3,24
2,5
1,7
1,9
2,2
2,6
2,10
2,8
2,6
3,5
4,0
6,12
6,27
6,32
5,23
2,6
1,12
0,25
0,30
1,25
2,17
1,12
0,11
1,15
2,26
3,35
5,32
6,16
6,4
5,21
4,31
4,31
3,24
3,14
3,5
2,1
1,3
0,7
0,9
0,4
1,11
2,32
3,50
4,55
5,41
4,19
3,6
0,28
0,44
1,49
0,43
0,29
1,13
2,1
3,13
4,18
4,16
4,9
4,0
5,6
6,7
6,1
6,4
5,6
4,6
3,4
3,2
4,0
4,1
6,4
7,13
7,25
6,33
5,30
4,22
3,17
2,14
1,8
0,0
1,7
1,13
1,20
0,22
1,20
4,23
6,31
7,36
7,27
7,8
6,13
4,30
2,39
0,40
0,39
1,40
2,47
2,48
1,35
0,10
0,12
0,17
1,5
2,9
3,14
4,10
4,4
4,0
3,0
2,2
1,2
0,1
0,1
0,0
1,7
2,19
3,33
4,40
5,39
6,31
5,20
7,13
7,7
8,2
6,1
4,6
3,13
2,21
1,26
0,26
0,25
0,24
2,23
3,17
5,8
6,1
7,8
7,11
6,8
3,1
1,6
0,17
0,28
1,39
0,49
0,54
0,50
1,34
2,8
3,14
4,29
6,37
7,46
7,55
5,61
4,55
2,35
1,7
1,14
0,27
0,32
2,31
3,27
5,21
6,17
6,14
6,11
5,7
4,4
4,0
3,2
1,12
0,24
1,30
0,24
0,6
0,13
0,31
1,41
1,44
1,41
1,32
1,23
2,16
2,11
3,0
2,16
3,34
2,45
1,47
1,36
1,21
3,3
4,11
6,18
6,18
8,15
8,9
7,4
6,2
6,1
3,2
1,2
0,1
2,0
3,2
3,1
3,5
1,16
0,23
2,26
3,28
5,31
6,27
4,14
4,5
4,24
4,34
5,33
5,24
5,3
5,19
3,35
2,39
3,31
4,15
4,2
5,14
6,21
5,19
4,12
2,0
2,13
1,19
2,16
0,6
0,4
0,10
0,11
0,15
2,23
5,31
7,31
10,16
11,6
11,27
10,35
7,30
5,22
2,17
1,16
1,14
2,13
3,18
4,25
5,26
5,18
5,7
5,4
5,6
5,0
2,14
0,29
1,29
3,16
3,0
3,9
2,9
1,3
1,0
0,1
1,0
2,2
2,7
3,15
3,22
4,24
6,17
6,4
6,10
4,21
4,24
4,18
3,10
5,6
6,8
7,11
6,9
4,2
3,17
2,26
3,27
4,28
3,37
3,51
2,60
1,55
1,35
1,7
1,23
0,49
0,64
0,63
2,48
3,34
2,28
1,25
1,19
1,9
0,0
0,5
0,8
0,12
0,16
0,21
0,28
1,30
3,28
3,25
3,24
4,23
5,21
5,20
4,20
3,18
0,11
0,3
0,21
0,36
2,41
3,35
5,21
6,3
7,10
6,16
6,15
5,12
3,12
2,14
2,12
0,6
1,1
0,8
0,11
0,7
0,4
0,14
2,24
4,31
6,38
7,39
7,33
8,19
7,3
5,6
3,2
0,7
1,14
2,13
1,6
0,1
2,3
4,1
5,1
5,6
5,11
5,16
5,19
7,24
6,31
5,37
3,33
2,16
0,1
0,10
1,9
0,5
1,0
4,0
6,2
8,10
9,14
8,8
7,3
6,9
6,3
5,14
5,38
2,53
0,47
1,22
2,3
1,17
0,22
2,23
5,21
6,16
7,9
6,0
5,14
4,26
4,24
2,9
0,10
0,18
0,7
0,14
1,32
1,36
2,30
3,17
3,7
3,3
3,12
3,19
3,20
3,11
1,4
0,20
0,25
0,16
0,2
1,14
4,10
6,7
8,23
8,30
8,27
7,18
5,2
3,16
2,32
0,41
0,43
1,37
1,26
0,10
1,5
4,18
6,26
7,30
8,35
7,42
5,45
3,43
1,35
0,23
0,14
0,9
2,3
2,7
2,19
0,26
2,25
4,21
7,17
7,13
7,5
7,7
6,20
4,24
3,12
2,11
0,32
0,36
1,24
0,7
1,11
2,30
3,45
4,47
5,40
5,28
6,16
6,10
6,5
4,0
3,6
1,14
0,19
0,18
0,13
0,12
0,21
3,37
4,48
4,43
6,28
7,9
8,7
8,19
5,28
2,38
0,49
1,54
1,51
1,36
1,16
0,1
2,9
4,4
6,10
6,26
6,34
4,32
3,23
2,10
3,7
2,27
1,41
0,44
1,38
1,29
0,23
1,18
2,13
3,9
3,3
3,3
2,10
3,21
2,32
2,41
2,44
1,41
0,37
0,34
0,30
1,22
1,12
4,1
7,7
9,17
10,20
10,14
9,8
6,15
4,32
2,44
1,40
2,26
3,13
3,10
2,12
2,13
2,8
2,1
3,13
5,22
6,28
7,31
7,34
5,35
4,31
2,26
1,18
0,5
0,10
1,19
2,14
4,2
3,19
4,29
4,35
3,35
3,28
2,14
2,2
2,15
2,18
1,11
0,5
0,2
0,1
1,3
3,10
6,22
7,33
7,39
7,39
7,33
7,21
7,8
6,2
4,0
1,0
0,5
0,15
0,25
0,34
1,40
2,44
2,45
3,42
3,33
3,21
1,9
0,2
