CH1,CH2
21,3
14,0
50,0
50,3
25,1
5,20
5,69
28,125
79,150
119,106
89,1
7,111
89,182
97,194
56,159
9,100
20,41
32,1
35,29
34,47
31,57
29,54
29,33
29,1
30,25
25,33
12,19
1,14
2,60
13,99
32,115
28,98
26,59
116,11
188,33
204,67
183,78
133,69
48,49
46,36
109,40
128,50
113,50
86,39
65,23
55,5
46,14
31,32
27,40
28,30
7,12
37,4
64,16
46,42
3,62
26,64
24,47
0,24
35,5
60,1
75,6
83,17
88,29
90,26
91,0
76,35
30,54
31,51
81,35
101,14
89,2
60,3
30,8
4,22
19,41
60,60
111,60
126,26
80,25
10,65
36,82
58,81
63,75
58,73
43,78
25,93
16,106
27,102
39,76
31,31
3,18
36,59
41,81
19,86
3,86
3,93
10,105
16,114
5,113
44,98
67,69
52,32
11,9
17,48
23,76
15,92
13,91
17,76
17,54
7,32
9,11
22,4
20,20
6,48
6,90
14,128
12,141
1,125
4,91
26,48
99,8
160,16
157,32
94,47
23,70
19,93
23,109
2,115
20,112
21,100
7,75
47,41
75,7
90,18
107,37
120,47
106,44
64,24
26,6
12,29
0,26
27,6
46,51
38,82
20,88
14,71
15,46
11,21
8,5
10,5
9,14
1,20
21,12
36,8
39,33
37,52
40,60
34,60
2,49
51,27
109,2
150,33
146,51
93,55
28,54
2,61
6,77
31,85
50,72
52,37
32,6
3,41
12,57
9,44
0,5
1,37
7,52
13,27
0,18
28,51
34,53
8,31
75,3
122,26
130,53
109,70
77,70
46,61
21,46
6,25
6,0
17,37
22,80
12,116
2,139
13,155
20,155
29,125
33,66
31,2
32,55
42,77
52,71
55,51
49,32
39,21
31,10
29,6
30,25
32,30
34,12
36,21
27,54
9,68
11,64
36,54
67,49
86,47
66,38
11,23
34,16
47,25
32,42
1,52
40,50
65,38
53,23
7,14
40,13
66,17
66,16
49,11
21,5
9,0
30,11
32,27
20,37
3,27
18,12
42,13
52,26
45,31
37,18
29,2
6,3
19,24
26,57
2,81
33,74
41,44
4,22
49,26
85,46
92,60
75,53
42,32
11,6
0,18
10,39
27,56
31,69
14,74
12,68
38,46
51,22
54,10
49,7
34,6
10,0
20,11
35,22
11,22
38,5
72,25
68,52
54,62
59,53
65,38
41,26
2,27
33,40
35,62
11,85
26,91
52,63
41,4
0,55
36,89
51,88
51,62
47,32
42,15
30,16
9,26
18,33
43,35
51,30
30,19
10,0
49,18
67,20
64,7
49,1
30,1
14,10
3,13
23,8
48,4
71,0
83,4
80,13
69,20
46,15
9,1
24,21
43,33
47,34
38,27
29,13
31,6
41,24
41,33
27,25
16,3
12,23
4,48
14,60
33,50
44,22
47,6
44,20
40,14
26,1
1,15
16,25
9,26
13,27
32,24
37,12
30,8
5,28
31,35
53,27
41,14
3,5
34,1
24,1
12,6
32,21
16,33
29,35
74,32
94,34
85,48
58,55
25,38
0,1
19,42
36,75
52,102
56,118
40,116
12,98
5,72
10,46
8,22
5,4
0,37
4,74
18,102
