CH1,CH2
8,12
37,17
63,24
70,24
69,17
62,11
45,9
15,8
17,6
41,1
49,12
42,19
26,20
10,20
2,20
6,24
4,28
2,31
8,28
14,18
16,4
15,10
12,22
5,29
3,30
12,27
19,25
24,21
26,19
23,17
12,14
3,10
11,5
9,2
3,0
4,0
10,0
16,0
17,1
13,3
6,3
0,2
6,1
13,0
21,1
27,3
33,3
37,4
38,4
40,4
38,3
29,3
12,2
8,1
29,1
43,1
45,1
33,1
11,2
5,2
3,2
21,2
58,3
87,4
94,3
79,3
50,2
20,1
3,0
16,0
21,2
21,2
20,2
14,0
6,3
2,6
10,9
15,11
17,12
16,11
12,10
5,6
1,3
9,1
16,0
21,1
24,0
25,0
23,0
17,1
9,2
2,4
3,5
7,7
9,7
10,7
12,6
14,4
14,3
15,2
16,2
18,3
15,3
8,3
2,0
11,2
18,4
21,5
22,3
18,1
12,1
4,4
0,5
3,6
6,7
8,8
10,10
11,16
11,20
9,20
12,16
17,10
21,6
22,3
16,0
4,4
5,10
12,15
13,19
11,19
10,19
9,21
9,25
8,30
3,31
2,22
6,7
10,11
12,26
11,35
8,39
5,39
2,39
0,36
1,31
3,24
3,16
3,13
1,12
2,12
5,12
8,7
10,0
12,5
13,9
13,11
12,13
8,15
3,16
0,17
1,17
4,15
7,13
11,7
11,0
5,6
4,11
19,14
30,15
35,16
30,17
20,17
9,16
1,13
4,7
17,0
31,11
33,25
14,36
17,41
42,36
44,25
18,8
21,10
59,26
81,37
89,37
91,26
88,9
89,2
100,4
111,0
90,3
16,2
97,1
205,4
266,12
268,22
225,29
162,31
98,23
43,6
0,15
27,38
29,51
5,52
31,44
58,32
63,19
46,6
17,11
17,27
50,38
78,40
96,35
101,29
98,25
92,22
83,18
73,14
60,12
45,12
30,14
18,13
9,13
1,10
4,8
7,6
2,4
12,4
29,3
34,3
24,3
6,2
5,2
6,1
1,0
3,2
7,4
6,5
1,4
5,4
14,4
25,4
33,5
34,4
29,2
24,1
24,0
29,1
38,2
48,4
50,6
38,6
5,7
38,7
76,7
91,7
84,7
62,5
37,1
19,1
13,3
12,4
11,4
5,3
3,2
8,1
9,1
8,3
8,6
10,8
10,9
2,9
12,9
30,8
39,8
35,7
24,4
13,2
11,0
14,2
14,2
10,1
1,0
9,2
18,5
23,8
25,8
22,8
18,8
12,6
4,5
4,5
11,4
16,3
17,1
13,0
8,0
1,0
3,1
9,4
12,4
15,4
15,2
10,1
1,1
4,1
7,2
3,3
1,4
5,6
4,7
2,10
1,11
3,9
5,9
7,13
8,18
8,21
7,16
4,4
1,8
0,17
3,19
6,16
8,14
8,13
8,16
5,18
1,18
5,15
10,7
16,0
20,10
22,19
22,25
20,29
16,33
11,36
5,37
0,35
3,27
7,14
10,1
11,4
9,1
5,3
1,2
1,4
6,16
11,27
18,32
20,31
20,28
23,27
26,26
29,21
27,9
18,8
8,24
3,29
8,15
16,12
20,38
18,48
16,41
11,19
8,7
9,34
27,53
55,60
71,57
53,44
9,26
41,9
85,0
124,6
146,4
146,0
121,5
82,6
32,7
20,8
74,11
125,14
164,17
178,19
157,16
114,11
63,4
11,0
45,4
102,8
139,13
137,18
105,24
76,32
76,38
91,43
99,46
90,45
74,37
57,23
43,1
26,23
9,46
7,62
24,68
39,63
50,52
57,37
59,21
60,10
63,4
68,2
74,2
79,1
80,0
78,1
70,2
59,2
44,0
28,2
9,4
6,3
20,0
30,6
35,11
37,13
33,13
26,15
17,15
6,13
6,9
19,4
31,1
39,6
43,11
39,15
26,17
9,18
5,18
14,16
19,13
22,8
23,2
22,5
19,13
16,18
15,16
16,9
15,2
6,11
7,19
22,23
36,23
44,21
41,19
27,16
3,15
19,14
27,13
18,12
0,11
15,11
16,9
9,7
0,3
6,0
6,5
0,8
8,11
16,12
24,12
30,12
34,9
37,6
39,2
37,1
32,5
26,6
18,8
8,10
1,10
13,10
24,9
32,5
38,1
42,2
42,5
39,7
32,7
19,6
5,3
5,1
14,0
18,1
21,2
24,4
26,9
26,13
22,16
15,19
7,16
0,9
8,2
15,3
20,6
22,6
22,5
19,3
13,3
6,3
2,5
9,3
16,0
22,5
27,9
32,11
33,10
29,8
20,7
9,7
0,7
6,6
10,5
13,5
14,5
15,5
14,4
12,5
10,5
8,3
5,0
2,2
0,4
2,4
5,4
9,2
11,1
14,5
17,8
18,10
17,10
15,8
10,6
5,4
1,4
0,6
0,9
0,8
1,4
3,1
6,8
9,12
13,12
14,9
10,4
2,1
7,6
15,8
19,9
20,11
22,13
26,15
35,16
38,13
38,10
39,5
42,0
44,6
32,9
5,9
18,2
20,8
3,15
32,13
36,1
6,16
40,33
72,39
73,36
57,27
45,18
39,8
31,2
19,11
20,13
28,7
24,3
5,11
48,13
69,8
47,0
6,9
45,21
43,38
9,56
25,69
37,69
23,60
2,41
19,17
27,12
35,39
47,54
55,53
49,41
32,25
11,11
0,1
2,2
8,4
10,7
5,13
3,19
14,23
28,27
41,26
50,24
56,22
61,20
68,16
72,9
69,0
56,11
37,19
17,19
2,13
5,3
7,6
7,11
5,11
5,9
6,6
8,1
6,1
3,5
2,9
1,10
5,10
6,7
7,2
3,4
0,10
1,15
5,19
4,20
5,20
17,19
25,16
22,12
7,7
14,2
36,3
44,8
32,10
6,11
15,9
23,7
19,4
14,2
17,0
24,3
28,7
25,9
19,12
16,14
13,15
3,14
13,12
23,9
16,5
6,2
26,0
31,3
21,4
9,5
5,4
11,3
18,2
23,1
23,0
20,2
17,5
14,6
12,8
10,9
8,9
5,10
2,10
1,9
8,8
17,6
27,4
34,2
39,0
40,2
39,4
36,7
30,8
23,9
13,8
3,5
5,0
13,6
20,12
23,16
25,20
23,20
19,19
15,16
10,15
4,14
1,11
7,4
12,3
16,10
15,14
12,14
6,10
1,8
9,4
17,1
23,0
29,1
33,1
35,3
32,5
25,5
17,2
8,1
0,4
7,4
11,3
12,0
9,2
5,3
2,5
2,6
5,6
9,5
9,4
8,5
5,7
0,9
4,11
8,11
12,11
15,7
16,4
13,6
9,8
5,10
3,6
2,3
8,15
21,26
35,31
44,28
34,19
8,7
20,1
37,6
36,12
20,17
1,22
12,24
21,23
28,20
30,17
25,12
16,11
7,9
0,7
8,5
18,3
26,0
30,1
35,1
43,1
49,6
39,14
10,19
35,19
88,10
131,4
147,16
121,22
58,24
9,22
52,21
67,18
78,13
101,5
121,4
126,14
110,20
81,19
48,13
16,10
23,8
80,9
148,7
202,2
213,3
165,7
74,12
23,23
99,37
136,47
139,44
112,26
63,1
11,31
16,51
6,61
25,61
56,53
70,42
64,30
45,22
24,15
11,5
7,5
7,12
4,12
4,4
18,3
35,6
53,3
69,0
81,2
87,5
87,6
83,6
72,7
55,7
33,8
11,8
5,7
14,6
17,3
17,0
19,3
24,6
27,9
29,12
26,13
20,14
11,14
3,12
20,11
34,8
41,6
