CH1,CH2
5,0
21,0
38,0
32,0
13,0
2,0
4,0
14,0
42,0
55,0
36,0
13,0
69,0
111,0
124,0
109,0
79,0
47,0
22,0
2,0
10,0
11,0
9,0
13,0
29,0
51,0
73,0
86,0
86,0
74,0
52,0
25,0
0,0
19,0
28,0
27,0
22,0
16,0
13,0
10,0
8,0
5,0
4,0
7,0
17,0
29,0
34,0
26,0
14,0
7,0
11,0
20,0
27,0
23,0
7,0
19,0
50,0
75,0
83,0
63,0
14,0
41,0
82,0
91,0
74,0
47,0
35,0
43,0
60,0
69,0
61,0
35,0
3,0
25,0
42,0
47,0
45,0
42,0
34,0
24,0
11,0
1,0
0,0
6,0
18,0
30,0
39,0
42,0
40,0
30,0
13,0
6,0
18,0
20,0
15,0
15,0
26,0
50,0
75,0
93,0
91,0
68,0
29,0
7,0
31,0
38,0
36,0
33,0
29,0
24,0
15,0
5,0
1,0
5,0
9,0
6,0
0,0
0,0
8,0
19,0
23,0
12,0
10,0
32,0
45,0
43,0
30,0
16,0
8,0
11,0
17,0
18,0
13,0
3,0
6,0
15,0
24,0
29,0
30,0
25,0
15,0
7,0
2,0
2,0
3,0
0,0
9,0
23,0
34,0
36,0
31,0
26,0
26,0
32,0
37,0
34,0
21,0
3,0
16,0
34,0
44,0
45,0
35,0
17,0
2,0
11,0
10,0
2,0
4,0
7,0
9,0
10,0
10,0
10,0
8,0
5,0
0,0
5,0
10,0
13,0
15,0
19,0
21,0
19,0
16,0
13,0
12,0
13,0
12,0
5,0
2,0
7,0
4,0
3,0
13,0
21,0
21,0
15,0
5,0
5,0
11,0
10,0
4,0
5,0
9,0
5,0
3,0
12,0
15,0
11,0
4,0
1,0
0,0
9,0
16,0
12,0
3,0
22,0
34,0
34,0
27,0
18,0
13,0
10,0
7,0
3,0
1,0
8,0
11,0
9,0
4,0
4,0
7,0
14,0
19,0
16,0
7,0
3,0
10,0
10,0
8,0
13,0
23,0
34,0
40,0
38,0
27,0
13,0
1,0
6,0
10,0
11,0
9,0
5,0
2,0
4,0
10,0
12,0
8,0
0,0
4,0
5,0
8,0
11,0
12,0
8,0
6,0
14,0
25,0
31,0
28,0
16,0
0,0
15,0
29,0
43,0
55,0
57,0
50,0
36,0
19,0
4,0
8,0
19,0
28,0
33,0
34,0
35,0
37,0
41,0
44,0
40,0
30,0
16,0
1,0
6,0
6,0
1,0
0,0
6,0
18,0
29,0
36,0
37,0
34,0
25,0
10,0
8,0
25,0
34,0
32,0
23,0
15,0
11,0
12,0
12,0
14,0
12,0
6,0
0,0
2,0
2,0
14,0
26,0
30,0
21,0
1,0
19,0
33,0
39,0
36,0
28,0
15,0
1,0
21,0
39,0
46,0
44,0
35,0
29,0
26,0
21,0
6,0
16,0
39,0
56,0
60,0
48,0
24,0
0,0
20,0
30,0
33,0
28,0
16,0
2,0
4,0
0,0
10,0
20,0
23,0
18,0
10,0
4,0
0,0
1,0
4,0
7,0
12,0
12,0
9,0
9,0
12,0
12,0
4,0
9,0
23,0
29,0
29,0
26,0
22,0
17,0
15,0
16,0
20,0
23,0
24,0
22,0
14,0
1,0
17,0
30,0
34,0
32,0
25,0
14,0
5,0
1,0
0,0
2,0
3,0
3,0
1,0
3,0
8,0
13,0
20,0
25,0
29,0
24,0
10,0
8,0
26,0
36,0
40,0
36,0
28,0
19,0
13,0
13,0
12,0
6,0
5,0
15,0
17,0
12,0
1,0
8,0
13,0
10,0
2,0
1,0
14,0
40,0
62,0
67,0
52,0
29,0
11,0
0,0
7,0
15,0
23,0
35,0
44,0
42,0
31,0
18,0
12,0
11,0
14,0
14,0
10,0
6,0
9,0
16,0
24,0
23,0
15,0
0,0
15,0
28,0
35,0
37,0
35,0
27,0
15,0
0,0
16,0
27,0
29,0
19,0
5,0
4,0
10,0
15,0
23,0
32,0
33,0
29,0
26,0
28,0
35,0
39,0
36,0
28,0
17,0
7,0
1,0
0,0
1,0
5,0
6,0
3,0
5,0
12,0
12,0
1,0
17,0
36,0
46,0
44,0
30,0
10,0
4,0
11,0
11,0
7,0
1,0
8,0
20,0
24,0
16,0
0,0
16,0
22,0
18,0
11,0
4,0
0,0
3,0
3,0
2,0
0,0
4,0
14,0
26,0
36,0
41,0
39,0
31,0
25,0
18,0
8,0
11,0
30,0
42,0
44,0
33,0
15,0
3,0
20,0
27,0
26,0
22,0
20,0
16,0
12,0
4,0
3,0
9,0
12,0
15,0
21,0
24,0
23,0
14,0
2,0
22,0
36,0
41,0
39,0
34,0
29,0
20,0
4,0
7,0
12,0
7,0
0,0
6,0
6,0
1,0
8,0
20,0
26,0
23,0
19,0
16,0
15,0
14,0
12,0
7,0
0,0
8,0
13,0
14,0
14,0
17,0
21,0
21,0
20,0
20,0
18,0
7,0
9,0
27,0
40,0
44,0
41,0
35,0
26,0
8,0
15,0
40,0
59,0
68,0
68,0
62,0
52,0
39,0
27,0
17,0
3,0
13,0
22,0
18,0
5,0
8,0
18,0
16,0
6,0
4,0
13,0
23,0
33,0
43,0
49,0
47,0
37,0
14,0
14,0
37,0
48,0
49,0
42,0
27,0
3,0
22,0
39,0
42,0
36,0
23,0
10,0
1,0
7,0
10,0
14,0
20,0
28,0
34,0
36,0
39,0
40,0
39,0
32,0
23,0
15,0
11,0
4,0
3,0
12,0
19,0
22,0
23,0
21,0
22,0
22,0
21,0
21,0
18,0
13,0
8,0
2,0
5,0
16,0
22,0
18,0
3,0
18,0
32,0
33,0
21,0
0,0
18,0
33,0
40,0
41,0
34,0
20,0
3,0
8,0
14,0
12,0
6,0
3,0
12,0
17,0
15,0
5,0
3,0
1,0
11,0
28,0
33,0
18,0
1,0
3,0
27,0
58,0
74,0
70,0
45,0
11,0
20,0
39,0
43,0
36,0
26,0
13,0
0,0
14,0
23,0
24,0
17,0
6,0
6,0
18,0
27,0
35,0
41,0
45,0
49,0
53,0
52,0
42,0
26,0
6,0
7,0
15,0
18,0
18,0
17,0
15,0
11,0
7,0
2,0
0,0
1,0
7,0
14,0
19,0
20,0
20,0
21,0
27,0
33,0
37,0
30,0
15,0
0,0
8,0
3,0
11,0
26,0
33,0
29,0
13,0
5,0
18,0
22,0
18,0
11,0
4,0
2,0
6,0
11,0
18,0
28,0
34,0
35,0
28,0
16,0
3,0
6,0
15,0
25,0
38,0
49,0
54,0
50,0
42,0
30,0
17,0
1,0
14,0
29,0
42,0
46,0
43,0
31,0
19,0
11,0
6,0
2,0
10,0
19,0
23,0
22,0
16,0
10,0
0,0
18,0
38,0
51,0
51,0
41,0
27,0
14,0
4,0
3,0
11,0
16,0
20,0
20,0
14,0
1,0
11,0
20,0
23,0
22,0
15,0
7,0
0,0
4,0
6,0
8,0
8,0
6,0
7,0
9,0
11,0
15,0
16,0
17,0
18,0
23,0
26,0
27,0
25,0
20,0
14,0
6,0
0,0
3,0
4,0
11,0
28,0
53,0
77,0
90,0
87,0
72,0
53,0
37,0
22,0
6,0
6,0
15,0
13,0
6,0
0,0
1,0
4,0
13,0
21,0
25,0
26,0
26,0
25,0
24,0
23,0
25,0
26,0
26,0
21,0
15,0
8,0
2,0
3,0
11,0
18,0
24,0
27,0
25,0
18,0
10,0
7,0
7,0
6,0
0,0
6,0
8,0
3,0
3,0
12,0
21,0
29,0
34,0
38,0
38,0
36,0
30,0
19,0
9,0
3,0
15,0
29,0
41,0
50,0
52,0
42,0
20,0
2,0
19,0
21,0
16,0
15,0
19,0
28,0
36,0
40,0
38,0
30,0
19,0
9,0
0,0
5,0
9,0
13,0
15,0
14,0
11,0
6,0
0,0
5,0
6,0
1,0
15,0
28,0
39,0
42,0
41,0
37,0
29,0
16,0
1,0
22,0
42,0
53,0
57,0
50,0
37,0
23,0
11,0
4,0
3,0
9,0
15,0
21,0
18,0
11,0
1,0
16,0
30,0
33,0
24,0
8,0
3,0
9,0
11,0
12,0
9,0
1,0
16,0
28,0
35,0
37,0
34,0
25,0
10,0
10,0
32,0
51,0
62,0
65,0
59,0
47,0
31,0
14,0
