CH1,CH2
-99,-13
-55,-7
-4,-1
60,6
123,16
160,25
140,23
72,15
-2,10
-62,8
-97,3
-106,1
-107,0
-101,3
-71,7
-23,10
24,7
61,-1
87,-9
83,-16
48,-17
9,-11
-15,-2
-31,6
-37,10
-31,9
-16,6
-2,5
7,10
21,13
28,14
19,11
1,10
-3,12
10,17
29,21
32,19
23,12
11,4
1,-5
-4,-14
0,-20
5,-23
14,-19
16,-13
2,-3
-24,5
-50,14
-59,18
-53,20
-34,18
-9,12
13,4
35,0
55,-6
70,-9
76,-16
73,-21
66,-22
57,-18
43,-11
32,-4
26,-2
29,3
29,9
15,11
-17,10
-60,7
-81,8
-80,10
-61,12
-27,15
23,18
64,18
72,11
50,3
17,-1
-13,-3
-40,-4
-67,-5
-92,-2
-102,5
-82,15
-34,25
20,29
55,23
66,10
59,-1
42,-6
21,-8
-2,-9
-17,-10
-12,-10
4,-13
15,-15
8,-17
-26,-19
-67,-17
-73,-8
-39,4
9,15
47,23
64,29
55,29
26,24
0,15
-12,6
-11,0
0,-4
13,-2
24,2
25,10
13,15
-4,22
-16,25
-22,27
-20,23
-10,15
20,11
85,12
176,16
264,18
300,12
258,-2
154,-17
16,-24
-104,-22
-189,-19
-229,-18
-233,-17
-216,-11
-192,-3
-170,3
-149,4
-132,-4
-113,-14
-88,-15
-58,-12
-28,-11
4,-12
36,-13
67,-10
105,-3
131,1
129,3
110,3
107,8
131,16
163,24
179,28
164,23
104,8
18,-6
-46,-10
-76,-6
-87,0
-88,3
-72,11
-40,17
-17,20
-8,20
-2,20
4,16
0,11
-18,5
-39,0
-52,-1
-56,0
-51,1
-44,5
-48,6
-50,5
-32,5
0,3
34,1
51,1
51,5
48,12
51,16
56,12
49,4
28,-2
5,-9
-14,-13
-32,-15
-41,-12
-45,-8
-42,-4
-28,0
-6,1
13,2
32,4
47,7
54,6
62,5
83,5
106,6
110,7
90,8
64,11
35,12
-10,8
-58,3
-94,0
-111,0
-100,1
-70,-1
-40,-4
-26,-5
-24,-3
-18,2
-11,7
-1,13
3,14
3,9
0,1
7,-5
28,-7
47,-5
42,-1
16,2
-15,7
-34,13
-35,20
-22,25
0,30
26,29
51,23
56,8
43,-6
37,-16
43,-22
41,-28
29,-31
4,-32
-34,-31
-66,-26
-70,-13
-40,2
10,19
68,32
105,40
117,41
109,34
77,24
41,17
24,11
14,0
-1,-13
-21,-20
-53,-18
-93,-14
-127,-9
-148,-2
-147,4
-116,10
-73,9
-39,6
-22,4
-21,4
-28,4
-31,4
-20,3
0,2
21,5
36,9
51,14
62,11
64,4
68,-3
65,-6
59,-6
63,-3
75,0
77,1
67,1
49,1
31,-1
8,-4
-15,-6
-37,-6
-54,-2
-63,3
-63,11
-50,16
-26,17
2,18
26,16
41,12
34,9
17,8
7,7
8,8
25,12
54,11
74,2
66,-9
37,-18
7,-21
-16,-22
-31,-21
-24,-17
3,-10
47,-4
81,2
91,9
67,16
26,20
-19,19
-66,16
-115,14
-147,13
-151,14
-133,15
-105,14
-69,15
-31,15
-1,18
20,19
43,19
69,17
96,12
118,4
117,-6
84,-18
30,-23
-28,-24
-68,-22
-81,-18
-70,-14
-48,-8
-25,-4
-11,-2
-5,-1
-4,3
-3,9
-1,14
2,18
4,17
8,16
4,13
-1,7
4,0
32,-2
71,-2
101,-5
104,-9
83,-10
49,-8
26,-3
13,3
1,8
-15,8
-32,8
-42,11
-46,14
-55,11
-69,2
-75,0
-65,0
-48,-6
-28,-13
0,-14
28,-8
59,4
93,17
115,25
103,23
61,19
11,11
-25,2
-32,-4
-18,-5
-6,-7
-8,-9
-7,-8
3,-4
13,2
13,10
-2,14
-16,17
-4,19
30,21
53,21
43,19
18,16
-2,11
-21,4
-42,-1
-59,-3
-70,-4
-69,-9
-59,-13
-38,-19
-11,-21
4,-20
3,-16
-5,-8
-12,0
-14,8
-5,14
11,18
26,21
43,26
56,28
60,24
70,18
91,15
105,11
92,4
55,-6
17,-14
-6,-18
-12,-19
-11,-16
-20,-13
-43,-8
-70,-4
-91,1
-100,4
-98,6
-84,5
-57,1
-28,-7
0,-11
24,-9
42,-2
50,7
47,13
42,18
48,22
63,24
75,19
74,11
56,3
26,-4
-2,-8
-21,-10
-22,-11
-5,-7
14,-2
27,0
21,4
3,11
-10,21
-3,31
9,34
19,29
22,25
22,21
19,19
19,14
15,5
-2,-6
-32,-18
-71,-25
-102,-26
-97,-20
-63,-14
-36,-10
-30,-9
-38,-5
-39,0
-27,6
-12,10
11,12
41,11
61,1
63,-6
52,-13
31,-11
9,-5
-9,0
-26,2
-36,6
-40,15
-37,20
-20,22
25,25
103,26
188,22
245,8
249,-8
183,-23
70,-30
-35,-26
-109,-17
-144,-8
-138,1
-121,9
-101,17
-62,26
-12,29
17,25
17,15
-1,9
-32,4
-53,1
-58,3
-53,7
-32,8
16,8
74,7
102,2
100,-7
81,-12
45,-15
5,-11
-32,-7
-71,-4
-101,0
-116,10
-113,19
-97,23
-75,21
-51,12
-22,2
11,-4
38,-11
55,-15
62,-16
68,-13
63,-9
49,-3
43,2
56,6
102,10
180,15
233,14
214,8
134,5
34,5
-52,4
-106,4
-128,7
-130,11
-121,12
-104,11
-73,10
-49,3
-47,-3
-68,-9
-94,-15
-117,-18
-121,-19
-100,-14
-73,-9
-41,-5
0,-2
38,-3
64,-6
75,-7
75,-7
70,-3
66,1
64,2
62,4
63,15
62,28
58,41
59,51
58,51
55,44
63,35
75,26
75,19
57,10
27,1
4,-5
-10,-8
-26,-11
-40,-16
-47,-20
-47,-21
-48,-18
-60,-12
-67,-7
-57,-3
-36,-3
-8,-3
14,-4
18,-5
25,-1
46,4
68,8
75,11
62,9
28,8
-17,6
-55,5
-76,4
-79,3
-75,0
-71,-7
-65,-12
-51,-12
-33,-10
-13,-5
11,1
41,11
54,17
41,20
29,21
23,24
35,26
