CH1,CH2
82,68
89,28
85,50
70,147
74,197
68,146
68,286
59,118
61,43
67,205
83,201
73,134
79,38
78,325
72,201
59,104
78,50
74,24
76,112
72,204
81,72
77,114
75,72
72,36
81,50
76,112
71,62
61,40
87,165
72,39
62,79
75,57
81,137
74,31
69,68
45,58
66,73
85,58
80,170
50,77
64,71
87,28
77,86
62,15
69,116
73,32
82,26
87,30
81,30
82,82
74,175
75,56
71,84
69,412
72,126
77,47
67,72
85,98
81,170
76,86
81,188
79,202
61,40
63,55
76,70
74,231
72,169
74,63
73,136
69,37
76,25
77,34
75,26
67,23
70,28
74,38
76,71
80,78
89,104
73,100
64,54
58,240
74,121
67,212
81,78
63,66
70,63
71,32
77,37
81,44
63,157
41,104
75,46
101,30
95,28
87,169
79,38
72,23
76,70
58,9
63,81
82,91
73,75
57,96
71,43
93,81
86,147
75,51
67,122
76,95
59,86
59,203
71,28
70,34
88,33
99,9
80,86
75,123
73,32
42,21
78,43
77,58
74,30
84,5
76,27
67,41
72,99
84,122
84,27
84,32
92,154
69,214
66,31
68,94
81,106
70,423
61,213
65,28
66,28
71,8
81,60
99,47
83,65
67,115
69,44
70,101
72,57
67,45
80,43
82,123
76,91
64,33
72,244
78,72
79,94
81,203
62,128
84,25
83,105
68,57
67,155
77,93
85,100
70,10
72,34
71,110
72,43
74,32
68,76
83,115
84,99
56,100
64,171
74,41
88,126
66,107
77,211
85,217
67,219
97,58
74,98
72,48
70,211
68,238
78,50
73,190
83,242
75,83
73,34
78,107
64,154
46,57
67,118
81,99
97,179
95,128
73,30
81,249
77,225
83,10
68,23
61,62
60,112
60,76
74,32
74,32
75,40
85,16
78,63
80,44
85,32
88,54
91,96
83,35
71,24
68,49
74,90
83,150
69,27
71,71
72,89
83,48
79,103
72,112
67,104
62,60
80,264
88,242
61,186
76,147
83,170
95,87
73,57
73,81
70,56
62,85
60,190
71,92
76,25
81,78
69,36
88,163
89,141
97,162
82,138
77,22
73,145
88,80
70,26
64,30
69,31
77,39
72,37
74,39
75,47
83,98
60,29
71,29
83,120
98,97
82,55
78,162
74,58
80,94
75,35
74,38
85,69
80,86
68,48
75,147
82,38
85,104
72,44
73,133
85,248
91,159
72,50
64,79
68,82
90,34
78,43
87,60
85,185
91,210
81,30
63,32
72,133
95,84
75,32
69,76
69,42
88,29
70,128
75,39
77,46
90,73
73,113
65,148
80,32
98,45
78,34
94,84
81,28
85,54
85,162
79,196
57,35
96,217
67,178
74,92
78,31
88,79
71,100
73,29
73,28
104,15
79,100
78,76
84,91
92,50
61,57
69,34
63,43
81,22
70,31
84,26
92,31
107,166
64,28
74,89
78,167
71,26
65,27
71,70
67,27
85,19
70,33
75,107
84,30
80,40
80,90
78,26
84,25
82,11
75,25
70,32
69,29
85,60
66,84
79,75
92,88
88,15
79,52
76,147
71,59
71,72
73,96
66,117
80,34
70,209
68,157
77,36
87,74
90,115
74,113
64,125
72,33
71,91
78,49
74,37
79,41
81,88
62,82
74,30
73,90
69,51
59,154
82,138
86,34
79,166
77,75
79,165
69,32
75,53
68,30
81,50
71,46
85,42
70,40
76,163
74,55
64,41
67,56
68,45
76,31
75,12
76,66
83,28
81,28
65,82
72,162
75,226
76,41
67,301
67,382
82,120
81,28
86,61
73,24
72,93
78,30
80,152
64,75
60,100
76,27
86,47
80,40
75,34
77,69
72,125
62,25
69,48
71,68
86,18
83,58
80,150
83,30
73,243
83,225
67,180
60,104
76,329
85,111
80,92
78,80
92,29
74,50
78,77
67,119
75,151
71,79
81,56
85,211
83,145
73,70
63,112
59,188
70,89
78,211
69,53
67,160
86,109
66,106
68,32
77,31
84,44
93,36
62,49
78,34
70,43
78,45
69,104
70,61
66,27
71,153
75,208
93,79
88,94
66,186
60,32
71,28
67,39
85,26
80,79
70,123
86,207
85,34
71,217
73,52
75,40
60,50
64,47
71,113
92,42
80,87
82,106
71,33
72,45
74,24
73,46
77,40
79,62
69,38
82,56
80,37
71,67
75,42
83,92
78,118
78,194
76,53
73,233
77,105
68,49
76,152
63,32
68,32
73,35
78,56
75,55
75,141
92,91
88,245
85,194
74,42
64,33
71,157
67,128
64,60
77,52
68,26
65,91
72,32
89,139
85,52
77,30
76,126
74,33
70,101
