CH1,CH2
108,21
184,21
317,28
441,47
259,22
182,43
352,25
113,25
90,23
71,31
97,24
122,10
25,47
74,29
75,23
102,29
118,22
148,31
168,52
204,49
187,74
117,22
84,55
99,92
117,53
96,26
142,29
140,25
124,17
93,33
112,25
130,14
110,21
96,33
63,25
98,16
101,36
144,22
167,24
177,90
116,25
84,45
99,70
141,55
134,72
200,41
147,25
149,93
232,71
83,43
99,24
97,24
78,34
73,28
90,27
75,29
102,43
99,43
91,44
81,34
49,5
123,64
201,36
140,33
150,23
104,54
159,28
147,24
85,35
140,40
79,34
121,70
83,26
75,35
86,25
112,22
138,32
282,22
137,22
85,36
114,31
286,21
82,9
131,55
126,22
92,24
123,32
146,30
118,25
83,26
78,28
88,37
81,33
157,26
157,21
88,24
82,27
77,22
74,28
92,39
67,30
99,37
107,26
86,38
85,22
73,30
42,31
102,41
129,45
140,22
114,27
113,29
81,21
75,26
96,23
115,29
98,21
60,22
85,34
122,20
95,31
77,28
84,21
100,23
89,22
80,39
65,47
117,26
226,43
255,47
120,22
158,39
310,22
107,39
134,26
152,83
165,27
126,56
78,38
112,36
148,28
89,28
76,29
89,25
118,59
106,22
147,27
98,29
144,24
212,21
120,41
23,25
122,23
54,26
100,33
109,26
111,25
136,22
145,27
99,20
94,29
99,46
112,26
118,42
128,26
78,27
88,36
147,102
118,27
75,32
81,35
71,25
87,42
115,48
132,22
142,66
86,56
96,23
103,31
145,23
151,24
163,21
142,23
47,27
228,27
73,24
105,21
77,20
82,23
86,24
47,19
83,29
121,29
175,90
193,79
115,16
110,26
81,22
98,113
86,54
120,26
207,74
87,24
131,35
114,40
79,32
113,41
115,25
127,21
75,26
77,24
105,37
81,39
77,30
77,71
68,85
161,118
134,24
60,44
89,26
126,42
115,46
140,31
110,50
155,21
120,41
133,23
166,20
82,21
139,14
149,20
130,21
84,43
81,24
102,32
108,43
81,34
101,26
90,32
99,32
94,39
100,43
112,53
165,24
101,22
130,24
68,72
88,92
85,23
86,21
96,23
153,35
190,68
80,38
112,34
135,34
165,21
127,8
133,16
79,65
99,44
112,21
87,24
95,47
104,21
133,30
142,31
127,29
91,56
73,30
228,52
68,28
110,21
105,25
92,30
117,24
74,20
123,21
128,24
142,29
77,42
71,49
115,21
141,69
125,38
76,25
62,23
98,20
167,30
241,32
172,25
45,23
239,20
291,47
176,22
130,19
118,17
121,24
143,36
121,35
122,23
177,48
175,29
173,24
157,25
126,24
92,38
91,35
164,99
170,22
135,35
125,22
185,26
12,25
87,32
96,31
81,26
84,22
115,35
102,22
83,35
111,24
92,31
86,23
110,13
123,26
87,21
71,37
75,49
90,67
121,7
114,20
156,51
155,38
137,38
87,29
0,25
95,21
74,27
71,28
102,21
79,20
153,24
103,21
89,36
98,40
95,31
110,29
122,21
81,25
73,25
70,22
87,35
85,28
79,28
145,46
150,22
143,32
133,38
93,55
118,55
102,43
90,25
135,57
102,55
109,38
83,24
132,26
246,21
155,22
293,27
309,28
169,22
80,31
93,23
189,33
202,23
194,51
98,86
77,42
74,41
91,40
149,27
161,47
90,48
83,94
78,75
146,21
155,51
137,66
91,49
105,21
88,35
89,50
111,49
83,48
142,25
137,74
151,62
85,35
117,28
132,24
110,24
110,29
246,25
130,21
144,22
116,22
119,43
217,40
168,35
123,67
145,54
77,20
92,47
131,33
90,27
76,47
102,42
77,25
79,23
130,23
140,24
89,33
93,37
111,80
245,80
182,26
147,93
89,104
64,31
92,20
160,21
175,34
136,60
92,38
110,26
61,22
79,25
101,22
126,25
187,22
155,33
112,24
87,23
88,22
113,24
104,21
138,21
101,23
92,23
75,39
61,33
114,26
132,30
116,23
110,33
80,43
86,21
130,65
95,30
120,21
89,26
99,27
86,32
77,23
66,22
102,31
183,48
121,21
128,32
163,27
82,23
78,27
213,42
131,27
124,67
88,87
71,54
98,23
155,87
173,78
114,55
77,60
89,35
89,21
149,55
162,39
73,22
96,25
132,59
126,56
53,38
85,36
87,49
75,58
97,52
73,44
83,25
129,32
163,46
196,31
206,22
127,30
120,33
129,25
151,44
94,26
122,21
126,24
149,17
168,24
113,43
121,27
112,33
82,32
160,18
79,31
142,22
129,30
119,21
114,47
97,21
89,23
97,28
100,27
106,36
70,10
75,22
70,23
116,31
125,66
151,49
220,25
125,50
86,26
152,22
115,23
210,74
158,77
157,27
100,55
217,97
93,110
153,37
217,107
158,62
94,19
151,22
196,39
112,22
258,29
195,43
140,23
152,51
122,36
154,24
149,20
190,25
137,26
22,47
82,35
83,21
118,28
120,31
74,9
112,28
128,25
115,57
71,62
316,33
190,26
205,22
134,25
278,26
204,23
140,7
99,20
76,57
125,80
162,25
154,29
95,51
80,27
79,63
107,77
124,38
84,20
37,33
129,21
87,41
93,91
100,55
208,36
138,52
119,104
118,30
143,26
187,22
185,24
116,22
114,23
136,35
149,43
139,7
84,30
89,25
98,31
85,57
81,22
137,91
156,57
98,48
132,58
81,20
99,22
4,68
204,78
90,27
165,22
153,21
95,47
118,34
111,48
66,23
116,22
124,27
127,10
108,21
180,48
149,67
144,64
112,56
134,25
91,26
90,21
84,30
78,24
77,47
115,20
112,24
105,20
97,21
73,24
45,21
95,35
70,51
130,68
98,58
87,25
55,39
106,32
161,38
206,23
98,52
122,68
87,30
104,36
74,18
84,61
129,57
115,13
86,52
82,59
90,28
95,28
102,37
87,19
84,26
72,23
108,50
84,37
132,22
197,41
204,25
132,24
84,24
80,30
106,31
132,25
128,23
102,28
63,37
218,46
185,30
105,21
101,22
126,25
95,22
154,44
180,24
160,27
101,23
91,22
