CH1,CH2
84,29
92,29
86,27
85,32
96,28
91,30
86,30
85,30
82,28
81,35
92,29
80,29
92,29
88,26
83,29
84,40
74,40
81,30
81,27
82,28
82,29
83,31
83,31
91,27
90,28
91,28
78,26
94,26
82,29
96,27
93,46
75,31
78,27
79,32
79,29
91,27
90,40
93,27
83,28
84,31
83,29
96,27
91,28
76,28
79,30
81,29
82,32
94,27
89,27
100,37
92,31
87,28
86,28
87,26
84,48
78,31
90,29
83,28
86,27
86,31
86,26
77,35
78,26
83,29
81,27
81,27
82,27
74,31
80,27
82,28
83,27
81,28
80,30
73,33
85,31
84,28
81,27
83,29
82,27
75,29
93,31
87,27
85,27
86,26
85,28
82,27
83,29
88,27
84,27
86,26
82,28
84,36
90,31
88,30
81,26
82,28
80,29
80,29
77,29
82,28
81,27
76,27
81,33
82,40
81,28
81,29
82,27
81,26
84,31
84,34
81,27
81,26
83,27
82,26
89,30
88,33
83,27
83,27
82,26
84,26
93,31
92,26
78,26
78,27
80,26
80,27
78,30
93,31
82,28
77,28
80,30
80,27
91,31
100,37
79,30
79,31
81,29
92,28
90,26
91,35
83,26
83,31
83,30
97,28
92,27
92,34
83,29
81,30
84,29
93,31
88,27
87,28
81,32
79,31
78,29
92,29
87,27
99,34
88,32
78,31
81,29
92,29
88,27
108,36
77,26
87,27
85,26
80,31
85,34
94,27
86,27
84,29
85,26
82,31
84,31
97,30
89,26
83,27
81,27
79,31
80,31
94,31
87,27
83,27
82,27
83,30
82,32
105,30
78,27
78,28
92,33
90,29
86,28
90,26
80,27
78,29
93,31
89,29
85,28
94,28
80,26
79,31
94,30
89,29
87,26
103,36
83,25
92,27
86,26
85,30
84,31
81,29
79,30
88,26
84,27
83,28
83,31
95,30
76,29
88,26
84,27
83,27
82,32
90,31
89,29
90,27
85,27
85,27
84,31
98,27
83,28
93,27
88,26
84,27
87,37
106,29
80,27
82,33
82,29
95,29
89,27
90,31
79,28
79,31
79,30
92,27
88,27
92,30
88,27
74,31
79,27
91,27
80,28
93,30
84,31
83,30
88,31
95,27
88,27
109,31
86,31
96,28
94,27
92,26
88,26
125,27
90,30
89,27
85,31
87,32
96,28
80,28
81,29
81,28
81,31
80,29
85,27
81,33
81,27
76,27
83,29
82,29
85,27
86,30
77,26
81,29
82,31
82,29
97,27
89,32
77,27
83,26
85,31
90,28
97,32
93,33
80,27
81,32
80,30
82,29
92,27
89,29
75,26
78,30
76,31
86,29
91,27
98,33
84,27
82,32
80,30
92,29
93,27
110,38
92,31
90,30
88,30
86,27
86,26
95,26
85,28
88,30
87,29
84,27
84,26
98,27
81,26
94,27
91,29
84,27
81,26
95,29
87,30
87,29
83,28
85,28
82,27
105,38
81,29
82,26
82,29
86,32
90,29
96,32
85,27
84,28
86,29
86,31
89,28
97,30
79,26
82,27
83,30
83,30
91,28
102,37
75,30
90,30
89,27
83,27
83,27
83,36
75,30
89,29
89,27
84,26
83,27
92,33
77,29
91,27
90,28
86,27
84,28
92,29
91,29
79,29
89,29
87,25
80,27
100,33
89,29
83,27
84,28
82,30
92,29
85,27
80,27
79,27
80,26
80,31
91,30
87,31
82,27
80,27
82,26
85,26
93,29
97,24
89,25
84,27
84,26
93,34
96,31
95,29
82,28
83,26
80,31
94,31
93,29
100,36
80,31
78,30
91,28
90,27
85,27
87,32
73,31
76,28
89,27
87,27
85,38
92,27
75,30
76,31
90,27
87,27
85,29
98,32
79,30
78,30
95,27
90,26
87,26
99,26
79,31
88,29
95,27
89,26
84,27
105,22
86,27
80,27
80,34
82,30
88,29
89,31
88,28
79,27
79,31
80,30
90,29
94,27
88,27
79,27
79,31
82,31
94,28
103,31
91,31
82,32
80,29
94,31
92,26
112,31
88,27
92,27
90,26
88,28
89,28
86,38
83,28
87,27
84,26
83,29
83,28
81,25
71,28
85,28
82,28
80,29
82,35
88,27
92,29
89,29
86,28
86,30
86,32
92,28
90,27
88,27
85,26
84,30
84,29
91,29
87,26
81,27
82,26
82,31
83,29
98,29
81,26
78,27
83,28
81,31
76,29
94,39
78,31
82,26
83,29
82,30
80,31
102,31
79,27
76,26
92,29
93,31
86,27
91,29
89,30
79,28
81,31
91,26
87,28
97,27
80,26
81,29
94,30
91,32
87,27
118,32
92,28
91,28
86,26
85,27
82,30
87,27
81,29
88,28
85,27
83,28
83,28
84,31
72,28
86,28
85,27
82,26
85,33
99,32
88,29
90,28
85,27
85,27
85,32
98,28
89,29
90,27
86,27
85,27
85,31
107,27
82,29
77,26
81,28
93,27
88,27
88,26
78,30
78,32
79,31
94,29
88,27
92,32
80,27
78,32
80,30
93,27
91,27
97,29
84,29
83,31
85,29
96,28
92,27
104,31
82,33
89,28
84,28
85,28
83,27
84,30
79,32
85,29
83,28
83,28
82,28
91,31
89,31
89,29
86,27
86,28
86,27
101,35
76,26
83,34
82,31
81,31
97,30
87,31
97,27
85,30
83,31
81,30
96,29
87,27
83,26
83,30
84,31
82,29
97,27
92,35
84,27
83,30
83,32
83,29
95,30
95,37
80,31
78,30
82,27
86,29
93,27
101,35
79,31
91,27
87,27
86,26
85,31
92,30
85,27
91,28
88,27
86,28
86,31
94,27
89,26
92,27
83,27
86,28
86,31
96,27
94,31
89,27
83,28
84,30
83,32
127,33
91,28
81,27
82,30
83,31
82,30
86,28
90,27
83,26
83,30
84,31
83,29
92,30
76,27
84,29
82,30
84,31
87,31
99,27
85,27
85,28
83,30
84,32
90,31
104,40
79,30
91,30
90,27
86,28
83,28
84,30
81,26
73,29
91,27
86,27
82,27
90,21
80,31
92,29
93,29
90,27
87,28
96,29
78,31
92,27
92,27
88,27
90,27
103,38
92,28
83,27
79,28
82,28
94,31
77,30
83,30
83,27
83,26
84,32
96,29
89,32
85,29
83,28
82,28
82,32
95,31
95,32
83,28
81,28
82,26
87,32
96,31
98,29
85,28
82,26
82,27
84,30
94,28
102,31
80,33
80,32
94,29
91,27
88,29
91,30
78,32
80,31
92,29
93,27
88,27
96,31
76,31
77,31
92,28
95,29
85,27
104,32
95,27
85,27
83,30
86,32
84,30
87,31
86,27
85,27
84,31
85,31
86,29
89,28
91,28
83,27
83,31
82,31
85,30
90,33
92,29
82,27
80,32
84,29
90,30
87,31
91,31
83,26
81,31
84,31
95,29
115,28
88,27
94,31
92,30
89,27
88,27
91,30
83,30
93,33
91,30
83,30
86,27
90,25
72,28
89,39
92,31
83,29
85,29
99,24
76,29
91,33
87,29
83,27
84,31
96,35
75,30
92,31
87,30
84,28
86,28
108,29
82,26
79,27
84,28
85,30
85,31
93,25
83,31
87,27
86,29
87,29
84,30
98,27
83,26
85,28
83,27
83,31
82,29
97,29
79,31
83,27
83,28
81,31
82,29
105,37
82,34
82,30
94,28
93,29
88,27
88,27
83,31
83,31
93,29
92,27
88,27
117,28
94,31
99,29
93,29
91,27
90,30
91,34
88,29
94,31
89,27
83,27
85,33
88,31
82,28
90,30
86,27
82,28
83,32
87,31
87,29
90,28
86,27
83,27
85,31
91,32
94,29
93,28
91,28
88,27
89,32
103,31
96,29
84,31
85,32
96,28
92,28
88,25
91,29
80,32
81,31
96,29
91,27
91,31
84,28
81,32
81,30
96,29
93,27
96,31
85,28
85,32
84,29
98,30
93,27
88,31
80,33
81,32
82,29
97,31
94,27
111,27
89,29
86,29
85,27
85,28
86,26
