CH1,CH2
65,97
156,76
314,48
117,48
84,59
422,49
220,77
30,45
30,35
45,38
163,26
26,36
16,62
25,19
125,134
27,51
50,24
41,32
31,16
34,17
36,52
28,69
47,78
84,24
26,7
155,15
134,19
37,17
147,37
34,24
160,23
36,26
119,35
36,29
22,26
212,18
216,7
59,46
65,16
169,13
55,33
48,21
46,18
55,22
120,20
215,14
40,49
80,122
138,7
70,14
60,28
35,16
40,12
31,45
291,29
147,53
122,6
77,16
81,20
50,12
88,21
26,26
27,13
33,13
52,14
33,21
101,13
33,15
115,14
199,24
58,19
210,15
72,13
44,35
31,19
151,15
214,24
65,63
216,18
196,54
162,85
201,108
44,63
22,32
262,66
418,15
119,58
31,20
43,7
29,46
47,37
47,17
38,71
90,16
50,27
35,28
38,68
35,18
158,49
113,32
60,9
162,18
33,30
88,17
57,30
44,49
36,78
46,67
148,7
64,14
92,48
38,81
55,120
82,42
47,20
167,21
60,27
35,55
25,71
76,41
75,33
158,23
66,51
122,60
108,26
45,191
88,158
61,128
78,46
32,16
61,50
45,107
47,126
111,29
445,13
95,14
109,39
200,53
183,16
213,15
173,41
149,43
71,22
43,46
78,43
35,72
93,49
61,14
60,38
32,27
61,15
168,44
165,75
47,18
52,33
32,35
160,9
40,57
50,105
86,52
113,42
75,17
43,14
121,14
94,21
26,16
43,49
78,19
120,18
161,47
53,18
80,19
29,21
60,26
29,15
94,31
185,22
71,24
119,127
339,64
105,39
51,35
87,116
59,16
113,9
151,24
78,42
118,39
75,51
47,19
65,34
27,35
62,28
48,18
67,15
60,25
35,24
45,15
65,14
122,59
39,13
67,26
196,14
87,16
40,30
141,46
263,120
290,51
382,61
258,16
20,12
58,14
54,27
40,26
110,28
37,68
38,16
57,20
38,17
37,21
136,65
81,38
70,24
41,19
168,53
82,18
118,13
47,16
90,27
195,47
93,44
40,107
33,25
28,27
54,81
51,66
34,21
66,52
46,19
61,15
49,15
77,23
39,24
78,15
26,23
51,48
85,102
33,28
48,76
36,50
36,31
75,15
53,25
108,21
75,24
133,38
182,64
40,16
113,15
34,34
43,24
53,19
105,34
52,19
79,28
36,19
173,57
