CH1,CH2
78,76
65,68
35,40
23,28
32,127
53,152
62,91
41,65
37,17
46,54
51,98
30,128
29,162
32,139
34,82
0,65
36,30
23,20
31,22
31,14
35,20
49,33
81,82
134,58
127,49
89,23
114,24
124,16
34,116
58,247
13,164
35,29
79,161
58,281
91,230
90,139
248,217
206,174
59,27
26,108
107,162
56,150
100,124
83,74
31,62
36,82
32,29
27,14
92,19
128,73
41,40
55,106
25,102
27,198
40,227
122,117
234,94
267,368
154,355
50,285
159,45
287,207
328,91
30,22
33,57
45,93
126,100
208,12
87,63
35,163
45,133
44,89
39,17
72,28
88,28
30,53
58,91
35,59
217,34
182,15
27,26
42,35
215,20
284,73
62,139
30,167
69,292
103,277
134,190
24,29
36,470
30,418
30,186
41,20
24,129
4,211
54,202
224,177
127,93
89,52
61,114
42,258
32,162
56,89
179,23
184,39
86,16
94,112
51,31
37,134
99,239
70,218
203,163
84,80
75,27
99,20
81,37
243,74
32,46
31,66
37,81
44,79
57,102
42,104
31,63
25,24
23,19
41,102
40,299
21,198
54,108
42,65
49,15
42,50
30,95
10,52
29,29
29,50
38,79
48,68
76,41
114,45
63,33
58,23
58,14
49,13
36,94
172,239
241,83
94,42
45,76
113,45
235,109
219,205
282,51
183,75
27,63
62,43
63,31
45,19
38,36
78,73
51,92
57,148
49,143
117,86
137,103
68,58
45,59
14,249
129,381
89,163
81,15
38,14
40,8
35,29
93,18
77,24
28,84
23,47
49,17
189,18
164,47
178,69
149,94
88,15
38,65
208,69
197,87
180,20
39,75
38,137
104,141
106,99
62,34
65,54
104,219
0,241
38,185
31,116
118,42
133,89
39,39
35,102
101,101
35,16
25,42
62,54
18,77
68,18
68,61
32,132
130,167
147,108
58,57
53,115
42,84
107,125
206,170
83,103
159,75
73,36
70,63
34,143
35,116
90,55
150,25
102,74
61,53
25,84
44,106
31,43
32,59
26,76
37,83
48,74
41,75
39,67
29,28
33,54
70,143
167,205
83,175
48,75
92,65
220,115
103,79
36,94
22,65
31,16
31,48
27,70
36,22
54,18
51,29
28,14
40,16
98,15
91,126
67,223
56,190
31,41
60,16
99,56
81,133
62,104
66,95
34,146
39,99
35,44
22,30
20,82
30,89
27,138
52,254
142,55
99,59
71,66
25,164
37,136
32,74
93,94
357,152
360,43
141,294
43,345
442,193
509,63
368,16
264,37
105,135
26,114
40,85
74,44
81,52
48,181
54,239
43,339
120,168
28,17
49,43
38,95
87,139
106,73
125,139
122,265
140,144
138,80
35,100
80,93
159,204
117,270
155,303
48,302
240,92
262,146
59,329
182,289
207,80
78,40
33,25
31,354
28,456
35,204
30,21
6,18
51,30
104,77
41,182
46,80
29,15
0,31
69,40
99,13
64,16
72,63
34,95
88,77
96,51
262,25
281,38
26,94
123,69
60,15
174,69
422,118
312,120
51,36
232,84
218,126
243,97
66,31
48,93
40,91
218,22
256,21
34,19
39,93
42,119
89,52
37,36
149,54
49,47
60,56
72,36
99,52
58,78
41,104
30,65
23,42
57,105
12,99
31,68
27,53
23,70
28,17
29,23
39,19
42,44
21,43
61,20
41,13
31,14
9,17
50,59
140,36
182,14
117,13
49,28
8,56
68,30
41,77
41,113
34,113
49,44
124,25
184,84
119,73
37,18
48,34
83,67
70,109
70,37
57,52
30,157
93,222
17,86
59,47
40,124
27,235
105,217
67,89
28,20
35,87
48,79
51,71
28,177
42,270
25,335
24,109
45,56
42,31
29,51
155,75
179,42
65,95
34,129
188,120
21,171
99,131
28,287
59,180
110,283
32,352
24,237
32,175
100,40
75,47
44,39
115,29
80,32
34,14
50,13
63,22
43,29
8,99
38,100
92,105
49,65
41,52
77,50
86,36
106,85
44,146
42,90
46,90
69,243
123,177
35,66
81,18
111,31
73,62
174,28
118,63
102,83
37,38
35,40
39,44
124,103
214,113
80,64
74,16
75,15
63,19
31,13
27,18
46,22
41,46
33,17
47,23
23,13
25,26
44,18
46,27
37,26
45,62
45,48
49,76
43,102
69,16
56,55
56,38
67,76
100,28
241,40
34,18
57,16
86,25
73,82
35,185
131,40
173,108
169,174
51,223
69,297
45,183
27,56
32,88
27,310
65,298
75,115
56,21
84,29
31,21
48,35
30,81
31,220
34,253
55,160
63,16
41,56
32,44
41,17
69,16
72,24
85,61
116,77
70,51
43,78
30,103
46,39
0,48
35,29
47,15
82,34
137,35
122,38
24,72
53,106
55,242
54,147
31,20
24,73
27,52
47,38
49,19
67,62
35,91
24,20
16,72
33,56
29,13
27,20
30,63
31,22
63,84
45,142
36,121
37,81
48,22
47,23
50,15
27,22
31,38
56,29
35,15
27,36
40,58
54,52
24,14
45,15
32,97
52,195
137,244
34,317
106,357
146,171
59,75
116,547
354,544
243,236
131,215
66,97
303,32
65,31
28,70
28,70
54,54
42,19
49,58
36,30
53,31
40,93
43,42
33,33
37,14
31,21
29,57
23,38
34,37
36,31
107,39
49,25
225,19
121,35
120,50
102,124
106,61
144,86
28,125
37,130
59,73
250,19
209,25
32,56
128,56
244,26
7,18
33,88
49,152
25,121
26,141
34,135
23,66
29,15
23,63
41,54
30,23
28,51
26,130
38,62
33,147
31,161
36,94
76,94
60,53
46,54
38,43
39,19
50,33
55,73
31,37
42,46
40,59
29,43
46,14
70,8
64,14
15,15
30,51
30,15
35,17
60,22
53,20
45,40
159,14
83,40
45,39
51,37
34,53
47,60
39,81
37,14
47,62
48,163
44,144
31,20
45,15
38,58
36,17
9,52
50,158
25,145
40,88
45,155
33,130
5,125
31,119
25,27
31,32
34,14
106,53
54,66
44,74
146,21
70,61
41,116
90,145
109,62
112,38
176,95
68,134
52,68
243,46
214,16
84,16
98,26
93,45
96,81
37,27
32,22
53,30
99,29
138,22
36,7
12,43
25,25
38,12
26,16
32,15
83,27
2,109
68,102
34,52
39,19
37,62
50,151
36,212
25,197
30,105
39,71
44,22
39,12
36,87
51,271
42,346
49,164
36,81
35,61
37,30
29,22
35,49
32,42
25,86
110,77
35,46
44,48
33,27
29,18
23,47
45,87
138,24
86,13
73,25
65,32
27,11
108,18
87,59
32,68
78,37
86,90
65,96
73,61
139,65
150,72
130,15
62,27
29,57
199,188
227,121
33,26
26,23
23,22
18,37
27,111
26,111
26,29
18,26
24,47
33,15
35,40
30,19
36,20
23,42
39,65
68,66
59,72
47,144
59,154
49,48
