CH1,CH2
18,13
22,11
21,11
23,9
12,9
17,9
23,10
22,10
17,10
23,10
26,9
18,9
21,16
20,10
17,9
24,12
26,9
23,10
23,12
20,11
22,16
21,9
27,10
21,12
22,10
25,14
25,9
23,9
27,10
25,16
37,11
25,13
22,13
23,14
23,14
23,21
22,16
21,14
21,14
23,15
24,13
19,28
2,11
23,12
22,12
22,11
20,11
16,9
24,10
21,11
19,11
24,10
23,11
23,11
32,10
22,10
26,11
28,10
26,11
28,10
41,12
27,14
29,16
25,12
26,13
24,12
30,7
23,12
17,13
16,11
22,11
23,11
40,9
22,10
31,13
23,10
21,11
18,13
18,10
26,11
23,10
20,11
20,8
24,11
23,10
26,12
30,13
26,13
25,12
26,8
29,29
39,8
26,12
22,9
26,11
24,11
22,10
31,9
21,11
19,10
19,12
28,13
50,10
24,7
25,13
26,13
23,9
23,9
18,12
22,14
22,11
23,12
20,11
23,13
23,13
24,11
29,14
25,15
24,12
25,12
29,12
29,13
34,16
19,14
19,13
19,14
19,9
18,25
19,13
21,12
21,12
16,12
17,10
17,31
6,14
21,12
18,10
17,10
22,11
22,10
19,10
20,11
23,12
30,9
23,9
21,9
23,14
24,10
24,11
24,12
29,11
28,13
25,6
40,16
26,13
21,12
19,11
20,12
17,11
23,12
22,10
21,11
21,9
19,10
18,21
7,11
22,10
19,10
17,9
18,9
20,13
31,7
21,11
21,9
20,11
21,10
23,10
23,9
35,12
23,12
25,10
29,12
26,13
23,9
23,14
20,13
21,10
19,11
18,14
17,20
13,13
23,10
20,9
21,8
22,9
22,13
13,5
24,11
20,9
18,10
19,11
21,9
23,11
22,15
20,17
21,14
22,11
29,10
27,9
36,12
24,9
26,11
27,13
23,13
24,15
22,8
23,13
21,11
21,11
18,11
19,10
18,6
21,13
18,11
21,10
23,8
22,11
43,12
18,12
19,11
20,10
25,15
22,20
62,6
25,13
22,10
23,10
23,10
25,11
27,10
35,11
29,9
28,15
26,20
25,18
25,14
8,13
20,13
17,10
18,10
19,12
23,28
7,8
20,10
18,11
17,12
19,12
22,11
12,8
18,11
23,10
22,11
21,12
