CH1,CH2
"70
","400
"
"31
","208
"
"32
","26
"
"35
","114
"
"27
","35
"
"38
","0
"
"36
","7
"
"43
","146
"
"36
","95
"
"34
","0
"
"53
","0
"
"37
","19
"
"14
","27
"
"34
","55
"
"34
","28
"
"31
","2
"
"33
","71
"
"32
","7
"
"36
","68
"
"33
","67
"
"28
","5
"
"35
","25
"
"36
","33
"
"30
","38
"
"12
","0
"
"50
","94
"
"42
","32
"
"50
","182
"
"8
","311
"
"51
","47
"
"32
","39
"
"49
","32
"
"94
","431
"
"94
","22
"
"79
","218
"
"52
","25
"
"29
","0
"
"27
","30
"
"38
","30
"
"32
","38
"
"8
","0
"
"34
","16
"
"32
","206
"
"60
","84
"
"11
","57
"
"52
","68
"
"41
","30
"
"50
","52
"
"14
","71
"
"29
","23
"
"30
","37
"
"31
","5
"
"41
","159
"
"32
","59
"
"37
","0
"
"36
","84
"
"5
","14
"
"44
","65
"
"42
","38
"
"38
","119
"
"7
","0
"
"36
","44
"
"44
","225
"
"42
","0
"
"65
","4
"
"32
","16
"
"63
","110
"
"34
","13
"
"61
","46
"
"35
","227
"
"38
","169
"
"45
","35
"
"59
","270
"
"38
","133
"
"31
","0
"
"31
","114
"
"31
","138
"
"29
","74
"
"50
","93
"
"61
","150
"
"30
","21
"
"71
","455
"
"36
","224
"
"67
","100
"
"22
","121
"
"32
","17
"
"49
","204
"
"51
","233
"
"42
","9
"
"31
","98
"
"36
","63
"
"45
","93
"
"34
","0
"
"43
","60
"
"43
","56
"
"38
","88
"
"20
","8
"
"42
","23
"
"49
","24
"
"44
","18
"
"38
","7
"
"41
","160
"
"39
","0
"
"47
","118
"
"78
","137
"
"37
","125
"
"60
","140
"
"61
","57
"
"27
","63
"
"42
","82
"
"57
","61
"
"58
","152
"
"68
","56
"
"47
","143
"
"37
","120
"
"36
","92
"
"17
","59
"
"57
","122
"
"84
","138
"
"40
","76
"
"10
","8
"
"56
","165
"
"53
","282
"
"31
","215
"
"36
","59
"
"35
","252
"
"35
","52
"
"38
","65
"
"35
","71
"
"42
","0
"
"35
","0
"
"39
","105
"
"65
","125
"
"56
","6
"
"39
","37
"
"53
","103
"
"51
","69
"
"34
","27
"
"42
","0
"
"40
","29
"
"42
","5
"
"35
","66
"
"31
","25
"
"30
","14
"
"21
","73
"
"32
","110
"
"31
","62
"
"32
","19
"
"49
","29
"
"34
","67
"
"48
","56
"
"37
","3
"
"35
","132
"
"45
","45
"
"31
","42
"
"36
","5
"
"6
","48
"
"47
","160
"
"33
","167
"
"71
","183
"
"7
","109
"
"47
","265
"
"96
","377
"
"53
","238
"
"48
","71
"
"36
","74
"
"35
","56
"
"27
","5
"
"14
","41
"
"31
","81
"
"32
","88
"
"38
","115
"
"30
","81
"
"34
","0
"
"49
","141
"
"65
","164
"
"10
","220
"
"40
","216
"
"52
","297
"
"55
","155
"
"67
","125
"
"41
","342
"
"33
","325
"
"33
","19
"
"21
","331
"
"62
","247
"
"59
","150
"
"79
","99
"
"20
","136
"
"39
","47
"
"38
","81
"
"38
","0
"
"14
","19
"
"47
","108
"
"33
","28
"
"44
","218
"
"51
","170
"
"35
","29
"
"45
","0
"
"38
","128
"
"14
","89
"
"35
","135
"
"48
","19
"
"35
","49
"
"12
","0
"
"52
","359
"
"46
","46
"
"43
","124
"
"9
","103
"
"28
","27
"
"39
","19
"
"53
","74
"
"24
","37
"
"70
","152
"
"50
","39
"
"30
","7
"
"12
","120
"
"66
","160
"
"65
","125
"
"36
","160
"
"76
","63
"
"57
","88
"
"37
","26
"
"57
","8
"
"12
","0
"
"30
","104
"
"30
","71
"
"41
","33
"
"11
","26
"
"50
","297
"
"33
","150
"
"38
","11
"
"32
","94
"
"40
","176
"
"52
","363
"
"48
","79
"
"9
","297
"
"37
","68
"
"32
","0
"
"55
","35
"
"24
","66
"
"39
","99
"
"43
","196
"
"36
","73
"
"59
","11
"
"43
","0
"
"51
","34
"
"51
","160
"
"37
","93
"
"34
","47
"
"41
","94
"
"31
","78
"
"56
","157
"
"21
","192
"
"32
","30
"
"35
","4
"
"13
","168
"
"44
","17
"
"35
","93
"
"43
","80
"
"70
","126
"
"51
","150
"
"38
","136
"
"37
","65
"
"38
","133
"
"43
","0
"
"39
","0
"
"40
","21
"
"13
","100
"
"63
","170
"
"56
","19
"
"30
","105
"
"38
","102
"
"43
","86
"
"32
","390
"
"39
","454
"
"74
","36
"
"50
","231
"
"59
","508
"
"53
","167
"
"49
","107
"
"46
","61
"
"42
","66
"
"34
","62
"
"41
","110
"
"30
","151
"
"32
","17
"
"41
","105
"
"59
","104
"
"44
","35
"
"49
","199
"
"41
","203
"
"29
","49
"
"35
","31
"
"42
","189
"
"50
","108
"
"39
","16
"
"35
","21
"
"30
","41
"
"50
","48
"
"37
","76
"
"46
","142
"
"39
","126
"
"52
","17
"
"42
","154
"
"93
","152
"
"64
","144
"
"38
","83
"
"50
","226
"
"38
","0
"
"57
","139
"
"54
","88
"
"35
","196
"
"52
","93
"
"58
","258
"
"59
","14
"
"78
","175
"
"39
","180
"
"30
","2
"
"28
","94
"
"45
","97
"
"37
","162
"
"34
","58
"
"32
","91
"
"41
","0
"
"44
","20
"
"37
","13
"
"37
","32
"
"26
","123
"
"35
","81
"
"48
","113
"
"62
","256
"
"30
","21
"
"35
","334
"
"32
","57
"
"64
","191
"
"82
","98
"
"40
","76
"
"35
","155
"
"29
","112
"
"36
","278
"
"47
","8
"
"34
","31
"
"28
","16
"
"29
","38
"
"31
","30
"
"40
","40
"
"40
","37
"
"52
","0
"
"34
","106
"
"35
","102
"
"38
","63
"
"29
","241
"
"33
","24
"
"30
","6
"
"30
","104
"
"55
","150
"
"51
","16
"
"38
","5
"
"36
","95
"
"57
","86
"
"37
","125
"
"45
","20
"
"50
","11
"
"91
","212
"
"51
","0
"
"32
","8
"
"35
","15
"
"43
","68
"
"35
","49
"
"35
","6
"
"34
","88
"
"36
","307
"
"35
","284
"
"41
","40
"
"38
","226
"
"58
","212
"
"57
","59
"
"30
","46
"
"42
","0
"
"45
","61
"
"37
","93
"
"34
","18
"
"40
","291
"
"49
","226
"
"33
","29
"
"33
","130
"
"51
","150
"
"51
","84
"
"30
","138
"
"32
","3
"
"67
","315
"
"95
","421
"
"55
","46
"
"67
","369
"
"91
","92
"
"57
","23
"
"35
","0
"
"38
","28
"
"37
","144
"
"39
","28
"
"30
","6
"
"32
","97
"
"31
","139
"
"43
","96
"
"39
","53
"
"35
","45
"
"37
","136
"
"56
","92
"
"36
","121
"
"35
","165
"
"35
","94
"
"66
","209
"
"32
","2
"
"45
","0
"
"33
","1
"
"42
","115
"
"33
","88
"
"47
","44
"
"36
","55
"
"46
","32
"
"35
","51
"
"41
","12
"
"59
","10
"
"51
","8
"
"30
","0
"
