CH1,CH2
"32
","0
"
"34
","0
"
"33
","0
"
"35
","0
"
"38
","0
"
"34
","0
"
"30
","0
"
"30
","0
"
"38
","0
"
"31
","0
"
"31
","0
"
"32
","0
"
"36
","0
"
"30
","0
"
"36
","0
"
"36
","0
"
"36
","0
"
"31
","0
"
"30
","0
"
"30
","0
"
"39
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"32
","0
"
"34
","0
"
"33
","0
"
"36
","0
"
"37
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"34
","0
"
"27
","0
"
"30
","0
"
"33
","9
"
"29
","0
"
"33
","0
"
"39
","0
"
"38
","0
"
"42
","0
"
"30
","0
"
"30
","0
"
"29
","0
"
"36
","0
"
"33
","0
"
"31
","0
"
"32
","0
"
"39
","0
"
"35
","0
"
"34
","0
"
"35
","0
"
"37
","0
"
"34
","0
"
"30
","0
"
"31
","0
"
"42
","0
"
"34
","0
"
"31
","0
"
"33
","0
"
"35
","1
"
"34
","0
"
"36
","1
"
"35
","0
"
"37
","0
"
"34
","0
"
"31
","0
"
"30
","0
"
"44
","0
"
"36
","0
"
"31
","0
"
"34
","0
"
"43
","0
"
"36
","0
"
"35
","1
"
"35
","0
"
"41
","1
"
"29
","0
"
"29
","0
"
"30
","0
"
"37
","0
"
"31
","0
"
"33
","0
"
"34
","0
"
"42
","0
"
"35
","0
"
"36
","0
"
"33
","0
"
"44
","0
"
"30
","0
"
"30
","0
"
"30
","0
"
"46
","0
"
"35
","0
"
"33
","0
"
"34
","0
"
"44
","0
"
"35
","0
"
"35
","0
"
"30
","0
"
"41
","0
"
"31
","0
"
"30
","0
"
"31
","0
"
"44
","5
"
"35
","0
"
"33
","2
"
"34
","5
"
"49
","0
"
"31
","0
"
"35
","4
"
"34
","6
"
"53
","0
"
"31
","0
"
"31
","0
"
"31
","0
"
"53
","0
"
"32
","0
"
"33
","0
"
"34
","0
"
"47
","0
"
"24
","0
"
"34
","0
"
"28
","0
"
"61
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"54
","0
"
"32
","0
"
"33
","0
"
"35
","0
"
"56
","0
"
"35
","0
"
"32
","0
"
"30
","0
"
"60
","0
"
"30
","0
"
"31
","0
"
"34
","0
"
"53
","0
"
"34
","0
"
"33
","0
"
"35
","3
"
"56
","0
"
"31
","9
"
"33
","0
"
"30
","0
"
"60
","0
"
"34
","0
"
"31
","0
"
"31
","0
"
"66
","0
"
"30
","0
"
"34
","0
"
"35
","0
"
"73
","0
"
"31
","0
"
"29
","0
"
"30
","0
"
"67
","0
"
"35
","0
"
"31
","0
"
"32
","0
"
"66
","0
"
"29
","0
"
"38
","0
"
"36
","0
"
"73
","0
"
"30
","0
"
"33
","0
"
"31
","0
"
"66
","0
"
"30
","0
"
"31
","0
"
"31
","0
"
"49
","0
"
"34
","0
"
"36
","0
"
"37
","0
"
"34
","0
"
"33
","0
"
"30
","0
"
"29
","0
"
"31
","0
"
"34
","0
"
"32
","0
"
"34
","0
"
"50
","0
"
"34
","0
"
"34
","0
"
"36
","0
"
"32
","0
"
"35
","0
"
"30
","0
"
"30
","0
"
"31
","1
"
"31
","12
"
"31
","0
"
"33
","6
"
"34
","9
"
"33
","0
"
"31
","0
"
"38
","5
"
"31
","0
"
