CH1,CH2
224,478
216,481
209,482
203,481
198,482
194,483
189,481
185,479
180,479
176,486
173,494
169,495
166,490
163,480
161,474
160,474
159,476
159,477
159,475
158,472
158,469
158,470
159,477
159,492
158,512
157,531
156,544
155,550
154,553
153,554
153,551
152,544
152,533
152,521
152,509
153,499
153,494
153,495
151,499
150,502
149,505
149,509
149,512
151,515
153,519
156,522
158,522
160,519
162,513
164,507
166,501
169,495
172,492
175,491
178,489
181,487
182,483
184,478
184,475
184,473
184,475
184,482
184,492
184,500
185,506
187,512
188,515
189,514
190,510
190,510
189,511
189,510
189,506
187,500
183,495
178,491
175,487
172,483
170,480
167,479
166,479
164,479
162,481
160,480
159,476
157,465
157,446
160,426
168,413
182,407
201,406
220,421
236,442
248,455
257,459
262,457
265,463
267,478
269,496
271,515
272,532
274,544
275,549
275,546
275,539
275,532
275,529
274,529
274,529
276,521
280,504
283,482
287,458
290,445
292,453
293,472
291,487
291,489
292,480
294,476
297,484
301,498
306,513
312,523
319,526
325,526
331,519
337,499
342,460
343,410
339,372
331,364
322,390
317,439
313,487
306,529
297,562
283,578
268,568
252,530
239,488
233,469
239,454
261,421
296,374
338,339
379,339
410,370
431,425
442,493
446,543
448,573
448,592
447,598
445,588
439,584
426,594
407,597
383,584
362,562
349,538
349,517
359,502
377,498
400,496
424,485
445,474
461,482
468,513
468,549
468,564
467,550
465,527
460,505
451,490
440,474
432,454
429,440
433,429
443,433
454,444
460,457
456,469
443,480
422,493
396,493
367,476
343,455
338,426
361,394
401,381
443,406
479,452
506,484
523,502
532,515
535,518
537,510
543,500
551,504
558,542
563,599
558,645
541,663
520,662
500,657
490,650
495,633
522,602
569,560
626,506
682,452
726,414
754,402
766,415
768,456
761,522
750,577
739,597
730,592
725,573
722,542
722,513
726,489
736,470
753,471
771,499
790,543
806,579
815,601
818,609
815,604
804,589
788,562
769,534
748,515
729,510
720,519
728,530
754,543
790,558
829,548
861,513
883,481
891,463
886,449
867,426
835,416
794,427
751,465
710,526
680,588
667,624
675,631
698,626
727,618
753,605
765,576
764,531
754,490
739,461
728,435
729,408
747,402
783,440
833,495
890,538
935,572
964,605
979,633
982,654
973,663
955,657
938,636
927,609
923,588
927,566
931,550
931,547
925,555
915,567
901,566
884,569
864,587
849,599
845,589
850,574
860,568
871,567
882,563
885,570
880,594
867,622
855,647
846,662
839,665
834,654
832,631
830,598
830,551
830,504
829,480
826,473
820,472
809,487
794,520
777,570
761,612
751,635
749,639
755,628
770,600
789,565
804,539
812,530
813,541
807,565
796,587
785,605
778,619
777,627
781,622
790,602
800,577
808,569
810,583
806,602
798,619
792,630
789,629
785,619
782,609
778,587
774,551
769,503
765,457
760,431
759,439
761,477
763,528
765,571
768,600
772,618
773,618
767,603
755,580
741,561
730,550
724,545
726,541
736,529
747,510
755,490
757,485
752,499
740,515
719,532
692,547
666,559
644,570
633,575
635,573
652,567
677,561
706,551
732,529
752,497
762,463
764,443
759,444
751,455
741,466
731,477
723,486
716,503
709,521
702,537
695,554
689,565
684,567
678,559
672,548
667,535
662,524
658,515
655,510
653,509
649,509
640,507
629,501
616,492
603,481
594,477
589,481
589,488
596,492
609,494
624,492
639,490
651,494
660,506
666,521
670,529
671,526
669,517
666,507
660,504
654,509
648,518
643,527
636,533
628,537
620,539
613,539
609,538
606,537
605,534
605,532
605,529
603,525
599,519
593,513
586,505
582,497
581,490
581,482
583,477
586,473
591,471
596,470
601,470
603,470
600,470
596,466
592,460
588,451
585,442
583,442
581,452
580,466
578,477
575,483
572,486
568,486
564,484
560,482
556,482
550,483
544,483
536,483
527,480
517,479
506,479
496,480
487,481
479,483
471,485
463,486
456,487
449,486
443,485
435,482
428,478
419,473
411,469
402,466
394,464
387,462
381,459
375,455
370,455
366,457
362,458
359,456
356,450
353,443
350,437
347,441
343,449
339,459
335,468
331,479
323,495
314,512
304,521
294,522
285,519
275,516
265,514
254,512
244,511
236,509
231,509
225,508
220,508
214,507
210,505
207,502
203,500
199,499
194,498
190,496
184,491
178,486
171,479
163,473
154,470
146,467
139,464
133,461
128,459
123,463
117,471
110,480
103,488
98,495
95,499
96,502
98,501
102,498
105,494
104,488
101,482
97,477
94,472
92,468
91,466
90,464
89,465
86,467
82,470
78,474
74,477
71,480
69,482
68,483
68,483
69,483
69,480
69,477
69,472
69,466
69,459
69,453
69,449
69,447
68,446
68,445
68,444
70,445
74,445
78,445
84,444
91,447
98,457
