CH1,CH2
509,518
508,518
508,517
508,516
508,514
507,512
508,510
507,508
507,505
506,502
506,500
505,498
505,496
505,495
505,495
505,494
505,494
505,495
505,496
505,498
505,500
505,503
506,507
506,510
507,514
507,517
507,518
508,519
508,520
508,519
508,518
507,517
507,514
507,511
507,508
507,504
507,501
507,498
507,496
507,494
508,493
508,492
508,493
508,494
508,496
509,499
509,503
509,506
510,508
509,511
509,512
509,513
509,514
509,513
509,512
509,510
509,507
510,504
509,501
509,498
509,496
508,494
508,493
508,493
509,493
509,495
509,497
510,499
509,502
509,506
508,510
508,513
507,517
507,519
507,521
507,521
507,521
507,519
507,518
508,515
508,512
508,509
508,506
508,503
508,500
508,497
507,496
507,495
507,495
508,496
508,497
507,499
507,502
507,504
506,508
506,511
505,514
505,516
505,517
505,518
505,517
505,517
505,515
505,513
506,510
507,508
507,504
507,502
508,500
507,498
508,496
508,497
508,498
508,499
507,501
506,504
506,508
506,511
505,514
505,517
504,519
504,521
503,521
503,521
502,520
501,519
501,517
500,514
500,511
500,508
500,505
500,503
500,500
500,500
500,499
500,498
500,499
500,500
500,502
500,505
499,508
499,512
498,515
497,518
497,520
496,521
496,522
495,521
495,521
495,519
495,517
495,514
496,511
497,509
497,507
498,505
498,503
498,502
498,502
498,502
498,503
498,505
498,507
498,510
498,514
497,517
497,520
496,523
496,525
496,526
495,527
495,527
495,526
495,523
496,520
496,517
497,513
498,509
498,506
498,504
498,502
498,501
498,501
498,501
497,503
497,505
496,509
496,513
496,517
496,522
496,525
496,527
496,528
497,527
498,526
498,524
497,521
497,517
496,514
496,510
495,506
495,503
495,500
496,499
497,499
498,499
498,499
499,501
498,504
498,507
497,510
496,514
496,517
495,520
495,522
495,523
495,524
495,525
495,525
495,523
496,521
496,518
496,515
497,512
497,510
498,506
499,504
499,502
500,501
501,501
502,502
502,503
503,505
503,508
504,511
504,515
504,518
504,520
504,522
504,524
504,525
505,526
506,525
506,522
507,520
507,516
507,513
508,509
508,505
509,502
509,501
510,500
511,500
511,501
511,503
511,505
511,508
511,511
511,514
511,517
511,520
511,522
