CH1,CH2
47,35
29,19
51,39
35,74
49,71
39,6
23,13
68,15
52,13
31,11
41,16
28,29
26,46
28,54
14,60
22,17
28,19
40,26
75,37
52,39
36,59
77,76
101,21
53,15
32,15
46,25
72,15
133,18
62,27
34,39
46,36
109,36
90,40
53,16
34,13
31,58
76,93
100,93
63,63
29,83
45,32
66,40
139,176
117,67
83,26
108,136
130,182
94,156
112,17
60,183
29,384
60,222
109,55
176,18
132,104
129,169
41,82
8,37
128,85
126,57
35,17
68,15
31,64
16,77
42,121
34,17
25,22
37,21
35,35
33,37
28,50
50,87
90,67
107,20
79,26
37,31
37,47
87,56
58,22
35,70
82,50
89,26
26,28
28,13
32,24
49,62
86,98
27,16
33,15
55,24
110,25
111,25
25,9
77,53
61,64
50,76
50,83
59,24
29,21
172,13
116,29
83,27
80,46
27,110
43,51
36,30
52,33
26,66
25,68
39,116
53,95
77,18
81,27
35,76
27,75
27,46
65,17
23,17
36,76
73,96
65,108
80,143
164,137
209,26
176,125
75,245
199,259
168,126
208,78
88,15
34,37
35,61
54,22
22,65
124,112
141,178
29,168
130,182
105,55
222,146
28,168
33,84
53,41
69,33
125,123
75,55
43,144
31,119
51,79
3,25
169,27
99,20
84,22
40,13
34,12
39,14
72,14
23,13
31,23
41,22
29,38
67,60
66,43
42,82
34,61
124,27
61,45
0,31
29,22
47,18
55,124
151,172
145,115
120,70
30,31
32,31
53,33
82,83
111,132
24,98
43,42
21,57
46,18
30,12
64,31
46,45
74,16
43,15
26,84
37,180
51,28
214,63
174,57
32,18
39,93
30,41
15,64
35,135
70,177
35,101
24,88
63,63
54,50
25,91
28,57
26,61
24,46
22,18
45,22
40,17
38,46
29,66
42,97
34,84
51,18
67,34
57,15
25,17
22,34
46,93
31,77
24,31
61,25
42,90
45,74
24,18
50,13
61,27
48,14
35,30
23,121
81,141
63,57
29,47
166,112
70,156
66,139
48,62
22,76
37,221
23,190
38,81
20,27
10,15
37,53
54,77
37,69
93,92
166,85
171,64
55,37
48,16
44,105
31,96
54,11
24,19
33,15
99,58
37,98
28,109
35,62
16,14
29,13
59,24
29,45
23,27
24,67
142,72
184,73
110,63
38,14
29,23
10,78
24,68
49,62
70,22
50,29
47,15
84,65
