CH1,CH2
110,34
24,16
39,232
85,212
42,60
54,16
68,44
65,16
60,43
54,43
39,36
32,15
41,51
65,36
59,30
37,9
58,76
32,34
37,31
30,44
37,38
35,34
26,40
24,44
23,26
39,13
47,126
26,140
47,21
62,240
46,281
28,169
24,78
25,14
48,68
43,47
80,10
38,34
74,13
76,13
148,13
72,12
157,27
39,50
34,14
26,12
68,24
73,19
36,19
84,42
27,13
38,32
60,61
133,67
48,45
244,145
101,142
62,133
198,14
173,91
45,92
240,79
215,120
167,13
33,18
51,19
74,28
103,33
55,34
50,40
23,57
24,56
28,25
50,37
53,120
49,64
92,12
407,21
721,24
86,21
355,12
274,16
258,16
261,15
417,27
259,16
98,32
259,58
35,24
126,45
222,32
64,27
57,44
48,46
36,42
29,53
37,58
55,40
82,49
113,47
137,29
26,53
31,21
58,19
98,11
103,43
144,36
29,31
108,106
120,63
145,12
233,25
314,28
29,11
75,74
162,121
27,37
33,12
24,35
40,50
51,89
48,56
50,97
41,54
335,35
602,73
255,18
60,25
328,13
160,14
276,40
96,112
500,35
784,17
591,47
245,40
367,47
70,79
236,62
448,24
60,20
49,19
111,14
94,24
94,13
70,21
69,63
37,29
41,12
40,12
40,98
43,145
290,35
88,19
185,27
80,68
332,27
225,63
140,48
36,29
58,14
54,32
55,26
30,55
38,14
90,29
49,20
107,18
192,32
295,19
38,13
268,51
76,26
166,18
58,15
23,34
173,25
30,20
115,19
78,49
208,55
45,42
106,36
69,70
27,49
29,24
78,145
105,74
305,23
63,37
231,19
79,12
80,79
553,14
643,34
59,12
41,59
64,30
34,22
33,20
338,10
230,19
65,49
108,45
184,31
43,25
117,52
226,64
275,18
160,12
137,63
163,20
83,11
435,77
75,87
432,32
311,29
76,48
58,59
51,22
65,72
54,36
64,109
56,70
53,152
43,15
45,36
36,50
82,67
124,16
222,116
161,110
241,12
172,11
96,11
277,20
209,27
145,22
95,46
343,22
50,24
563,28
537,91
190,29
65,27
145,35
74,28
151,15
134,15
71,40
93,77
85,44
144,14
270,52
383,34
479,52
400,29
54,19
388,25
592,15
272,17
189,25
352,48
73,13
206,44
423,40
57,10
126,25
87,13
43,35
34,25
29,50
59,16
31,21
55,79
15,94
50,62
162,37
1023,66
438,13
51,88
604,35
758,55
444,92
150,76
42,104
39,64
85,138
237,218
73,98
40,46
130,28
133,20
27,26
26,53
30,15
73,16
48,48
60,98
47,18
39,19
30,12
125,23
44,11
83,20
37,12
26,26
28,63
27,12
39,22
34,15
205,51
338,82
179,30
121,18
374,85
194,39
79,12
69,11
21,34
102,20
39,14
37,20
65,29
92,25
383,15
144,11
57,24
10,13
261,18
110,16
102,61
122,68
61,69
41,70
87,136
37,16
72,28
74,55
26,107
39,151
56,46
47,75
110,24
275,14
61,82
132,14
118,50
97,17
36,12
146,41
34,36
106,25
33,19
42,16
62,33
111,21
29,14
33,22
124,18
212,79
286,46
92,16
69,28
174,43
35,20
31,183
29,162
29,90
29,29
39,20
82,19
97,14
23,11
75,50
38,14
13,15
35,16
39,11
39,14
51,12
73,17
137,26
36,25
111,20
94,51
82,28
38,66
88,96
29,97
59,202
31,37
36,15
44,47
81,15
165,21
123,15
40,28
168,81
94,15
154,91
69,113
115,90
108,29
5,29
38,15
19,26
23,38
41,22
23,15
60,39
40,19
104,15
66,33
49,17
49,22
49,12
30,21
54,84
28,14
59,13
27,23
27,43
49,52
89,17
30,27
31,83
64,19
101,17
32,37
25,64
141,43
63,28
38,46
251,17
227,85
13,26
134,13
31,37
269,38
51,40
75,14
60,12
144,16
154,34
137,62
87,146
173,141
112,101
266,28
197,15
119,12
105,39
96,22
68,22
228,47
203,35
195,16
49,40
33,20
29,28
272,59
136,65
58,45
67,103
38,17
34,120
77,264
28,117
51,17
160,12
58,46
204,18
45,16
39,31
30,39
183,23
36,70
96,38
58,12
131,17
33,47
26,19
69,51
43,10
28,16
39,22
52,19
21,50
30,18
32,18
32,57
165,61
156,171
90,125
28,16
116,26
64,15
47,22
