CH1,CH2
428,613
242,311
128,163
67,73
86,24
53,77
45,44
226,316
251,378
444,657
392,580
318,236
113,92
98,112
48,243
90,47
107,211
228,347
219,332
375,582
374,421
135,240
105,261
112,41
45,32
94,80
173,312
246,359
219,435
457,642
393,491
219,225
194,52
79,364
79,68
126,368
286,35
217,206
262,699
412,606
348,503
206,381
111,246
38,67
30,41
58,86
285,325
267,354
439,714
370,571
272,436
224,449
83,414
38,169
36,49
46,67
276,528
277,686
460,868
394,537
228,601
136,385
132,35
64,133
29,374
133,349
215,412
239,505
363,699
434,443
228,252
112,248
48,53
75,40
80,101
212,470
272,458
199,605
301,484
205,387
156,405
191,130
65,29
46,135
51,42
210,469
195,614
326,890
345,707
309,440
142,162
130,80
21,28
43,92
43,92
200,291
300,336
490,543
381,478
196,254
98,288
50,265
49,82
84,146
88,276
264,375
265,287
408,454
302,489
174,294
107,298
67,189
33,120
77,77
125,313
233,314
325,443
405,750
312,472
140,195
153,49
50,37
71,57
149,33
213,297
292,250
324,478
316,481
149,222
135,174
62,283
38,250
40,133
68,113
223,292
198,333
422,639
380,630
253,297
141,293
100,144
32,27
80,40
75,141
174,347
284,354
494,674
342,513
118,312
84,216
81,208
65,159
90,126
164,335
224,326
246,299
388,392
301,341
94,333
104,480
88,495
56,101
161,153
171,383
123,322
186,611
372,627
298,427
117,246
152,262
123,145
50,32
59,69
217,255
216,281
343,569
461,693
271,502
131,442
49,287
22,24
76,143
47,176
258,301
183,479
368,798
372,717
195,223
81,121
54,175
59,54
47,113
100,276
205,305
164,328
322,620
381,565
166,304
142,342
89,210
87,64
77,299
127,597
214,516
266,464
438,550
397,243
291,78
125,51
49,77
54,96
142,135
347,318
269,184
310,486
420,446
344,299
139,205
59,98
41,25
34,31
106,50
288,262
265,185
424,567
413,618
283,425
161,301
57,240
38,151
52,47
61,41
245,247
193,351
341,520
406,514
216,359
89,449
86,412
97,42
46,79
56,201
199,438
180,587
305,750
351,580
190,278
122,52
69,162
53,38
42,34
140,281
304,517
237,736
345,759
285,417
160,216
84,76
38,24
44,29
39,100
227,489
249,394
393,656
430,440
228,98
73,180
69,339
40,222
49,120
44,31
239,417
220,368
399,565
362,542
228,284
141,313
70,276
49,145
63,132
49,142
219,359
218,468
371,673
374,554
207,338
139,231
134,62
44,31
49,65
113,325
209,345
282,419
374,561
298,511
136,171
150,94
59,75
37,276
59,62
219,387
236,435
316,729
466,765
312,491
210,348
83,157
47,53
78,424
75,291
263,311
209,237
381,616
359,573
246,238
132,93
93,102
63,46
38,89
50,144
201,292
203,384
431,583
364,302
208,75
185,204
199,144
87,101
82,30
142,341
245,271
270,348
380,582
301,280
149,136
175,250
74,262
58,286
74,42
200,459
231,439
241,813
367,713
367,497
206,287
137,116
69,31
58,121
77,71
261,323
264,348
294,530
340,547
239,303
143,394
80,648
63,304
46,85
69,114
241,380
225,543
459,776
263,673
146,397
101,307
86,189
57,77
49,32
67,182
150,363
192,444
416,628
399,498
156,212
97,257
75,350
54,220
95,272
152,617
272,564
253,517
405,593
298,337
158,47
163,90
72,93
41,92
72,53
230,319
195,318
237,621
324,581
181,360
127,227
87,175
55,154
75,40
79,177
276,357
244,397
377,631
350,700
211,283
162,131
146,165
53,74
54,31
54,69
187,230
199,293
391,846
374,771
150,396
130,89
112,37
53,36
97,36
110,280
293,428
234,403
457,584
320,578
119,297
106,60
142,33
73,59
57,49
174,306
139,379
259,576
414,604
304,418
121,314
137,176
46,64
40,56
43,40
249,400
233,453
382,748
426,779
285,505
253,327
121,266
64,66
50,186
63,276
195,601
161,750
403,933
438,587
249,28
157,36
143,130
73,164
62,263
78,188
227,274
283,386
434,678
383,519
219,245
139,100
137,73
79,118
83,81
160,305
223,316
209,435
373,513
310,396
126,246
179,223
49,29
50,122
97,169
253,403
267,287
342,552
388,407
258,59
221,157
176,213
46,82
41,98
52,127
243,201
178,337
316,718
417,596
306,397
234,311
134,162
55,77
52,169
63,157
209,206
211,271
437,643
351,483
196,239
185,324
162,198
110,95
64,312
120,590
230,478
265,460
400,669
279,454
90,297
113,69
81,28
44,46
131,83
188,483
149,403
185,665
370,582
329,363
194,211
137,151
99,117
64,74
48,24
223,259
196,308
373,615
388,610
270,317
105,202
83,226
46,83
77,114
57,62
185,288
200,306
397,572
368,514
220,326
146,321
106,201
55,257
38,50
84,275
243,657
217,607
343,595
330,480
131,142
137,195
92,151
57,81
102,33
110,253
247,274
281,482
460,657
302,436
178,180
253,125
120,60
61,65
106,138
245,244
305,216
344,525
436,541
286,450
145,394
126,42
53,64
61,153
87,19
299,312
236,490
452,713
387,646
255,451
181,218
130,60
44,82
43,60
107,175
238,273
187,258
379,546
372,344
212,64
100,245
83,226
77,190
77,95
206,431
351,370
215,151
408,282
355,309
138,418
84,443
70,278
58,209
81,27
174,369
231,487
286,773
410,713
275,342
120,160
100,379
65,373
44,42
153,209
331,429
239,376
338,728
357,670
276,491
160,340
112,242
64,121
40,48
63,203
285,479
263,471
425,664
376,453
162,207
94,125
61,91
45,35
57,75
104,167
254,301
278,345
419,585
370,560
241,341
154,335
139,148
42,63
113,65
211,343
274,387
292,465
403,508
300,432
121,260
76,110
56,100
38,78
46,40
267,340
256,148
321,487
408,650
268,449
130,226
119,231
55,275
42,32
45,178
273,526
232,533
408,776
378,639
266,254
150,112
55,78
40,25
45,107
44,194
209,343
235,252
414,664
372,642
217,489
111,246
151,105
62,43
70,145
107,351
201,357
193,424
355,707
278,596
119,309
108,114
88,62
54,144
98,149
200,474
245,292
288,431
475,429
349,270
198,321
100,244
64,145
55,54
93,40
280,262
228,329
342,622
362,560
227,341
136,291
101,152
40,34
40,146
67,99
253,254
224,355
505,683
424,551
197,219
103,93
107,130
44,54
72,176
83,188
208,259
185,285
370,547
330,471
162,215
116,203
61,52
39,29
43,61
141,240
211,261
254,540
426,643
351,512
221,297
174,127
108,49
47,90
115,95
280,394
239,250
305,454
343,447
181,290
156,334
111,114
47,37
47,45
45,39
245,479
202,384
464,425
403,415
241,287
135,274
63,290
53,92
43,117
58,231
200,366
229,366
463,533
473,367
228,169
147,175
88,91
51,33
58,170
148,438
304,475
298,602
426,667
347,534
194,282
173,61
120,174
83,163
59,151
248,485
270,329
275,659
354,578
253,481
146,324
150,156
63,34
61,44
52,96
279,426
268,364
424,632
425,691
273,423
193,285
157,194
79,163
27,48
59,131
259,524
282,443
441,601
335,521
146,181
119,139
101,110
62,45
51,36
50,88
259,360
274,405
410,673
375,616
170,295
153,136
111,59
53,126
59,33
98,355
151,581
240,761
416,774
308,531
159,301
193,37
108,110
52,108
100,89
243,427
185,416
402,703
508,729
245,411
136,245
152,161
77,130
52,36
35,22
186,364
243,703
464,1023
369,968
344,249
293,36
170,35
85,185
44,132
64,200
276,392
313,449
507,792
423,711
225,434
131,171
61,63
54,60
79,195
101,435
226,490
239,449
376,605
279,446
115,190
137,160
72,50
53,131
156,172
313,529
261,425
305,727
429,654
290,225
159,175
60,153
63,86
46,29
65,165
