CH1,CH2
319,321
224,299
47,115
150,223
200,404
30,361
37,265
398,483
798,554
451,357
554,291
245,44
33,44
142,195
315,263
456,294
294,269
314,415
54,418
44,250
52,134
80,101
235,25
213,100
68,391
47,116
314,436
458,387
434,494
214,271
108,23
39,102
25,22
156,23
320,146
357,164
375,510
304,525
190,527
96,449
58,150
29,44
126,32
155,121
7,273
125,334
507,653
710,595
255,289
83,128
31,102
33,28
90,40
36,74
61,232
217,649
393,841
303,410
89,119
168,104
164,87
284,174
206,114
169,123
268,447
662,604
542,610
532,420
286,389
270,414
43,192
44,55
23,256
260,483
279,529
391,595
410,503
223,191
61,62
155,124
71,170
97,46
40,13
39,145
111,542
298,923
191,663
145,247
19,178
109,115
35,25
134,145
93,206
233,180
143,267
54,515
95,432
99,459
230,482
234,399
66,211
63,117
114,227
105,381
173,537
308,1011
165,862
43,408
51,159
31,86
38,72
44,164
42,273
50,401
195,583
332,609
271,401
241,315
188,215
135,193
108,42
243,98
30,314
75,319
258,631
453,463
520,291
363,190
119,139
138,64
40,132
41,70
55,182
233,323
609,483
683,599
575,362
402,495
162,83
426,206
479,154
208,393
356,339
388,351
438,520
124,300
109,88
33,56
29,42
72,30
65,44
181,89
163,113
225,291
448,580
463,488
255,289
151,231
170,325
37,189
265,52
243,254
50,253
53,486
157,485
177,304
189,540
124,375
31,77
46,29
71,163
173,141
287,0
215,355
286,523
133,549
121,402
94,312
48,28
106,35
42,168
46,291
31,171
299,584
448,778
151,436
187,247
92,31
32,74
190,255
270,467
301,299
313,354
314,475
265,530
315,534
266,303
60,55
91,197
101,219
390,593
377,322
214,565
388,423
104,123
41,111
153,235
297,277
97,72
306,241
382,624
109,353
181,542
362,591
95,353
170,49
263,60
263,52
80,39
290,292
343,534
280,565
336,630
189,421
60,88
86,27
107,22
63,147
78,29
196,63
265,223
330,309
511,598
558,502
291,322
45,226
114,150
131,185
238,15
548,294
588,413
182,641
159,691
51,455
41,279
64,119
131,126
135,60
119,49
252,456
318,436
542,662
547,476
472,256
290,227
44,205
434,150
392,178
162,175
124,52
118,506
235,790
144,894
37,509
53,332
35,289
37,43
74,47
47,23
35,281
211,484
456,904
343,646
129,358
182,233
206,253
54,84
42,99
37,392
413,593
215,509
175,434
101,236
33,128
54,11
165,149
310,59
354,47
76,431
41,627
110,557
378,250
451,33
376,143
364,148
303,183
183,74
130,44
466,349
306,383
349,743
269,599
38,167
38,128
46,205
100,33
44,23
151,187
179,268
180,341
346,539
456,387
371,269
326,308
309,263
93,176
85,39
443,167
491,346
527,583
396,853
241,361
32,171
128,96
129,193
208,45
124,77
144,218
80,237
139,642
476,775
355,380
155,58
160,41
110,66
142,28
101,51
102,364
38,178
436,321
327,305
297,136
222,429
66,441
47,313
66,82
47,95
198,215
53,386
358,814
381,663
344,287
282,139
253,194
142,133
39,127
36,308
160,419
47,413
88,550
98,218
44,23
464,51
611,216
262,121
207,10
105,139
266,336
219,421
337,545
454,474
484,173
269,185
88,235
70,306
191,58
121,430
220,832
640,1023
560,813
245,189
238,59
85,52
62,48
41,30
152,70
293,385
189,351
289,648
451,603
364,301
360,284
281,290
201,41
323,183
206,151
260,253
117,215
284,601
234,543
73,203
38,128
46,59
497,43
196,47
68,154
152,225
184,420
406,620
373,520
253,287
285,272
175,116
32,50
212,21
155,164
99,93
143,471
307,708
203,541
62,370
71,366
47,75
100,31
52,69
115,187
196,251
339,805
487,656
422,504
251,137
178,109
113,58
42,77
45,26
148,181
199,363
407,651
405,555
301,265
383,274
153,192
41,40
78,14
150,173
350,392
354,516
480,730
417,433
307,86
181,201
459,235
185,71
159,39
117,299
316,368
695,413
1023,664
798,476
250,339
139,384
43,344
82,169
220,10
258,557
191,655
164,668
305,520
305,389
282,316
282,314
244,160
236,107
101,71
141,342
229,400
539,644
480,563
326,260
105,116
60,104
81,48
224,80
252,160
164,47
270,79
544,474
388,550
97,472
150,163
266,123
164,163
59,111
61,281
138,480
247,531
414,591
182,316
36,48
26,83
51,67
151,139
130,104
180,145
160,268
98,407
384,515
296,454
50,275
34,50
43,48
28,59
59,38
169,262
100,267
72,552
100,409
58,183
66,335
32,343
96,53
94,113
36,199
91,315
63,233
136,390
324,499
293,411
220,244
243,147
67,111
78,83
68,97
63,271
178,379
283,466
273,346
86,86
29,163
127,113
197,86
165,163
242,12
280,77
209,254
222,516
46,171
40,39
41,268
45,325
207,121
182,10
67,268
46,294
142,460
328,449
236,170
128,155
164,169
37,38
100,39
193,127
241,324
370,247
451,613
270,566
80,354
54,266
33,346
34,38
42,278
41,243
40,255
32,236
255,540
347,482
190,127
106,193
112,95
