CH1,CH2
256,303
220,243
339,441
334,353
87,255
101,253
69,166
84,159
142,36
109,174
224,249
280,376
472,708
353,583
177,390
96,96
56,120
42,137
118,60
222,260
196,163
225,359
354,185
122,179
41,81
43,77
56,140
76,155
156,572
131,134
36,218
286,780
329,577
310,242
258,201
182,294
52,361
134,181
147,46
164,317
126,591
365,892
378,501
208,173
156,93
98,36
43,58
119,28
143,306
252,252
209,207
410,458
368,388
185,212
128,179
82,93
52,81
44,45
160,294
220,292
292,428
381,522
250,341
144,304
92,127
74,32
37,71
74,131
207,324
262,376
389,541
475,300
402,139
223,95
111,181
70,95
82,37
84,108
210,350
208,287
436,424
440,325
256,262
139,297
51,161
47,69
45,121
152,41
326,327
291,532
460,879
340,505
271,167
73,124
64,74
67,432
82,207
179,99
264,21
240,333
455,685
340,476
136,278
72,155
51,219
50,141
126,225
153,417
256,423
283,709
447,516
392,332
186,175
114,113
39,168
47,240
122,57
282,158
262,194
369,529
337,364
236,230
134,243
101,158
52,49
68,90
121,103
291,273
228,307
473,604
392,563
183,131
195,233
119,92
42,44
55,44
101,265
209,260
219,345
447,559
268,346
62,104
59,85
40,47
57,34
39,58
92,152
163,107
259,373
481,535
350,339
97,208
53,146
91,42
60,43
60,56
109,287
158,220
279,435
285,342
262,324
176,493
80,377
71,33
58,381
50,476
159,574
225,369
436,471
488,99
280,38
130,29
145,227
62,43
56,275
137,301
236,125
346,78
539,313
381,218
110,121
64,287
51,307
45,293
63,106
212,242
270,283
226,371
454,682
376,602
229,411
71,181
45,40
42,34
79,144
148,355
194,263
183,455
381,480
337,398
122,143
61,82
31,30
86,102
49,94
240,371
224,299
367,565
404,479
274,256
146,132
130,94
84,85
45,112
41,211
242,444
219,210
393,501
298,450
126,246
114,209
126,415
127,175
68,112
37,429
195,668
323,714
488,675
417,568
56,211
155,50
191,73
60,77
98,72
191,167
124,372
170,656
444,555
307,373
176,189
137,87
115,41
72,182
164,272
247,491
216,321
209,601
328,375
275,156
172,97
139,195
90,35
48,379
101,305
253,321
240,186
369,367
287,308
187,232
133,191
50,99
53,35
47,114
90,245
325,457
268,387
435,648
344,526
202,185
143,67
109,75
67,74
130,19
90,283
307,346
274,323
429,464
288,327
79,115
41,192
36,321
79,180
39,221
119,682
169,524
210,718
383,530
232,220
222,185
109,73
69,49
72,86
80,48
205,493
218,325
327,516
361,554
257,444
125,214
36,52
44,42
34,62
142,143
236,522
183,520
379,654
329,415
213,34
136,76
154,60
71,33
44,53
105,205
177,328
194,453
410,672
360,389
149,32
87,98
85,110
68,97
62,107
250,117
270,164
228,427
430,563
300,484
109,237
175,203
71,100
55,80
55,230
321,539
309,398
199,569
398,424
286,255
111,96
58,32
62,44
58,44
38,39
263,465
293,493
379,697
257,547
198,211
182,138
121,55
39,79
42,19
73,96
223,217
161,244
387,555
290,403
107,169
125,268
146,192
43,47
173,33
286,127
250,97
267,411
225,674
288,585
241,407
96,140
44,21
39,44
49,124
171,269
209,145
284,389
352,276
242,175
151,191
64,226
38,357
61,473
171,229
234,226
213,519
423,846
284,375
183,258
82,211
46,115
56,159
65,120
84,18
224,312
138,312
309,703
272,480
261,197
167,108
104,26
44,68
45,149
113,302
266,283
305,331
383,652
291,536
206,292
135,189
119,126
50,53
95,333
248,578
191,341
183,365
386,468
325,286
114,171
62,66
37,40
42,88
119,131
207,321
238,206
320,562
397,422
231,241
150,339
100,310
