CH1,CH2
18,0
2,0
12,0
19,0
18,0
9,0
5,0
18,0
20,0
12,0
1,0
8,0
14,0
16,0
12,0
2,0
10,0
22,0
30,0
35,0
36,0
35,0
29,0
19,0
15,0
18,0
21,0
9,0
18,0
49,0
69,0
71,0
60,0
39,0
17,0
3,0
1,0
5,0
6,0
0,0
8,0
14,0
16,0
13,0
12,0
14,0
17,0
19,0
18,0
17,0
15,0
11,0
8,0
5,0
5,0
8,0
15,0
26,0
37,0
39,0
28,0
5,0
19,0
35,0
38,0
28,0
12,0
1,0
5,0
1,0
4,0
6,0
2,0
5,0
10,0
5,0
10,0
26,0
32,0
24,0
7,0
9,0
16,0
14,0
11,0
17,0
31,0
41,0
43,0
37,0
30,0
27,0
24,0
22,0
14,0
0,0
14,0
29,0
42,0
50,0
48,0
39,0
26,0
11,0
2,0
13,0
18,0
18,0
14,0
14,0
18,0
22,0
22,0
21,0
23,0
28,0
31,0
34,0
28,0
13,0
5,0
23,0
35,0
38,0
31,0
14,0
1,0
7,0
1,0
13,0
14,0
4,0
7,0
16,0
22,0
25,0
22,0
14,0
0,0
16,0
28,0
30,0
27,0
16,0
2,0
25,0
46,0
56,0
54,0
41,0
22,0
0,0
16,0
24,0
23,0
13,0
1,0
10,0
12,0
10,0
8,0
9,0
9,0
5,0
2,0
8,0
14,0
19,0
24,0
25,0
20,0
6,0
9,0
17,0
11,0
2,0
13,0
15,0
9,0
2,0
19,0
35,0
43,0
41,0
28,0
13,0
3,0
0,0
4,0
6,0
4,0
1,0
1,0
5,0
7,0
0,0
10,0
23,0
26,0
21,0
12,0
2,0
7,0
17,0
26,0
32,0
33,0
27,0
13,0
6,0
23,0
33,0
30,0
15,0
4,0
19,0
19,0
6,0
7,0
16,0
14,0
6,0
2,0
3,0
6,0
21,0
36,0
47,0
50,0
44,0
27,0
0,0
29,0
45,0
40,0
22,0
4,0
6,0
5,0
0,0
2,0
2,0
0,0
6,0
16,0
22,0
17,0
0,0
18,0
19,0
5,0
12,0
21,0
22,0
18,0
11,0
3,0
5,0
12,0
12,0
4,0
10,0
25,0
32,0
26,0
8,0
11,0
25,0
30,0
28,0
22,0
19,0
14,0
3,0
10,0
18,0
15,0
6,0
1,0
2,0
2,0
7,0
12,0
11,0
8,0
3,0
3,0
11,0
16,0
16,0
10,0
3,0
22,0
42,0
52,0
47,0
31,0
15,0
4,0
0,0
2,0
7,0
10,0
7,0
4,0
3,0
5,0
8,0
9,0
7,0
3,0
3,0
16,0
31,0
41,0
39,0
25,0
6,0
4,0
0,0
13,0
22,0
13,0
7,0
27,0
34,0
25,0
10,0
0,0
1,0
4,0
11,0
13,0
9,0
4,0
7,0
14,0
20,0
24,0
23,0
19,0
10,0
0,0
7,0
10,0
11,0
13,0
16,0
18,0
15,0
8,0
2,0
10,0
10,0
5,0
2,0
11,0
14,0
8,0
3,0
18,0
28,0
29,0
19,0
4,0
11,0
21,0
23,0
12,0
8,0
28,0
35,0
30,0
20,0
11,0
6,0
3,0
2,0
0,0
5,0
13,0
15,0
10,0
2,0
8,0
22,0
37,0
46,0
40,0
24,0
3,0
14,0
25,0
27,0
23,0
18,0
16,0
15,0
13,0
11,0
6,0
0,0
7,0
13,0
15,0
11,0
7,0
7,0
12,0
13,0
8,0
1,0
0,0
4,0
10,0
14,0
14,0
10,0
5,0
1,0
5,0
11,0
13,0
2,0
13,0
24,0
24,0
11,0
10,0
30,0
41,0
35,0
16,0
8,0
30,0
42,0
38,0
21,0
2,0
5,0
3,0
17,0
22,0
12,0
3,0
13,0
12,0
1,0
6,0
2,0
7,0
14,0
11,0
0,0
12,0
18,0
17,0
12,0
4,0
3,0
9,0
12,0
10,0
5,0
0,0
5,0
9,0
13,0
17,0
22,0
22,0
15,0
1,0
14,0
25,0
28,0
24,0
17,0
8,0
2,0
1,0
3,0
5,0
1,0
8,0
20,0
32,0
36,0
35,0
28,0
21,0
13,0
6,0
2,0
2,0
6,0
5,0
0,0
10,0
19,0
23,0
20,0
9,0
4,0
16,0
20,0
17,0
9,0
6,0
6,0
8,0
8,0
2,0
4,0
9,0
10,0
7,0
5,0
10,0
23,0
36,0
36,0
17,0
10,0
31,0
36,0
29,0
22,0
11,0
6,0
27,0
40,0
42,0
32,0
16,0
3,0
16,0
20,0
17,0
13,0
12,0
13,0
14,0
15,0
17,0
18,0
13,0
1,0
13,0
26,0
34,0
40,0
42,0
39,0
28,0
14,0
1,0
8,0
14,0
17,0
14,0
8,0
0,0
8,0
17,0
22,0
23,0
17,0
5,0
7,0
19,0
24,0
21,0
11,0
0,0
10,0
16,0
19,0
16,0
12,0
12,0
15,0
17,0
14,0
3,0
10,0
24,0
33,0
37,0
33,0
22,0
8,0
5,0
17,0
23,0
28,0
33,0
37,0
33,0
22,0
10,0
0,0
11,0
20,0
17,0
3,0
11,0
21,0
25,0
24,0
20,0
16,0
15,0
9,0
0,0
14,0
28,0
37,0
39,0
34,0
23,0
9,0
4,0
15,0
21,0
21,0
20,0
22,0
26,0
26,0
20,0
9,0
2,0
12,0
19,0
20,0
15,0
9,0
4,0
3,0
20,0
41,0
51,0
43,0
22,0
4,0
26,0
39,0
42,0
36,0
24,0
10,0
4,0
16,0
23,0
26,0
28,0
34,0
38,0
35,0
29,0
19,0
7,0
4,0
17,0
24,0
28,0
29,0
28,0
27,0
25,0
19,0
9,0
2,0
12,0
23,0
31,0
30,0
17,0
3,0
0,0
8,0
20,0
27,0
24,0
7,0
15,0
25,0
18,0
2,0
23,0
34,0
28,0
12,0
2,0
12,0
14,0
11,0
7,0
10,0
15,0
16,0
9,0
4,0
17,0
29,0
39,0
45,0
44,0
35,0
18,0
2,0
23,0
41,0
53,0
58,0
55,0
42,0
22,0
0,0
19,0
34,0
44,0
46,0
42,0
35,0
29,0
22,0
13,0
0,0
12,0
21,0
22,0
17,0
8,0
0,0
5,0
9,0
10,0
9,0
7,0
7,0
9,0
9,0
6,0
3,0
2,0
2,0
2,0
1,0
5,0
11,0
12,0
3,0
12,0
27,0
34,0
32,0
24,0
14,0
2,0
9,0
16,0
19,0
19,0
15,0
9,0
4,0
4,0
11,0
10,0
3,0
22,0
33,0
30,0
17,0
2,0
11,0
21,0
26,0
27,0
24,0
19,0
7,0
9,0
29,0
42,0
48,0
42,0
31,0
20,0
17,0
14,0
5,0
13,0
33,0
47,0
47,0
36,0
19,0
0,0
16,0
28,0
33,0
28,0
17,0
4,0
5,0
8,0
6,0
1,0
14,0
24,0
24,0
17,0
8,0
4,0
5,0
8,0
11,0
9,0
0,0
13,0
20,0
17,0
7,0
2,0
5,0
4,0
3,0
4,0
6,0
9,0
13,0
17,0
20,0
20,0
17,0
14,0
12,0
7,0
1,0
9,0
20,0
30,0
32,0
24,0
10,0
3,0
12,0
19,0
25,0
28,0
21,0
5,0
4,0
1,0
7,0
10,0
5,0
3,0
8,0
10,0
13,0
21,0
24,0
15,0
3,0
20,0
26,0
26,0
24,0
24,0
26,0
22,0
8,0
13,0
32,0
40,0
36,0
25,0
8,0
14,0
38,0
47,0
39,0
19,0
0,0
12,0
13,0
8,0
1,0
0,0
2,0
5,0
4,0
3,0
14,0
26,0
34,0
33,0
20,0
2,0
10,0
21,0
33,0
41,0
36,0
20,0
0,0
14,0
21,0
28,0
34,0
36,0
33,0
28,0
20,0
12,0
3,0
3,0
6,0
5,0
1,0
1,0
0,0
5,0
11,0
18,0
19,0
14,0
3,0
9,0
19,0
18,0
4,0
11,0
17,0
10,0
2,0
13,0
18,0
16,0
10,0
6,0
5,0
6,0
7,0
9,0
9,0
11,0
10,0
8,0
1,0
8,0
15,0
15,0
11,0
7,0
6,0
6,0
4,0
1,0
2,0
8,0
13,0
16,0
15,0
17,0
22,0
20,0
7,0
12,0
25,0
29,0
27,0
19,0
4,0
13,0
28,0
35,0
35,0
32,0
32,0
30,0
24,0
10,0
7,0
24,0
33,0
33,0
25,0
14,0
4,0
3,0
10,0
18,0
25,0
27,0
26,0
