CH1,CH2
849,0
944,0
439,0
190,0
497,0
356,0
335,0
202,0
234,0
244,0
158,0
154,0
309,0
265,0
288,0
148,0
74,0
152,0
85,0
208,0
183,0
278,0
218,0
157,0
150,0
114,0
277,0
533,0
169,0
217,0
451,0
113,0
105,0
322,0
393,0
203,0
189,0
87,0
160,0
107,0
285,0
376,0
497,0
283,0
230,0
174,0
175,0
110,0
79,0
81,0
144,0
193,0
80,0
83,0
81,0
98,0
178,0
404,0
471,0
318,0
99,0
112,0
165,0
152,0
158,0
450,0
329,0
84,0
333,0
910,0
579,0
219,0
183,0
101,0
222,0
217,0
89,0
161,0
176,0
173,0
200,0
370,0
133,0
584,0
447,0
170,0
58,0
204,0
180,0
133,0
152,0
378,0
379,0
528,0
132,0
241,0
332,0
165,0
145,0
124,0
122,0
144,0
222,0
121,0
37,0
182,0
109,0
83,0
182,0
164,0
88,0
85,0
130,0
113,0
148,0
333,0
181,0
93,0
100,0
77,0
92,0
323,0
214,0
80,0
385,0
222,0
184,0
462,0
481,0
249,0
298,0
184,0
93,0
117,0
130,0
190,0
313,0
354,0
308,0
109,0
204,0
259,0
115,0
118,0
195,0
127,0
700,0
418,0
322,0
172,0
213,0
178,0
267,0
235,0
527,0
124,0
396,0
206,0
361,0
655,0
375,0
173,0
82,0
191,0
282,0
173,0
91,0
261,0
177,0
140,0
189,0
185,0
207,0
74,0
132,0
173,0
353,0
323,0
91,0
84,0
140,0
187,0
171,0
197,0
158,0
182,0
146,0
139,0
182,0
224,0
135,0
311,0
179,0
116,0
70,0
145,0
172,0
152,0
112,0
146,0
92,0
328,0
93,0
137,0
89,0
116,0
243,0
374,0
133,0
180,0
361,0
585,0
498,0
411,0
157,0
556,0
137,0
306,0
458,0
270,0
206,0
83,0
205,0
130,0
140,0
371,0
561,0
195,0
365,0
105,0
391,0
318,0
184,0
563,0
588,0
207,0
339,0
604,0
339,0
137,0
182,0
73,0
213,0
113,0
87,0
121,0
233,0
397,0
258,0
124,0
113,0
173,0
119,0
242,0
439,0
300,0
90,0
63,0
142,0
360,0
180,0
147,0
108,0
80,0
191,0
190,0
116,0
100,0
88,0
108,0
115,0
196,0
225,0
334,0
299,0
299,0
339,0
795,0
482,0
519,0
1023,0
655,0
310,0
137,0
403,0
387,0
260,0
344,0
167,0
97,0
206,0
783,0
453,0
76,0
189,0
318,0
80,0
147,0
91,0
153,0
200,0
375,0
400,0
276,0
171,0
165,0
81,0
92,0
210,0
87,0
99,0
98,0
100,0
102,0
78,0
129,0
74,0
44,0
95,0
143,0
98,0
67,0
84,0
69,0
156,0
530,0
296,0
254,0
162,0
689,0
637,0
309,0
160,0
209,0
170,0
343,0
249,0
388,0
359,0
251,0
143,0
352,0
232,0
82,0
100,0
93,0
197,0
312,0
602,0
370,0
153,0
536,0
344,0
185,0
139,0
83,0
162,0
511,0
1023,0
826,0
338,0
138,0
525,0
742,0
379,0
213,0
138,0
81,0
74,0
125,0
161,0
93,0
29,0
160,0
262,0
159,0
154,0
85,0
251,0
134,0
111,0
353,0
188,0
210,0
328,0
130,0
178,0
218,0
412,0
249,0
160,0
127,0
138,0
89,0
125,0
141,0
336,0
461,0
472,0
202,0
70,0
71,0
24,0
252,0
433,0
596,0
264,0
88,0
134,0
87,0
325,0
98,0
147,0
153,0
222,0
139,0
118,0
141,0
128,0
154,0
155,0
79,0
120,0
223,0
347,0
178,0
293,0
90,0
112,0
141,0
132,0
152,0
266,0
370,0
345,0
159,0
81,0
97,0
406,0
525,0
374,0
177,0
470,0
861,0
754,0
752,0
116,0
527,0
766,0
740,0
389,0
252,0
237,0
441,0
315,0
122,0
359,0
402,0
743,0
727,0
501,0
102,0
290,0
278,0
532,0
480,0
268,0
130,0
584,0
117,0
166,0
774,0
441,0
51,0
209,0
378,0
314,0
507,0
274,0
111,0
91,0
245,0
166,0
75,0
76,0
94,0
111,0
264,0
239,0
85,0
113,0
328,0
101,0
418,0
154,0
226,0
211,0
287,0
93,0
100,0
80,0
218,0
609,0
635,0
338,0
493,0
437,0
257,0
221,0
653,0
127,0
488,0
614,0
199,0
100,0
151,0
530,0
329,0
116,0
259,0
260,0
0,0
72,0
89,0
85,0
124,0
137,0
118,0
139,0
216,0
83,0
164,0
83,0
239,0
221,0
106,0
268,0
481,0
860,0
761,0
197,0
390,0
273,0
72,0
291,0
486,0
403,0
125,0
508,0
508,0
343,0
138,0
194,0
92,0
288,0
386,0
208,0
239,0
122,0
98,0
499,0
121,0
193,0
479,0
289,0
91,0
375,0
292,0
159,0
95,0
118,0
73,0
115,0
88,0
135,0
142,0
170,0
98,0
125,0
170,0
172,0
145,0
121,0
173,0
119,0
76,0
142,0
326,0
332,0
127,0
81,0
103,0
109,0
147,0
160,0
274,0
158,0
84,0
98,0
236,0
109,0
120,0
153,0
81,0
65,0
0,0
194,0
404,0
140,0
200,0
444,0
704,0
114,0
222,0
136,0
321,0
677,0
435,0
375,0
271,0
92,0
187,0
269,0
237,0
176,0
178,0
170,0
157,0
139,0
98,0
129,0
120,0
91,0
90,0
124,0
31,0
72,0
138,0
223,0
254,0
424,0
114,0
64,0
167,0
220,0
245,0
410,0
114,0
404,0
1023,0
701,0
211,0
192,0
192,0
143,0
125,0
122,0
129,0
134,0
84,0
237,0
82,0
123,0
138,0
141,0
280,0
314,0
198,0
80,0
110,0
155,0
75,0
85,0
83,0
85,0
74,0
246,0
342,0
159,0
76,0
85,0
144,0
228,0
350,0
278,0
87,0
225,0
394,0
108,0
414,0
492,0
227,0
92,0
182,0
150,0
84,0
448,0
405,0
288,0
134,0
77,0
8,0
133,0
134,0
188,0
243,0
227,0
231,0
63,0
256,0
234,0
167,0
124,0
480,0
513,0
319,0
136,0
137,0
219,0
3,0
123,0
145,0
82,0
105,0
91,0
155,0
366,0
296,0
173,0
111,0
83,0
29,0
89,0
142,0
179,0
157,0
145,0
293,0
140,0
137,0
162,0
256,0
237,0
190,0
90,0
82,0
105,0
71,0
75,0
71,0
164,0
86,0
99,0
99,0
72,0
128,0
84,0
103,0
129,0
231,0
101,0
187,0
199,0
242,0
237,0
170,0
145,0
174,0
160,0
122,0
108,0
93,0
127,0
463,0
166,0
198,0
335,0
87,0
187,0
289,0
158,0
487,0
404,0
87,0
243,0
433,0
283,0
389,0
329,0
138,0
77,0
40,0
62,0
133,0
238,0
224,0
138,0
96,0
118,0
176,0
325,0
160,0
81,0
145,0
135,0
95,0
239,0
134,0
86,0
174,0
120,0
72,0
224,0
87,0
83,0
89,0
91,0
168,0
72,0
67,0
75,0
82,0
204,0
317,0
360,0
168,0
221,0
72,0
83,0
98,0
254,0
76,0
197,0
197,0
320,0
224,0
141,0
85,0
117,0
160,0
130,0
192,0
93,0
87,0
82,0
301,0
342,0
457,0
351,0
274,0
229,0
480,0
126,0
102,0
192,0
493,0
822,0
623,0
483,0
380,0
238,0
130,0
100,0
321,0
152,0
93,0
86,0
264,0
164,0
478,0
315,0
465,0
