CH1,CH2
99,0
129,0
151,0
177,0
164,0
160,0
152,0
166,0
149,0
108,0
67,0
84,0
135,0
162,0
155,0
122,0
127,0
115,0
105,0
48,0
108,0
138,0
152,0
180,0
158,0
155,0
145,0
167,0
133,0
96,0
66,0
91,0
143,0
156,0
154,0
114,0
112,0
89,0
48,0
85,0
124,0
155,0
173,0
189,0
168,0
152,0
145,0
176,0
119,0
83,0
79,0
105,0
143,0
148,0
138,0
105,0
103,0
110,0
69,0
111,0
130,0
156,0
161,0
196,0
161,0
151,0
150,0
162,0
94,0
77,0
104,0
73,0
164,0
148,0
125,0
48,0
114,0
71,0
89,0
130,0
145,0
175,0
195,0
199,0
163,0
151,0
160,0
128,0
74,0
74,0
110,0
146,0
155,0
140,0
124,0
3,0
98,0
65,0
107,0
152,0
155,0
167,0
165,0
161,0
149,0
143,0
141,0
91,0
64,0
86,0
127,0
55,0
157,0
134,0
109,0
18,0
103,0
86,0
120,0
171,0
159,0
168,0
169,0
202,0
145,0
159,0
138,0
55,0
64,0
96,0
121,0
61,0
138,0
120,0
102,0
18,0
73,0
102,0
125,0
157,0
160,0
163,0
164,0
171,0
145,0
145,0
108,0
52,0
95,0
127,0
152,0
71,0
135,0
109,0
101,0
31,0
77,0
113,0
141,0
205,0
161,0
161,0
157,0
184,0
149,0
131,0
84,0
12,0
89,0
119,0
101,0
111,0
108,0
92,0
99,0
58,0
98,0
130,0
157,0
223,0
162,0
160,0
152,0
178,0
145,0
115,0
81,0
0,0
124,0
148,0
152,0
45,0
132,0
116,0
111,0
48,0
113,0
133,0
162,0
224,0
164,0
165,0
151,0
187,0
135,0
89,0
78,0
4,0
141,0
162,0
156,0
34,0
109,0
88,0
45,0
74,0
125,0
150,0
164,0
223,0
164,0
159,0
150,0
190,0
117,0
72,0
81,0
18,0
163,0
164,0
149,0
21,0
98,0
101,0
68,0
112,0
132,0
151,0
163,0
222,0
156,0
145,0
144,0
170,0
103,0
64,0
93,0
35,0
161,0
151,0
136,0
15,0
122,0
81,0
86,0
138,0
151,0
179,0
196,0
213,0
167,0
150,0
156,0
137,0
80,0
65,0
102,0
49,0
156,0
147,0
125,0
7,0
126,0
