CH1,CH2
1,4
1,1
0,3
8,4
20,4
27,1
21,3
9,7
0,8
4,8
4,8
2,10
0,12
3,14
1,14
3,10
7,6
7,0
5,4
3,8
0,8
8,7
13,3
12,1
4,0
2,0
5,0
5,1
4,2
5,3
4,4
0,3
8,2
15,2
20,1
18,0
9,1
4,2
14,1
13,1
2,4
8,8
8,11
5,13
3,11
1,9
1,6
5,5
7,2
4,2
2,3
11,5
21,7
24,8
18,7
9,5
4,4
4,3
5,2
5,0
0,4
7,7
13,9
15,8
11,5
0,0
15,4
25,8
23,8
7,5
7,1
12,2
9,6
3,9
0,9
2,5
0,1
2,1
3,3
2,2
13,0
26,4
34,7
32,12
23,16
10,16
3,9
12,1
13,4
11,5
11,2
14,1
15,3
10,3
0,2
7,0
6,2
1,3
0,3
5,1
11,3
13,9
12,16
11,17
14,16
16,11
14,4
10,0
4,2
2,0
10,3
15,3
13,0
6,3
3,6
15,4
21,1
19,1
11,3
1,6
8,9
19,11
22,10
15,5
0,0
15,3
23,5
28,4
35,0
40,4
32,6
9,7
16,7
31,10
29,12
16,13
6,9
5,2
10,6
13,11
11,11
7,7
1,2
2,4
7,9
11,11
14,11
14,12
8,10
1,7
6,2
3,2
6,7
17,11
24,13
24,12
15,9
7,5
1,1
3,4
11,12
22,20
28,23
18,21
5,14
27,5
35,2
29,9
20,12
8,10
2,5
9,1
10,5
10,6
10,5
13,4
15,3
16,3
13,5
7,9
2,11
11,11
12,9
6,5
1,2
6,0
4,0
0,0
1,0
1,0
10,0
24,3
38,8
42,13
31,17
6,18
20,15
40,10
46,3
41,0
32,1
20,2
6,2
10,4
26,6
35,6
35,4
26,0
17,5
12,7
12,5
14,2
18,1
24,3
24,4
17,5
5,4
5,4
16,5
25,6
28,4
23,0
17,2
10,4
1,4
5,1
9,2
5,4
3,2
10,1
11,4
5,2
4,1
13,3
20,4
25,7
28,10
27,14
20,17
12,19
8,18
5,13
5,7
7,0
5,4
1,7
14,7
25,7
29,8
27,9
23,8
19,5
16,3
10,0
3,3
6,7
15,10
20,10
19,9
19,7
20,4
20,2
